"","age","pop","gp","country","seed","year","share"
"1",0,1054,0,"Spain","159647",2022,0
"2",1,1109,0,"Spain","159647",2022,0
"3",2,1037,0,"Spain","159647",2022,0
"4",3,1093,0,"Spain","159647",2022,0
"5",4,1175,0,"Spain","159647",2022,0
"6",5,1156,0,"Spain","159647",2022,0
"7",6,1182,0,"Spain","159647",2022,0
"8",7,1245,0,"Spain","159647",2022,0
"9",8,1283,0,"Spain","159647",2022,0
"10",9,1338,0,"Spain","159647",2022,0
"11",10,1308,0,"Spain","159647",2022,0
"12",11,1318,0,"Spain","159647",2022,0
"13",12,1511,0,"Spain","159647",2022,0
"14",13,1535,0,"Spain","159647",2022,0
"15",14,1582,0,"Spain","159647",2022,0
"16",15,1636,0,"Spain","159647",2022,0
"17",16,1624,0,"Spain","159647",2022,0
"18",17,1458,0,"Spain","159647",2022,0
"19",18,1520,0,"Spain","159647",2022,0
"20",19,1464,0,"Spain","159647",2022,0
"21",20,1504,0,"Spain","159647",2022,0
"22",21,1572,0,"Spain","159647",2022,0
"23",22,1394,0,"Spain","159647",2022,0
"24",23,1474,0,"Spain","159647",2022,0
"25",24,1411,0,"Spain","159647",2022,0
"26",25,1409,0,"Spain","159647",2022,0
"27",26,1436,0,"Spain","159647",2022,0
"28",27,1519,0,"Spain","159647",2022,0
"29",28,1508,0,"Spain","159647",2022,0
"30",29,1569,0,"Spain","159647",2022,0
"31",30,1509,1,"Spain","159647",2022,0.000662690523525514
"32",31,1454,0,"Spain","159647",2022,0
"33",32,1641,1,"Spain","159647",2022,0.000609384521633151
"34",33,1719,1,"Spain","159647",2022,0.00058173356602676
"35",34,1686,0,"Spain","159647",2022,0
"36",35,1662,1,"Spain","159647",2022,0.000601684717208183
"37",36,1653,1,"Spain","159647",2022,0.000604960677555959
"38",37,2109,5,"Spain","159647",2022,0.00237079184447606
"39",38,2036,4,"Spain","159647",2022,0.00196463654223969
"40",39,1964,8,"Spain","159647",2022,0.00407331975560081
"41",40,1935,19,"Spain","159647",2022,0.00981912144702842
"42",41,1980,25,"Spain","159647",2022,0.0126262626262626
"43",42,2489,41,"Spain","159647",2022,0.0164724789071916
"44",43,2488,42,"Spain","159647",2022,0.0168810289389068
"45",44,2565,67,"Spain","159647",2022,0.0261208576998051
"46",45,2517,87,"Spain","159647",2022,0.034564958283671
"47",46,2557,109,"Spain","159647",2022,0.0426280797809934
"48",47,2656,163,"Spain","159647",2022,0.0613704819277108
"49",48,2636,166,"Spain","159647",2022,0.0629742033383915
"50",49,2733,257,"Spain","159647",2022,0.0940358580314672
"51",50,2704,333,"Spain","159647",2022,0.123150887573965
"52",51,2704,372,"Spain","159647",2022,0.137573964497041
"53",52,2697,396,"Spain","159647",2022,0.146829810901001
"54",53,2687,553,"Spain","159647",2022,0.205805731298846
"55",54,2564,542,"Spain","159647",2022,0.211388455538222
"56",55,2489,640,"Spain","159647",2022,0.257131378063479
"57",56,2544,735,"Spain","159647",2022,0.288915094339623
"58",57,2468,805,"Spain","159647",2022,0.326175040518639
"59",58,2454,892,"Spain","159647",2022,0.363488182559087
"60",59,2419,941,"Spain","159647",2022,0.38900372054568
"61",60,2421,979,"Spain","159647",2022,0.404378356051219
"62",61,2407,1027,"Spain","159647",2022,0.426672206065642
"63",62,2297,1082,"Spain","159647",2022,0.471049194601654
"64",63,2217,1057,"Spain","159647",2022,0.476770410464592
"65",64,2293,1097,"Spain","159647",2022,0.478412559965111
"66",65,2275,1155,"Spain","159647",2022,0.507692307692308
"67",66,2229,1176,"Spain","159647",2022,0.527590847913863
"68",67,2006,1178,"Spain","159647",2022,0.587238285144566
"69",68,1969,1132,"Spain","159647",2022,0.574911122397156
"70",69,1934,1114,"Spain","159647",2022,0.576008273009307
"71",70,1971,1176,"Spain","159647",2022,0.596651445966514
"72",71,1840,1101,"Spain","159647",2022,0.598369565217391
"73",72,2080,1296,"Spain","159647",2022,0.623076923076923
"74",73,1990,1223,"Spain","159647",2022,0.614572864321608
"75",74,1933,1180,"Spain","159647",2022,0.610450077599586
"76",75,1895,1173,"Spain","159647",2022,0.618997361477573
"77",76,1791,1117,"Spain","159647",2022,0.623673925181463
"78",77,1751,1164,"Spain","159647",2022,0.664762992575671
"79",78,1650,1075,"Spain","159647",2022,0.651515151515151
"80",79,1587,1043,"Spain","159647",2022,0.657214870825457
"81",80,1472,948,"Spain","159647",2022,0.644021739130435
"82",81,1455,960,"Spain","159647",2022,0.65979381443299
"83",82,1401,933,"Spain","159647",2022,0.665952890792291
"84",83,1278,848,"Spain","159647",2022,0.663536776212833
"85",84,1238,820,"Spain","159647",2022,0.662358642972536
"86",85,1105,745,"Spain","159647",2022,0.67420814479638
"87",86,935,645,"Spain","159647",2022,0.689839572192513
"88",87,825,585,"Spain","159647",2022,0.709090909090909
"89",88,780,520,"Spain","159647",2022,0.666666666666667
"90",89,678,457,"Spain","159647",2022,0.674041297935103
"91",90,587,412,"Spain","159647",2022,0.701873935264055
"92",91,512,359,"Spain","159647",2022,0.701171875
"93",92,423,289,"Spain","159647",2022,0.683215130023641
"94",93,340,239,"Spain","159647",2022,0.702941176470588
"95",94,242,167,"Spain","159647",2022,0.690082644628099
"96",95,235,162,"Spain","159647",2022,0.68936170212766
"97",96,153,116,"Spain","159647",2022,0.758169934640523
"98",97,102,71,"Spain","159647",2022,0.696078431372549
"99",98,77,51,"Spain","159647",2022,0.662337662337662
