"","age","pop","gp","year","country","seed","share"
"1",0,582,0,1990,"SriLanka","375983",0
"2",1,608,0,1990,"SriLanka","375983",0
"3",2,549,0,1990,"SriLanka","375983",0
"4",3,559,0,1990,"SriLanka","375983",0
"5",4,568,0,1990,"SriLanka","375983",0
"6",5,627,0,1990,"SriLanka","375983",0
"7",6,627,0,1990,"SriLanka","375983",0
"8",7,668,0,1990,"SriLanka","375983",0
"9",8,564,0,1990,"SriLanka","375983",0
"10",9,589,0,1990,"SriLanka","375983",0
"11",10,665,0,1990,"SriLanka","375983",0
"12",11,563,0,1990,"SriLanka","375983",0
"13",12,598,0,1990,"SriLanka","375983",0
"14",13,582,0,1990,"SriLanka","375983",0
"15",14,551,0,1990,"SriLanka","375983",0
"16",15,570,0,1990,"SriLanka","375983",0
"17",16,564,0,1990,"SriLanka","375983",0
"18",17,533,0,1990,"SriLanka","375983",0
"19",18,549,0,1990,"SriLanka","375983",0
"20",19,474,0,1990,"SriLanka","375983",0
"21",20,554,0,1990,"SriLanka","375983",0
"22",21,521,0,1990,"SriLanka","375983",0
"23",22,541,0,1990,"SriLanka","375983",0
"24",23,521,0,1990,"SriLanka","375983",0
"25",24,486,0,1990,"SriLanka","375983",0
"26",25,580,0,1990,"SriLanka","375983",0
"27",26,537,0,1990,"SriLanka","375983",0
"28",27,494,0,1990,"SriLanka","375983",0
"29",28,502,0,1990,"SriLanka","375983",0
"30",29,485,2,1990,"SriLanka","375983",0.00412371134020619
"31",30,507,0,1990,"SriLanka","375983",0
"32",31,459,0,1990,"SriLanka","375983",0
"33",32,469,6,1990,"SriLanka","375983",0.0127931769722814
"34",33,451,4,1990,"SriLanka","375983",0.00886917960088692
"35",34,453,4,1990,"SriLanka","375983",0.00883002207505519
"36",35,419,8,1990,"SriLanka","375983",0.0190930787589499
"37",36,419,13,1990,"SriLanka","375983",0.0310262529832936
"38",37,387,12,1990,"SriLanka","375983",0.0310077519379845
"39",38,372,18,1990,"SriLanka","375983",0.0483870967741935
"40",39,354,29,1990,"SriLanka","375983",0.0819209039548023
"41",40,379,57,1990,"SriLanka","375983",0.150395778364116
"42",41,358,61,1990,"SriLanka","375983",0.170391061452514
"43",42,312,78,1990,"SriLanka","375983",0.25
"44",43,288,87,1990,"SriLanka","375983",0.302083333333333
"45",44,308,97,1990,"SriLanka","375983",0.314935064935065
"46",45,262,111,1990,"SriLanka","375983",0.423664122137405
"47",46,309,145,1990,"SriLanka","375983",0.469255663430421
"48",47,269,138,1990,"SriLanka","375983",0.513011152416357
"49",48,255,133,1990,"SriLanka","375983",0.52156862745098
"50",49,251,153,1990,"SriLanka","375983",0.609561752988048
"51",50,246,155,1990,"SriLanka","375983",0.630081300813008
"52",51,217,163,1990,"SriLanka","375983",0.751152073732719
"53",52,234,160,1990,"SriLanka","375983",0.683760683760684
"54",53,233,165,1990,"SriLanka","375983",0.708154506437768
"55",54,210,154,1990,"SriLanka","375983",0.733333333333333
"56",55,203,157,1990,"SriLanka","375983",0.773399014778325
"57",56,210,173,1990,"SriLanka","375983",0.823809523809524
"58",57,208,168,1990,"SriLanka","375983",0.807692307692308
"59",58,212,178,1990,"SriLanka","375983",0.839622641509434
"60",59,180,152,1990,"SriLanka","375983",0.844444444444444
"61",60,168,138,1990,"SriLanka","375983",0.821428571428571
"62",61,171,148,1990,"SriLanka","375983",0.865497076023392
"63",62,171,146,1990,"SriLanka","375983",0.853801169590643
"64",63,156,135,1990,"SriLanka","375983",0.865384615384615
"65",64,155,128,1990,"SriLanka","375983",0.825806451612903
"66",65,132,109,1990,"SriLanka","375983",0.825757575757576
"67",66,108,97,1990,"SriLanka","375983",0.898148148148148
"68",67,107,92,1990,"SriLanka","375983",0.85981308411215
"69",68,108,101,1990,"SriLanka","375983",0.935185185185185
"70",69,98,90,1990,"SriLanka","375983",0.918367346938776
"71",70,90,79,1990,"SriLanka","375983",0.877777777777778
"72",71,92,83,1990,"SriLanka","375983",0.902173913043478
"73",72,79,73,1990,"SriLanka","375983",0.924050632911392
"74",73,82,72,1990,"SriLanka","375983",0.878048780487805
"75",74,77,71,1990,"SriLanka","375983",0.922077922077922
"76",75,73,68,1990,"SriLanka","375983",0.931506849315068
"77",76,61,58,1990,"SriLanka","375983",0.950819672131147
"78",77,60,54,1990,"SriLanka","375983",0.9
"79",78,51,47,1990,"SriLanka","375983",0.92156862745098
"80",79,45,42,1990,"SriLanka","375983",0.933333333333333
"81",80,37,34,1990,"SriLanka","375983",0.918918918918919
"82",81,32,31,1990,"SriLanka","375983",0.96875
"83",82,38,36,1990,"SriLanka","375983",0.947368421052632
"84",83,24,23,1990,"SriLanka","375983",0.958333333333333
"85",84,26,24,1990,"SriLanka","375983",0.923076923076923
