"","age","pop","gp","year","country","seed","share"
"1",0,749,0,1990,"StateofPalestine","197952",0
"2",1,682,0,1990,"StateofPalestine","197952",0
"3",2,684,0,1990,"StateofPalestine","197952",0
"4",3,721,0,1990,"StateofPalestine","197952",0
"5",4,637,0,1990,"StateofPalestine","197952",0
"6",5,616,0,1990,"StateofPalestine","197952",0
"7",6,595,0,1990,"StateofPalestine","197952",0
"8",7,588,0,1990,"StateofPalestine","197952",0
"9",8,570,0,1990,"StateofPalestine","197952",0
"10",9,578,0,1990,"StateofPalestine","197952",0
"11",10,568,0,1990,"StateofPalestine","197952",0
"12",11,553,0,1990,"StateofPalestine","197952",0
"13",12,514,0,1990,"StateofPalestine","197952",0
"14",13,491,0,1990,"StateofPalestine","197952",0
"15",14,523,0,1990,"StateofPalestine","197952",0
"16",15,466,0,1990,"StateofPalestine","197952",0
"17",16,450,0,1990,"StateofPalestine","197952",0
"18",17,451,0,1990,"StateofPalestine","197952",0
"19",18,429,0,1990,"StateofPalestine","197952",0
"20",19,408,0,1990,"StateofPalestine","197952",0
"21",20,414,0,1990,"StateofPalestine","197952",0
"22",21,388,0,1990,"StateofPalestine","197952",0
"23",22,367,0,1990,"StateofPalestine","197952",0
"24",23,383,0,1990,"StateofPalestine","197952",0
"25",24,357,0,1990,"StateofPalestine","197952",0
"26",25,324,0,1990,"StateofPalestine","197952",0
"27",26,326,0,1990,"StateofPalestine","197952",0
"28",27,291,0,1990,"StateofPalestine","197952",0
"29",28,310,0,1990,"StateofPalestine","197952",0
"30",29,271,0,1990,"StateofPalestine","197952",0
"31",30,230,0,1990,"StateofPalestine","197952",0
"32",31,256,4,1990,"StateofPalestine","197952",0.015625
"33",32,247,7,1990,"StateofPalestine","197952",0.0283400809716599
"34",33,227,10,1990,"StateofPalestine","197952",0.0440528634361234
"35",34,246,23,1990,"StateofPalestine","197952",0.0934959349593496
"36",35,208,17,1990,"StateofPalestine","197952",0.0817307692307692
"37",36,199,21,1990,"StateofPalestine","197952",0.105527638190955
"38",37,209,51,1990,"StateofPalestine","197952",0.244019138755981
"39",38,194,47,1990,"StateofPalestine","197952",0.242268041237113
"40",39,183,60,1990,"StateofPalestine","197952",0.327868852459016
"41",40,205,63,1990,"StateofPalestine","197952",0.307317073170732
"42",41,196,78,1990,"StateofPalestine","197952",0.397959183673469
"43",42,202,91,1990,"StateofPalestine","197952",0.450495049504951
"44",43,185,93,1990,"StateofPalestine","197952",0.502702702702703
"45",44,192,114,1990,"StateofPalestine","197952",0.59375
"46",45,154,99,1990,"StateofPalestine","197952",0.642857142857143
"47",46,170,106,1990,"StateofPalestine","197952",0.623529411764706
"48",47,151,104,1990,"StateofPalestine","197952",0.688741721854305
"49",48,180,123,1990,"StateofPalestine","197952",0.683333333333333
"50",49,133,93,1990,"StateofPalestine","197952",0.699248120300752
"51",50,152,133,1990,"StateofPalestine","197952",0.875
"52",51,124,99,1990,"StateofPalestine","197952",0.798387096774194
"53",52,120,101,1990,"StateofPalestine","197952",0.841666666666667
"54",53,111,94,1990,"StateofPalestine","197952",0.846846846846847
"55",54,130,118,1990,"StateofPalestine","197952",0.907692307692308
"56",55,107,99,1990,"StateofPalestine","197952",0.925233644859813
"57",56,97,87,1990,"StateofPalestine","197952",0.896907216494845
"58",57,103,92,1990,"StateofPalestine","197952",0.893203883495146
"59",58,90,84,1990,"StateofPalestine","197952",0.933333333333333
"60",59,74,68,1990,"StateofPalestine","197952",0.918918918918919
"61",60,87,83,1990,"StateofPalestine","197952",0.954022988505747
"62",61,102,92,1990,"StateofPalestine","197952",0.901960784313726
