"","age","pop","gp","year","country","seed","share"
"1",0,694,0,1990,"Sudan","117468",0
"2",1,620,0,1990,"Sudan","117468",0
"3",2,628,0,1990,"Sudan","117468",0
"4",3,604,0,1990,"Sudan","117468",0
"5",4,554,0,1990,"Sudan","117468",0
"6",5,542,0,1990,"Sudan","117468",0
"7",6,595,0,1990,"Sudan","117468",0
"8",7,553,0,1990,"Sudan","117468",0
"9",8,501,0,1990,"Sudan","117468",0
"10",9,500,0,1990,"Sudan","117468",0
"11",10,519,0,1990,"Sudan","117468",0
"12",11,501,0,1990,"Sudan","117468",0
"13",12,515,0,1990,"Sudan","117468",0
"14",13,476,0,1990,"Sudan","117468",0
"15",14,497,0,1990,"Sudan","117468",0
"16",15,423,0,1990,"Sudan","117468",0
"17",16,463,0,1990,"Sudan","117468",0
"18",17,461,0,1990,"Sudan","117468",0
"19",18,427,0,1990,"Sudan","117468",0
"20",19,402,0,1990,"Sudan","117468",0
"21",20,404,0,1990,"Sudan","117468",0
"22",21,369,0,1990,"Sudan","117468",0
"23",22,376,0,1990,"Sudan","117468",0
"24",23,389,0,1990,"Sudan","117468",0
"25",24,336,0,1990,"Sudan","117468",0
"26",25,331,0,1990,"Sudan","117468",0
"27",26,356,0,1990,"Sudan","117468",0
"28",27,327,0,1990,"Sudan","117468",0
"29",28,265,0,1990,"Sudan","117468",0
"30",29,301,1,1990,"Sudan","117468",0.00332225913621262
"31",30,291,1,1990,"Sudan","117468",0.00343642611683849
"32",31,278,3,1990,"Sudan","117468",0.0107913669064748
"33",32,265,8,1990,"Sudan","117468",0.030188679245283
"34",33,228,15,1990,"Sudan","117468",0.0657894736842105
"35",34,219,14,1990,"Sudan","117468",0.0639269406392694
"36",35,226,15,1990,"Sudan","117468",0.0663716814159292
"37",36,217,24,1990,"Sudan","117468",0.110599078341014
"38",37,215,28,1990,"Sudan","117468",0.130232558139535
"39",38,213,52,1990,"Sudan","117468",0.244131455399061
"40",39,214,61,1990,"Sudan","117468",0.285046728971963
"41",40,210,69,1990,"Sudan","117468",0.328571428571429
"42",41,228,94,1990,"Sudan","117468",0.412280701754386
"43",42,228,84,1990,"Sudan","117468",0.368421052631579
"44",43,202,87,1990,"Sudan","117468",0.430693069306931
"45",44,172,101,1990,"Sudan","117468",0.587209302325581
"46",45,197,113,1990,"Sudan","117468",0.573604060913706
"47",46,185,122,1990,"Sudan","117468",0.659459459459459
"48",47,171,107,1990,"Sudan","117468",0.625730994152047
"49",48,166,103,1990,"Sudan","117468",0.620481927710843
"50",49,153,113,1990,"Sudan","117468",0.738562091503268
"51",50,145,99,1990,"Sudan","117468",0.682758620689655
"52",51,144,104,1990,"Sudan","117468",0.722222222222222
"53",52,150,118,1990,"Sudan","117468",0.786666666666667
"54",53,132,103,1990,"Sudan","117468",0.78030303030303
"55",54,122,106,1990,"Sudan","117468",0.868852459016393
"56",55,116,92,1990,"Sudan","117468",0.793103448275862
"57",56,109,96,1990,"Sudan","117468",0.880733944954128
"58",57,103,90,1990,"Sudan","117468",0.87378640776699
"59",58,119,95,1990,"Sudan","117468",0.798319327731092
"60",59,93,78,1990,"Sudan","117468",0.838709677419355
"61",60,101,88,1990,"Sudan","117468",0.871287128712871
"62",61,103,93,1990,"Sudan","117468",0.902912621359223
"63",62,97,82,1990,"Sudan","117468",0.845360824742268
"64",63,95,84,1990,"Sudan","117468",0.884210526315789
"65",64,78,71,1990,"Sudan","117468",0.91025641025641
"66",65,70,65,1990,"Sudan","117468",0.928571428571429
"67",66,64,57,1990,"Sudan","117468",0.890625
"68",67,80,73,1990,"Sudan","117468",0.9125
"69",68,62,57,1990,"Sudan","117468",0.919354838709677
"70",69,70,64,1990,"Sudan","117468",0.914285714285714
"71",70,62,60,1990,"Sudan","117468",0.967741935483871
"72",71,46,44,1990,"Sudan","117468",0.956521739130435
"73",72,42,40,1990,"Sudan","117468",0.952380952380952
"74",73,35,34,1990,"Sudan","117468",0.971428571428571
"75",74,50,45,1990,"Sudan","117468",0.9
"76",75,38,34,1990,"Sudan","117468",0.894736842105263
"77",76,36,30,1990,"Sudan","117468",0.833333333333333
"78",77,20,16,1990,"Sudan","117468",0.8
"79",78,23,20,1990,"Sudan","117468",0.869565217391304
"80",79,31,28,1990,"Sudan","117468",0.903225806451613
"81",80,8,7,1990,"Sudan","117468",0.875
"82",81,11,9,1990,"Sudan","117468",0.818181818181818
"83",82,16,16,1990,"Sudan","117468",1
"84",83,9,6,1990,"Sudan","117468",0.666666666666667
"85",84,5,4,1990,"Sudan","117468",0.8
"86",85,8,8,1990,"Sudan","117468",1
"87",86,9,6,1990,"Sudan","117468",0.666666666666667
"88",87,7,7,1990,"Sudan","117468",1
