"","age","pop","gp","country","seed","year","share"
"1",0,1140,0,"Suriname","219912",2022,0
"2",1,1148,0,"Suriname","219912",2022,0
"3",2,1144,0,"Suriname","219912",2022,0
"4",3,1195,0,"Suriname","219912",2022,0
"5",4,1195,0,"Suriname","219912",2022,0
"6",5,1148,0,"Suriname","219912",2022,0
"7",6,1143,0,"Suriname","219912",2022,0
"8",7,1185,0,"Suriname","219912",2022,0
"9",8,1179,0,"Suriname","219912",2022,0
"10",9,1205,0,"Suriname","219912",2022,0
"11",10,1144,0,"Suriname","219912",2022,0
"12",11,1151,0,"Suriname","219912",2022,0
"13",12,1195,0,"Suriname","219912",2022,0
"14",13,1167,0,"Suriname","219912",2022,0
"15",14,1111,0,"Suriname","219912",2022,0
"16",15,1168,0,"Suriname","219912",2022,0
"17",16,1122,0,"Suriname","219912",2022,0
"18",17,1161,0,"Suriname","219912",2022,0
"19",18,1172,0,"Suriname","219912",2022,0
"20",19,1147,0,"Suriname","219912",2022,0
"21",20,1155,0,"Suriname","219912",2022,0
"22",21,1153,0,"Suriname","219912",2022,0
"23",22,1218,0,"Suriname","219912",2022,0
"24",23,1201,0,"Suriname","219912",2022,0
"25",24,1162,0,"Suriname","219912",2022,0
"26",25,1155,0,"Suriname","219912",2022,0
"27",26,1155,1,"Suriname","219912",2022,0.000865800865800866
"28",27,1240,1,"Suriname","219912",2022,0.000806451612903226
"29",28,1200,0,"Suriname","219912",2022,0
"30",29,1169,0,"Suriname","219912",2022,0
"31",30,1159,6,"Suriname","219912",2022,0.00517687661777394
"32",31,1125,6,"Suriname","219912",2022,0.00533333333333333
"33",32,1115,8,"Suriname","219912",2022,0.00717488789237668
"34",33,1120,23,"Suriname","219912",2022,0.0205357142857143
"35",34,1026,34,"Suriname","219912",2022,0.0331384015594542
"36",35,1057,43,"Suriname","219912",2022,0.0406811731315043
"37",36,1011,64,"Suriname","219912",2022,0.0633036597428289
"38",37,1018,100,"Suriname","219912",2022,0.0982318271119843
"39",38,1101,139,"Suriname","219912",2022,0.126248864668483
"40",39,967,144,"Suriname","219912",2022,0.148914167528438
"41",40,992,181,"Suriname","219912",2022,0.182459677419355
"42",41,960,205,"Suriname","219912",2022,0.213541666666667
"43",42,985,255,"Suriname","219912",2022,0.258883248730964
"44",43,1036,323,"Suriname","219912",2022,0.311776061776062
"45",44,930,348,"Suriname","219912",2022,0.374193548387097
"46",45,895,347,"Suriname","219912",2022,0.387709497206704
"47",46,881,370,"Suriname","219912",2022,0.419977298524404
"48",47,1000,478,"Suriname","219912",2022,0.478
"49",48,1006,506,"Suriname","219912",2022,0.502982107355865
"50",49,948,502,"Suriname","219912",2022,0.529535864978903
"51",50,878,474,"Suriname","219912",2022,0.539863325740319
"52",51,916,531,"Suriname","219912",2022,0.579694323144105
"53",52,978,611,"Suriname","219912",2022,0.624744376278119
"54",53,955,600,"Suriname","219912",2022,0.628272251308901
"55",54,887,597,"Suriname","219912",2022,0.673055242390079
"56",55,910,636,"Suriname","219912",2022,0.698901098901099
"57",56,814,576,"Suriname","219912",2022,0.707616707616708
"58",57,777,574,"Suriname","219912",2022,0.738738738738739
"59",58,782,571,"Suriname","219912",2022,0.730179028132992
"60",59,750,533,"Suriname","219912",2022,0.710666666666667
"61",60,715,542,"Suriname","219912",2022,0.758041958041958
"62",61,710,562,"Suriname","219912",2022,0.791549295774648
"63",62,673,500,"Suriname","219912",2022,0.742942050520059
"64",63,621,483,"Suriname","219912",2022,0.777777777777778
"65",64,570,444,"Suriname","219912",2022,0.778947368421053
"66",65,525,412,"Suriname","219912",2022,0.784761904761905
"67",66,499,416,"Suriname","219912",2022,0.833667334669339
"68",67,478,392,"Suriname","219912",2022,0.820083682008368
"69",68,420,362,"Suriname","219912",2022,0.861904761904762
"70",69,410,350,"Suriname","219912",2022,0.853658536585366
"71",70,385,330,"Suriname","219912",2022,0.857142857142857
"72",71,358,303,"Suriname","219912",2022,0.846368715083799
"73",72,382,317,"Suriname","219912",2022,0.829842931937173
"74",73,355,283,"Suriname","219912",2022,0.797183098591549
"75",74,291,249,"Suriname","219912",2022,0.855670103092783
"76",75,269,225,"Suriname","219912",2022,0.836431226765799
"77",76,262,228,"Suriname","219912",2022,0.870229007633588
"78",77,221,200,"Suriname","219912",2022,0.904977375565611
"79",78,196,174,"Suriname","219912",2022,0.887755102040816
"80",79,204,181,"Suriname","219912",2022,0.887254901960784
"81",80,182,166,"Suriname","219912",2022,0.912087912087912
"82",81,125,111,"Suriname","219912",2022,0.888
"83",82,141,124,"Suriname","219912",2022,0.879432624113475
"84",83,114,105,"Suriname","219912",2022,0.921052631578947
"85",84,110,99,"Suriname","219912",2022,0.9
"86",85,88,78,"Suriname","219912",2022,0.886363636363636
"87",86,76,64,"Suriname","219912",2022,0.842105263157895
"88",87,47,44,"Suriname","219912",2022,0.936170212765957
"89",88,45,38,"Suriname","219912",2022,0.844444444444444
"90",89,31,29,"Suriname","219912",2022,0.935483870967742
"91",90,26,23,"Suriname","219912",2022,0.884615384615385
"92",91,24,23,"Suriname","219912",2022,0.958333333333333
"93",92,22,21,"Suriname","219912",2022,0.954545454545455
"94",93,12,11,"Suriname","219912",2022,0.916666666666667
"95",94,12,12,"Suriname","219912",2022,1
"96",95,8,8,"Suriname","219912",2022,1
"97",96,5,5,"Suriname","219912",2022,1
"98",97,2,2,"Suriname","219912",2022,1
"99",98,2,1,"Suriname","219912",2022,0.5
