"","age","pop","gp","year","country","seed","share"
"1",0,806,0,1960,"Sweden","20075",0
"2",1,885,0,1960,"Sweden","20075",0
"3",2,838,0,1960,"Sweden","20075",0
"4",3,878,0,1960,"Sweden","20075",0
"5",4,912,0,1960,"Sweden","20075",0
"6",5,848,0,1960,"Sweden","20075",0
"7",6,813,0,1960,"Sweden","20075",0
"8",7,854,0,1960,"Sweden","20075",0
"9",8,800,0,1960,"Sweden","20075",0
"10",9,804,0,1960,"Sweden","20075",0
"11",10,883,0,1960,"Sweden","20075",0
"12",11,848,0,1960,"Sweden","20075",0
"13",12,835,0,1960,"Sweden","20075",0
"14",13,830,0,1960,"Sweden","20075",0
"15",14,774,0,1960,"Sweden","20075",0
"16",15,818,0,1960,"Sweden","20075",0
"17",16,792,0,1960,"Sweden","20075",0
"18",17,811,0,1960,"Sweden","20075",0
"19",18,826,0,1960,"Sweden","20075",0
"20",19,801,0,1960,"Sweden","20075",0
"21",20,848,0,1960,"Sweden","20075",0
"22",21,837,0,1960,"Sweden","20075",0
"23",22,819,0,1960,"Sweden","20075",0
"24",23,867,0,1960,"Sweden","20075",0
"25",24,866,0,1960,"Sweden","20075",0
"26",25,806,0,1960,"Sweden","20075",0
"27",26,810,0,1960,"Sweden","20075",0
"28",27,834,0,1960,"Sweden","20075",0
"29",28,816,0,1960,"Sweden","20075",0
"30",29,793,1,1960,"Sweden","20075",0.00126103404791929
"31",30,835,0,1960,"Sweden","20075",0
"32",31,802,1,1960,"Sweden","20075",0.00124688279301746
"33",32,759,3,1960,"Sweden","20075",0.00395256916996047
"34",33,814,4,1960,"Sweden","20075",0.00491400491400491
"35",34,810,7,1960,"Sweden","20075",0.00864197530864197
"36",35,744,9,1960,"Sweden","20075",0.0120967741935484
"37",36,802,19,1960,"Sweden","20075",0.0236907730673317
"38",37,805,21,1960,"Sweden","20075",0.0260869565217391
"39",38,798,40,1960,"Sweden","20075",0.050125313283208
"40",39,805,49,1960,"Sweden","20075",0.0608695652173913
"41",40,772,56,1960,"Sweden","20075",0.0725388601036269
"42",41,804,77,1960,"Sweden","20075",0.095771144278607
"43",42,807,131,1960,"Sweden","20075",0.162329615861214
"44",43,803,137,1960,"Sweden","20075",0.170610211706102
"45",44,831,165,1960,"Sweden","20075",0.1985559566787
"46",45,846,188,1960,"Sweden","20075",0.222222222222222
"47",46,769,210,1960,"Sweden","20075",0.273081924577373
"48",47,792,277,1960,"Sweden","20075",0.349747474747475
"49",48,774,290,1960,"Sweden","20075",0.374677002583979
"50",49,793,299,1960,"Sweden","20075",0.377049180327869
"51",50,756,297,1960,"Sweden","20075",0.392857142857143
"52",51,766,360,1960,"Sweden","20075",0.469973890339426
"53",52,761,342,1960,"Sweden","20075",0.449408672798949
"54",53,752,390,1960,"Sweden","20075",0.518617021276596
"55",54,737,384,1960,"Sweden","20075",0.521031207598372
"56",55,720,394,1960,"Sweden","20075",0.547222222222222
"57",56,716,392,1960,"Sweden","20075",0.547486033519553
"58",57,695,405,1960,"Sweden","20075",0.58273381294964
"59",58,672,414,1960,"Sweden","20075",0.616071428571429
"60",59,715,438,1960,"Sweden","20075",0.612587412587413
"61",60,711,436,1960,"Sweden","20075",0.613220815752461
"62",61,672,427,1960,"Sweden","20075",0.635416666666667
"63",62,691,446,1960,"Sweden","20075",0.645441389290883
"64",63,627,443,1960,"Sweden","20075",0.706539074960128
"65",64,684,453,1960,"Sweden","20075",0.662280701754386
"66",65,608,398,1960,"Sweden","20075",0.654605263157895
"67",66,618,384,1960,"Sweden","20075",0.621359223300971
"68",67,629,435,1960,"Sweden","20075",0.691573926868045
"69",68,606,381,1960,"Sweden","20075",0.628712871287129
"70",69,571,395,1960,"Sweden","20075",0.691768826619965
"71",70,553,372,1960,"Sweden","20075",0.672694394213382
"72",71,523,372,1960,"Sweden","20075",0.711281070745698
"73",72,489,351,1960,"Sweden","20075",0.717791411042945
"74",73,457,321,1960,"Sweden","20075",0.702407002188184
"75",74,454,334,1960,"Sweden","20075",0.73568281938326
"76",75,439,300,1960,"Sweden","20075",0.683371298405467
"77",76,397,288,1960,"Sweden","20075",0.72544080604534
"78",77,365,264,1960,"Sweden","20075",0.723287671232877
