"","age","pop","gp","year","country","seed","share"
"1",0,2272,0,1960,"Switzerland","143306",0
"2",1,2234,0,1960,"Switzerland","143306",0
"3",2,2134,0,1960,"Switzerland","143306",0
"4",3,2211,0,1960,"Switzerland","143306",0
"5",4,2206,0,1960,"Switzerland","143306",0
"6",5,2140,0,1960,"Switzerland","143306",0
"7",6,2070,0,1960,"Switzerland","143306",0
"8",7,2048,0,1960,"Switzerland","143306",0
"9",8,2037,0,1960,"Switzerland","143306",0
"10",9,2089,0,1960,"Switzerland","143306",0
"11",10,2272,0,1960,"Switzerland","143306",0
"12",11,2204,0,1960,"Switzerland","143306",0
"13",12,2293,0,1960,"Switzerland","143306",0
"14",13,2227,0,1960,"Switzerland","143306",0
"15",14,2229,0,1960,"Switzerland","143306",0
"16",15,2126,0,1960,"Switzerland","143306",0
"17",16,2217,0,1960,"Switzerland","143306",0
"18",17,2209,0,1960,"Switzerland","143306",0
"19",18,2235,0,1960,"Switzerland","143306",0
"20",19,2129,0,1960,"Switzerland","143306",0
"21",20,2244,0,1960,"Switzerland","143306",0
"22",21,2089,0,1960,"Switzerland","143306",0
"23",22,2204,0,1960,"Switzerland","143306",0
"24",23,2290,0,1960,"Switzerland","143306",0
"25",24,2197,0,1960,"Switzerland","143306",0
"26",25,2148,0,1960,"Switzerland","143306",0
"27",26,2137,0,1960,"Switzerland","143306",0
"28",27,2237,0,1960,"Switzerland","143306",0
"29",28,2123,0,1960,"Switzerland","143306",0
"30",29,2221,0,1960,"Switzerland","143306",0
"31",30,2182,2,1960,"Switzerland","143306",0.000916590284142988
"32",31,2100,1,1960,"Switzerland","143306",0.000476190476190476
"33",32,2141,3,1960,"Switzerland","143306",0.00140121438580103
"34",33,2158,6,1960,"Switzerland","143306",0.00278035217794254
"35",34,2205,11,1960,"Switzerland","143306",0.00498866213151927
"36",35,2149,14,1960,"Switzerland","143306",0.00651465798045603
"37",36,2113,26,1960,"Switzerland","143306",0.0123047799337435
"38",37,2121,39,1960,"Switzerland","143306",0.0183875530410184
"39",38,2166,47,1960,"Switzerland","143306",0.0216989843028624
"40",39,2133,70,1960,"Switzerland","143306",0.0328176277543366
"41",40,2099,109,1960,"Switzerland","143306",0.0519294902334445
"42",41,2150,167,1960,"Switzerland","143306",0.0776744186046512
"43",42,2081,173,1960,"Switzerland","143306",0.083133109082172
"44",43,2047,203,1960,"Switzerland","143306",0.0991695163654128
"45",44,2035,317,1960,"Switzerland","143306",0.155773955773956
"46",45,1927,312,1960,"Switzerland","143306",0.161909704203425
"47",46,2011,430,1960,"Switzerland","143306",0.213823968175037
"48",47,1950,491,1960,"Switzerland","143306",0.251794871794872
"49",48,1973,575,1960,"Switzerland","143306",0.291434363912823
"50",49,1990,653,1960,"Switzerland","143306",0.328140703517588
"51",50,1977,685,1960,"Switzerland","143306",0.346484572584724
"52",51,1910,785,1960,"Switzerland","143306",0.410994764397906
"53",52,1831,802,1960,"Switzerland","143306",0.43801201529219
"54",53,1883,866,1960,"Switzerland","143306",0.459904407859798
"55",54,1813,916,1960,"Switzerland","143306",0.505239933811362
"56",55,1852,950,1960,"Switzerland","143306",0.512958963282937
"57",56,1829,1022,1960,"Switzerland","143306",0.5587752870421
"58",57,1769,1016,1960,"Switzerland","143306",0.574335782928208
"59",58,1824,1051,1960,"Switzerland","143306",0.576206140350877
"60",59,1782,1077,1960,"Switzerland","143306",0.604377104377104
"61",60,1743,1118,1960,"Switzerland","143306",0.641422834193919
"62",61,1713,1118,1960,"Switzerland","143306",0.652656158785756
"63",62,1693,1112,1960,"Switzerland","143306",0.656822209096279
"64",63,1713,1141,1960,"Switzerland","143306",0.666082895504962
"65",64,1613,1059,1960,"Switzerland","143306",0.656540607563546
"66",65,1577,1067,1960,"Switzerland","143306",0.676601141407736
"67",66,1462,978,1960,"Switzerland","143306",0.668946648426813
"68",67,1565,1118,1960,"Switzerland","143306",0.714376996805112
"69",68,1407,989,1960,"Switzerland","143306",0.702914001421464
"70",69,1387,964,1960,"Switzerland","143306",0.695025234318673
"71",70,1271,900,1960,"Switzerland","143306",0.708103855232101
"72",71,1264,886,1960,"Switzerland","143306",0.700949367088608
"73",72,1190,854,1960,"Switzerland","143306",0.717647058823529
"74",73,1153,840,1960,"Switzerland","143306",0.728534258456201
"75",74,1069,766,1960,"Switzerland","143306",0.716557530402245
"76",75,1005,709,1960,"Switzerland","143306",0.70547263681592
"77",76,887,619,1960,"Switzerland","143306",0.697857948139797
"78",77,797,576,1960,"Switzerland","143306",0.722710163111669
"79",78,698,510,1960,"Switzerland","143306",0.730659025787966
"80",79,671,471,1960,"Switzerland","143306",0.70193740685544
"81",80,603,432,1960,"Switzerland","143306",0.716417910447761
"82",81,504,378,1960,"Switzerland","143306",0.75
"83",82,475,327,1960,"Switzerland","143306",0.688421052631579
"84",83,399,288,1960,"Switzerland","143306",0.721804511278195
"85",84,336,225,1960,"Switzerland","143306",0.669642857142857
"86",85,272,193,1960,"Switzerland","143306",0.709558823529412
"87",86,235,173,1960,"Switzerland","143306",0.736170212765957
"88",87,168,129,1960,"Switzerland","143306",0.767857142857143
"89",88,145,111,1960,"Switzerland","143306",0.76551724137931
"90",89,137,102,1960,"Switzerland","143306",0.744525547445255
"91",90,78,55,1960,"Switzerland","143306",0.705128205128205
"92",91,44,28,1960,"Switzerland","143306",0.636363636363636
"93",92,57,37,1960,"Switzerland","143306",0.649122807017544
"94",93,28,18,1960,"Switzerland","143306",0.642857142857143
"95",94,32,22,1960,"Switzerland","143306",0.6875
"96",95,18,14,1960,"Switzerland","143306",0.777777777777778
"97",96,11,9,1960,"Switzerland","143306",0.818181818181818
"98",97,9,6,1960,"Switzerland","143306",0.666666666666667
"99",98,4,3,1960,"Switzerland","143306",0.75
"100",0,2469,0,1965,"Switzerland","143306",0
"101",1,2378,0,1965,"Switzerland","143306",0
"102",2,2386,0,1965,"Switzerland","143306",0
"103",3,2395,0,1965,"Switzerland","143306",0
"104",4,2379,0,1965,"Switzerland","143306",0
"105",5,2250,0,1965,"Switzerland","143306",0
"106",6,2223,0,1965,"Switzerland","143306",0
"107",7,2126,0,1965,"Switzerland","143306",0
"108",8,2204,0,1965,"Switzerland","143306",0
"109",9,2201,0,1965,"Switzerland","143306",0
"110",10,2139,0,1965,"Switzerland","143306",0
"111",11,2067,0,1965,"Switzerland","143306",0
"112",12,2043,0,1965,"Switzerland","143306",0
"113",13,2031,0,1965,"Switzerland","143306",0
"114",14,2088,0,1965,"Switzerland","143306",0
"115",15,2269,0,1965,"Switzerland","143306",0
"116",16,2195,0,1965,"Switzerland","143306",0
"117",17,2285,0,1965,"Switzerland","143306",0
"118",18,2220,0,1965,"Switzerland","143306",0
"119",19,2224,0,1965,"Switzerland","143306",0
"120",20,2114,0,1965,"Switzerland","143306",0
"121",21,2205,0,1965,"Switzerland","143306",0
"122",22,2200,0,1965,"Switzerland","143306",0
"123",23,2221,0,1965,"Switzerland","143306",0
"124",24,2124,0,1965,"Switzerland","143306",0
"125",25,2234,0,1965,"Switzerland","143306",0
"126",26,2083,0,1965,"Switzerland","143306",0
"127",27,2193,0,1965,"Switzerland","143306",0
"128",28,2278,2,1965,"Switzerland","143306",0.000877963125548727
"129",29,2185,1,1965,"Switzerland","143306",0.00045766590389016
"130",30,2138,1,1965,"Switzerland","143306",0.000467726847521048
"131",31,2123,4,1965,"Switzerland","143306",0.00188412623645784
"132",32,2227,5,1965,"Switzerland","143306",0.00224517287831163
"133",33,2114,4,1965,"Switzerland","143306",0.00189214758751183
"134",34,2213,4,1965,"Switzerland","143306",0.00180750112968821
"135",35,2176,16,1965,"Switzerland","143306",0.00735294117647059
"136",36,2081,28,1965,"Switzerland","143306",0.0134550696780394
"137",37,2131,51,1965,"Switzerland","143306",0.0239324260910371
"138",38,2140,58,1965,"Switzerland","143306",0.0271028037383178
"139",39,2193,97,1965,"Switzerland","143306",0.0442316461468308
"140",40,2128,147,1965,"Switzerland","143306",0.0690789473684211
"141",41,2094,185,1965,"Switzerland","143306",0.0883476599808978
"142",42,2113,251,1965,"Switzerland","143306",0.118788452437293
"143",43,2143,313,1965,"Switzerland","143306",0.146056929538031
"144",44,2109,337,1965,"Switzerland","143306",0.159791370317686
"145",45,2066,432,1965,"Switzerland","143306",0.209099709583737
"146",46,2120,513,1965,"Switzerland","143306",0.241981132075472
"147",47,2050,583,1965,"Switzerland","143306",0.284390243902439
"148",48,2021,624,1965,"Switzerland","143306",0.308758040573973
"149",49,1997,713,1965,"Switzerland","143306",0.357035553329995
"150",50,1884,722,1965,"Switzerland","143306",0.383227176220807
"151",51,1950,802,1965,"Switzerland","143306",0.411282051282051
"152",52,1905,896,1965,"Switzerland","143306",0.470341207349081
"153",53,1916,961,1965,"Switzerland","143306",0.501565762004175
"154",54,1933,985,1965,"Switzerland","143306",0.509570615623383
"155",55,1899,1002,1965,"Switzerland","143306",0.527646129541864
"156",56,1847,1040,1965,"Switzerland","143306",0.563075257173795
"157",57,1748,1046,1965,"Switzerland","143306",0.598398169336384
"158",58,1804,1065,1965,"Switzerland","143306",0.590354767184035
"159",59,1722,1075,1965,"Switzerland","143306",0.624274099883856
"160",60,1763,1111,1965,"Switzerland","143306",0.630175836642087
"161",61,1730,1136,1965,"Switzerland","143306",0.656647398843931
"162",62,1640,1086,1965,"Switzerland","143306",0.66219512195122
"163",63,1689,1112,1965,"Switzerland","143306",0.65837773830669
"164",64,1628,1096,1965,"Switzerland","143306",0.673218673218673
"165",65,1595,1118,1965,"Switzerland","143306",0.700940438871473
"166",66,1558,1090,1965,"Switzerland","143306",0.699614890885751
"167",67,1531,1062,1965,"Switzerland","143306",0.693664271717832
"168",68,1511,1055,1965,"Switzerland","143306",0.698213103904699
"169",69,1389,954,1965,"Switzerland","143306",0.68682505399568
"170",70,1361,957,1965,"Switzerland","143306",0.703159441587068
"171",71,1243,842,1965,"Switzerland","143306",0.67739340305712
"172",72,1286,932,1965,"Switzerland","143306",0.724727838258165
"173",73,1162,817,1965,"Switzerland","143306",0.703098106712565
"174",74,1104,774,1965,"Switzerland","143306",0.701086956521739
"175",75,998,710,1965,"Switzerland","143306",0.711422845691383
"176",76,951,671,1965,"Switzerland","143306",0.705573080967403
"177",77,861,627,1965,"Switzerland","143306",0.72822299651568
"178",78,813,600,1965,"Switzerland","143306",0.738007380073801
"179",79,757,553,1965,"Switzerland","143306",0.730515191545575
"180",80,658,466,1965,"Switzerland","143306",0.708206686930091
"181",81,525,377,1965,"Switzerland","143306",0.718095238095238
"182",82,475,341,1965,"Switzerland","143306",0.717894736842105
"183",83,383,283,1965,"Switzerland","143306",0.738903394255875
"184",84,359,271,1965,"Switzerland","143306",0.754874651810585
"185",85,293,203,1965,"Switzerland","143306",0.692832764505119
"186",86,220,167,1965,"Switzerland","143306",0.759090909090909
"187",87,197,139,1965,"Switzerland","143306",0.705583756345178
"188",88,139,95,1965,"Switzerland","143306",0.683453237410072
"189",89,108,72,1965,"Switzerland","143306",0.666666666666667
"190",90,92,70,1965,"Switzerland","143306",0.760869565217391
"191",91,71,60,1965,"Switzerland","143306",0.845070422535211
"192",92,36,29,1965,"Switzerland","143306",0.805555555555556
"193",93,36,28,1965,"Switzerland","143306",0.777777777777778
