"","age","pop","gp","year","country","seed","share"
"1",0,653,0,1960,"SyrianArabRepublic","124763",0
"2",1,586,0,1960,"SyrianArabRepublic","124763",0
"3",2,556,0,1960,"SyrianArabRepublic","124763",0
"4",3,527,0,1960,"SyrianArabRepublic","124763",0
"5",4,474,0,1960,"SyrianArabRepublic","124763",0
"6",5,466,0,1960,"SyrianArabRepublic","124763",0
"7",6,456,0,1960,"SyrianArabRepublic","124763",0
"8",7,444,0,1960,"SyrianArabRepublic","124763",0
"9",8,397,0,1960,"SyrianArabRepublic","124763",0
"10",9,385,0,1960,"SyrianArabRepublic","124763",0
"11",10,484,0,1960,"SyrianArabRepublic","124763",0
"12",11,481,0,1960,"SyrianArabRepublic","124763",0
"13",12,440,0,1960,"SyrianArabRepublic","124763",0
"14",13,410,0,1960,"SyrianArabRepublic","124763",0
"15",14,417,0,1960,"SyrianArabRepublic","124763",0
"16",15,389,0,1960,"SyrianArabRepublic","124763",0
"17",16,369,0,1960,"SyrianArabRepublic","124763",0
"18",17,366,0,1960,"SyrianArabRepublic","124763",0
"19",18,335,0,1960,"SyrianArabRepublic","124763",0
"20",19,327,0,1960,"SyrianArabRepublic","124763",0
"21",20,307,0,1960,"SyrianArabRepublic","124763",0
"22",21,318,0,1960,"SyrianArabRepublic","124763",0
"23",22,316,0,1960,"SyrianArabRepublic","124763",0
"24",23,325,0,1960,"SyrianArabRepublic","124763",0
"25",24,271,0,1960,"SyrianArabRepublic","124763",0
"26",25,270,0,1960,"SyrianArabRepublic","124763",0
"27",26,266,0,1960,"SyrianArabRepublic","124763",0
"28",27,250,0,1960,"SyrianArabRepublic","124763",0
"29",28,232,0,1960,"SyrianArabRepublic","124763",0
"30",29,253,2,1960,"SyrianArabRepublic","124763",0.00790513833992095
"31",30,221,0,1960,"SyrianArabRepublic","124763",0
"32",31,230,1,1960,"SyrianArabRepublic","124763",0.00434782608695652
"33",32,210,4,1960,"SyrianArabRepublic","124763",0.019047619047619
"34",33,206,4,1960,"SyrianArabRepublic","124763",0.0194174757281553
"35",34,177,7,1960,"SyrianArabRepublic","124763",0.0395480225988701
"36",35,198,13,1960,"SyrianArabRepublic","124763",0.0656565656565657
"37",36,209,20,1960,"SyrianArabRepublic","124763",0.0956937799043062
"38",37,162,18,1960,"SyrianArabRepublic","124763",0.111111111111111
"39",38,160,35,1960,"SyrianArabRepublic","124763",0.21875
"40",39,142,40,1960,"SyrianArabRepublic","124763",0.28169014084507
"41",40,153,53,1960,"SyrianArabRepublic","124763",0.34640522875817
"42",41,144,60,1960,"SyrianArabRepublic","124763",0.416666666666667
"43",42,146,53,1960,"SyrianArabRepublic","124763",0.363013698630137
"44",43,146,81,1960,"SyrianArabRepublic","124763",0.554794520547945
"45",44,128,76,1960,"SyrianArabRepublic","124763",0.59375
"46",45,114,76,1960,"SyrianArabRepublic","124763",0.666666666666667
"47",46,121,66,1960,"SyrianArabRepublic","124763",0.545454545454545
"48",47,120,77,1960,"SyrianArabRepublic","124763",0.641666666666667
"49",48,113,85,1960,"SyrianArabRepublic","124763",0.752212389380531
"50",49,108,83,1960,"SyrianArabRepublic","124763",0.768518518518518
"51",50,95,76,1960,"SyrianArabRepublic","124763",0.8
"52",51,104,87,1960,"SyrianArabRepublic","124763",0.836538461538462
"53",52,98,83,1960,"SyrianArabRepublic","124763",0.846938775510204
"54",53,84,78,1960,"SyrianArabRepublic","124763",0.928571428571429
"55",54,81,69,1960,"SyrianArabRepublic","124763",0.851851851851852
"56",55,70,65,1960,"SyrianArabRepublic","124763",0.928571428571429
"57",56,92,80,1960,"SyrianArabRepublic","124763",0.869565217391304
"58",57,54,49,1960,"SyrianArabRepublic","124763",0.907407407407407
"59",58,76,74,1960,"SyrianArabRepublic","124763",0.973684210526316
"60",59,67,62,1960,"SyrianArabRepublic","124763",0.925373134328358
"61",60,59,56,1960,"SyrianArabRepublic","124763",0.949152542372881
"62",61,57,56,1960,"SyrianArabRepublic","124763",0.982456140350877
"63",62,50,48,1960,"SyrianArabRepublic","124763",0.96
"64",63,40,40,1960,"SyrianArabRepublic","124763",1
"65",64,53,50,1960,"SyrianArabRepublic","124763",0.943396226415094
"66",65,42,39,1960,"SyrianArabRepublic","124763",0.928571428571429
"67",66,50,46,1960,"SyrianArabRepublic","124763",0.92
"68",67,39,38,1960,"SyrianArabRepublic","124763",0.974358974358974
"69",68,38,37,1960,"SyrianArabRepublic","124763",0.973684210526316
"70",69,25,25,1960,"SyrianArabRepublic","124763",1
"71",70,30,29,1960,"SyrianArabRepublic","124763",0.966666666666667
"72",71,31,28,1960,"SyrianArabRepublic","124763",0.903225806451613
"73",72,19,18,1960,"SyrianArabRepublic","124763",0.947368421052632
"74",73,22,22,1960,"SyrianArabRepublic","124763",1
"75",74,16,16,1960,"SyrianArabRepublic","124763",1
"76",75,24,24,1960,"SyrianArabRepublic","124763",1
"77",76,15,14,1960,"SyrianArabRepublic","124763",0.933333333333333
"78",77,13,12,1960,"SyrianArabRepublic","124763",0.923076923076923
"79",78,8,8,1960,"SyrianArabRepublic","124763",1
"80",79,13,13,1960,"SyrianArabRepublic","124763",1
"81",80,15,14,1960,"SyrianArabRepublic","124763",0.933333333333333
"82",81,2,2,1960,"SyrianArabRepublic","124763",1
"83",82,6,5,1960,"SyrianArabRepublic","124763",0.833333333333333
"84",83,7,7,1960,"SyrianArabRepublic","124763",1
"85",84,1,1,1960,"SyrianArabRepublic","124763",1
"86",85,6,5,1960,"SyrianArabRepublic","124763",0.833333333333333
"87",86,3,3,1960,"SyrianArabRepublic","124763",1
"88",88,2,2,1960,"SyrianArabRepublic","124763",1
"89",92,1,1,1960,"SyrianArabRepublic","124763",1
"90",93,1,1,1960,"SyrianArabRepublic","124763",1
"91",96,1,1,1960,"SyrianArabRepublic","124763",1
"92",0,751,0,1965,"SyrianArabRepublic","124763",0
"93",1,661,0,1965,"SyrianArabRepublic","124763",0
"94",2,661,0,1965,"SyrianArabRepublic","124763",0
"95",3,622,0,1965,"SyrianArabRepublic","124763",0
"96",4,580,0,1965,"SyrianArabRepublic","124763",0
"97",5,595,0,1965,"SyrianArabRepublic","124763",0
"98",6,559,0,1965,"SyrianArabRepublic","124763",0
"99",7,535,0,1965,"SyrianArabRepublic","124763",0
"100",8,508,0,1965,"SyrianArabRepublic","124763",0
"101",9,458,0,1965,"SyrianArabRepublic","124763",0
"102",10,456,0,1965,"SyrianArabRepublic","124763",0
"103",11,448,0,1965,"SyrianArabRepublic","124763",0
"104",12,441,0,1965,"SyrianArabRepublic","124763",0
"105",13,387,0,1965,"SyrianArabRepublic","124763",0
"106",14,380,0,1965,"SyrianArabRepublic","124763",0
"107",15,479,0,1965,"SyrianArabRepublic","124763",0
"108",16,473,0,1965,"SyrianArabRepublic","124763",0
"109",17,433,0,1965,"SyrianArabRepublic","124763",0
"110",18,403,0,1965,"SyrianArabRepublic","124763",0
"111",19,407,0,1965,"SyrianArabRepublic","124763",0
"112",20,386,0,1965,"SyrianArabRepublic","124763",0
"113",21,366,0,1965,"SyrianArabRepublic","124763",0
"114",22,360,0,1965,"SyrianArabRepublic","124763",0
"115",23,326,0,1965,"SyrianArabRepublic","124763",0
"116",24,315,0,1965,"SyrianArabRepublic","124763",0
"117",25,295,0,1965,"SyrianArabRepublic","124763",0
"118",26,311,0,1965,"SyrianArabRepublic","124763",0
"119",27,306,0,1965,"SyrianArabRepublic","124763",0
"120",28,318,0,1965,"SyrianArabRepublic","124763",0
"121",29,267,0,1965,"SyrianArabRepublic","124763",0
"122",30,264,2,1965,"SyrianArabRepublic","124763",0.00757575757575758
"123",31,262,5,1965,"SyrianArabRepublic","124763",0.0190839694656489
"124",32,243,8,1965,"SyrianArabRepublic","124763",0.0329218106995885
"125",33,226,4,1965,"SyrianArabRepublic","124763",0.0176991150442478
"126",34,249,18,1965,"SyrianArabRepublic","124763",0.072289156626506
"127",35,215,21,1965,"SyrianArabRepublic","124763",0.0976744186046512
"128",36,228,28,1965,"SyrianArabRepublic","124763",0.12280701754386
"129",37,201,31,1965,"SyrianArabRepublic","124763",0.154228855721393
"130",38,200,51,1965,"SyrianArabRepublic","124763",0.255
"131",39,176,52,1965,"SyrianArabRepublic","124763",0.295454545454545
