"","age","pop","gp","year","country","seed","share"
"1",0,1076,0,1960,"Thailand","183178",0
"2",1,1013,0,1960,"Thailand","183178",0
"3",2,1003,0,1960,"Thailand","183178",0
"4",3,971,0,1960,"Thailand","183178",0
"5",4,885,0,1960,"Thailand","183178",0
"6",5,844,0,1960,"Thailand","183178",0
"7",6,818,0,1960,"Thailand","183178",0
"8",7,770,0,1960,"Thailand","183178",0
"9",8,767,0,1960,"Thailand","183178",0
"10",9,717,0,1960,"Thailand","183178",0
"11",10,717,0,1960,"Thailand","183178",0
"12",11,689,0,1960,"Thailand","183178",0
"13",12,714,0,1960,"Thailand","183178",0
"14",13,618,0,1960,"Thailand","183178",0
"15",14,650,0,1960,"Thailand","183178",0
"16",15,628,0,1960,"Thailand","183178",0
"17",16,608,0,1960,"Thailand","183178",0
"18",17,605,0,1960,"Thailand","183178",0
"19",18,523,0,1960,"Thailand","183178",0
"20",19,570,0,1960,"Thailand","183178",0
"21",20,524,0,1960,"Thailand","183178",0
"22",21,526,0,1960,"Thailand","183178",0
"23",22,537,0,1960,"Thailand","183178",0
"24",23,483,0,1960,"Thailand","183178",0
"25",24,493,0,1960,"Thailand","183178",0
"26",25,472,0,1960,"Thailand","183178",0
"27",26,469,1,1960,"Thailand","183178",0.00213219616204691
"28",27,413,0,1960,"Thailand","183178",0
"29",28,426,0,1960,"Thailand","183178",0
"30",29,438,1,1960,"Thailand","183178",0.00228310502283105
"31",30,401,1,1960,"Thailand","183178",0.00249376558603491
"32",31,374,1,1960,"Thailand","183178",0.00267379679144385
"33",32,364,8,1960,"Thailand","183178",0.021978021978022
"34",33,389,9,1960,"Thailand","183178",0.0231362467866324
"35",34,373,10,1960,"Thailand","183178",0.0268096514745308
"36",35,369,13,1960,"Thailand","183178",0.035230352303523
"37",36,360,9,1960,"Thailand","183178",0.025
"38",37,300,16,1960,"Thailand","183178",0.0533333333333333
"39",38,310,37,1960,"Thailand","183178",0.119354838709677
"40",39,281,34,1960,"Thailand","183178",0.120996441281139
"41",40,298,38,1960,"Thailand","183178",0.12751677852349
"42",41,292,50,1960,"Thailand","183178",0.171232876712329
"43",42,263,65,1960,"Thailand","183178",0.247148288973384
"44",43,249,75,1960,"Thailand","183178",0.301204819277108
"45",44,246,90,1960,"Thailand","183178",0.365853658536585
"46",45,229,92,1960,"Thailand","183178",0.40174672489083
"47",46,233,103,1960,"Thailand","183178",0.44206008583691
"48",47,229,127,1960,"Thailand","183178",0.554585152838428
"49",48,217,128,1960,"Thailand","183178",0.589861751152074
"50",49,221,140,1960,"Thailand","183178",0.633484162895928
"51",50,196,140,1960,"Thailand","183178",0.714285714285714
"52",51,214,161,1960,"Thailand","183178",0.752336448598131
"53",52,187,151,1960,"Thailand","183178",0.807486631016043
"54",53,160,120,1960,"Thailand","183178",0.75
"55",54,199,156,1960,"Thailand","183178",0.78391959798995
"56",55,178,147,1960,"Thailand","183178",0.825842696629214
"57",56,143,122,1960,"Thailand","183178",0.853146853146853
"58",57,152,134,1960,"Thailand","183178",0.881578947368421
"59",58,166,143,1960,"Thailand","183178",0.86144578313253
