"","age","pop","gp","country","seed","year","share"
"1",0,935,0,"TimorLeste","100966",2022,0
"2",1,945,0,"TimorLeste","100966",2022,0
"3",2,983,0,"TimorLeste","100966",2022,0
"4",3,967,0,"TimorLeste","100966",2022,0
"5",4,924,0,"TimorLeste","100966",2022,0
"6",5,890,0,"TimorLeste","100966",2022,0
"7",6,839,0,"TimorLeste","100966",2022,0
"8",7,867,0,"TimorLeste","100966",2022,0
"9",8,865,0,"TimorLeste","100966",2022,0
"10",9,886,0,"TimorLeste","100966",2022,0
"11",10,781,0,"TimorLeste","100966",2022,0
"12",11,793,0,"TimorLeste","100966",2022,0
"13",12,921,0,"TimorLeste","100966",2022,0
"14",13,877,0,"TimorLeste","100966",2022,0
"15",14,854,0,"TimorLeste","100966",2022,0
"16",15,847,0,"TimorLeste","100966",2022,0
"17",16,817,0,"TimorLeste","100966",2022,0
"18",17,931,0,"TimorLeste","100966",2022,0
"19",18,883,0,"TimorLeste","100966",2022,0
"20",19,888,0,"TimorLeste","100966",2022,0
"21",20,818,0,"TimorLeste","100966",2022,0
"22",21,823,0,"TimorLeste","100966",2022,0
"23",22,725,0,"TimorLeste","100966",2022,0
"24",23,728,0,"TimorLeste","100966",2022,0
"25",24,727,0,"TimorLeste","100966",2022,0
"26",25,751,0,"TimorLeste","100966",2022,0
"27",26,655,0,"TimorLeste","100966",2022,0
"28",27,668,1,"TimorLeste","100966",2022,0.00149700598802395
"29",28,627,0,"TimorLeste","100966",2022,0
"30",29,622,1,"TimorLeste","100966",2022,0.00160771704180064
"31",30,600,1,"TimorLeste","100966",2022,0.00166666666666667
"32",31,617,2,"TimorLeste","100966",2022,0.00324149108589951
"33",32,526,2,"TimorLeste","100966",2022,0.00380228136882129
"34",33,590,5,"TimorLeste","100966",2022,0.00847457627118644
"35",34,529,5,"TimorLeste","100966",2022,0.00945179584120983
"36",35,482,7,"TimorLeste","100966",2022,0.0145228215767635
"37",36,505,16,"TimorLeste","100966",2022,0.0316831683168317
"38",37,459,26,"TimorLeste","100966",2022,0.0566448801742919
"39",38,516,35,"TimorLeste","100966",2022,0.0678294573643411
"40",39,498,44,"TimorLeste","100966",2022,0.0883534136546185
"41",40,465,61,"TimorLeste","100966",2022,0.131182795698925
"42",41,464,101,"TimorLeste","100966",2022,0.217672413793103
"43",42,327,94,"TimorLeste","100966",2022,0.287461773700306
"44",43,372,112,"TimorLeste","100966",2022,0.301075268817204
"45",44,341,108,"TimorLeste","100966",2022,0.316715542521994
"46",45,345,149,"TimorLeste","100966",2022,0.431884057971014
"47",46,363,167,"TimorLeste","100966",2022,0.460055096418733
"48",47,385,165,"TimorLeste","100966",2022,0.428571428571429
"49",48,368,215,"TimorLeste","100966",2022,0.584239130434783
"50",49,369,225,"TimorLeste","100966",2022,0.609756097560976
"51",50,355,235,"TimorLeste","100966",2022,0.661971830985915
"52",51,371,242,"TimorLeste","100966",2022,0.652291105121294
"53",52,362,236,"TimorLeste","100966",2022,0.651933701657459
"54",53,370,237,"TimorLeste","100966",2022,0.640540540540541
"55",54,338,265,"TimorLeste","100966",2022,0.784023668639053
"56",55,311,231,"TimorLeste","100966",2022,0.742765273311897
"57",56,316,256,"TimorLeste","100966",2022,0.810126582278481
"58",57,293,236,"TimorLeste","100966",2022,0.805460750853242
"59",58,278,237,"TimorLeste","100966",2022,0.852517985611511
"60",59,276,228,"TimorLeste","100966",2022,0.826086956521739
"61",60,272,229,"TimorLeste","100966",2022,0.841911764705882
"62",61,260,232,"TimorLeste","100966",2022,0.892307692307692
"63",62,255,210,"TimorLeste","100966",2022,0.823529411764706
"64",63,229,205,"TimorLeste","100966",2022,0.895196506550218
"65",64,228,194,"TimorLeste","100966",2022,0.850877192982456
"66",65,205,167,"TimorLeste","100966",2022,0.814634146341463
"67",66,207,178,"TimorLeste","100966",2022,0.859903381642512
"68",67,176,155,"TimorLeste","100966",2022,0.880681818181818
"69",68,197,171,"TimorLeste","100966",2022,0.868020304568528
"70",69,150,122,"TimorLeste","100966",2022,0.813333333333333
"71",70,154,131,"TimorLeste","100966",2022,0.850649350649351
"72",71,136,116,"TimorLeste","100966",2022,0.852941176470588
"73",72,139,106,"TimorLeste","100966",2022,0.762589928057554
"74",73,148,119,"TimorLeste","100966",2022,0.804054054054054
"75",74,145,121,"TimorLeste","100966",2022,0.83448275862069
"76",75,120,101,"TimorLeste","100966",2022,0.841666666666667
"77",76,97,81,"TimorLeste","100966",2022,0.835051546391753
"78",77,101,89,"TimorLeste","100966",2022,0.881188118811881
"79",78,74,64,"TimorLeste","100966",2022,0.864864864864865
"80",79,81,67,"TimorLeste","100966",2022,0.827160493827161
"81",80,66,56,"TimorLeste","100966",2022,0.848484848484849
"82",81,54,51,"TimorLeste","100966",2022,0.944444444444444
"83",82,45,40,"TimorLeste","100966",2022,0.888888888888889
"84",83,28,23,"TimorLeste","100966",2022,0.821428571428571
"85",84,22,18,"TimorLeste","100966",2022,0.818181818181818
"86",85,17,12,"TimorLeste","100966",2022,0.705882352941177
"87",86,23,17,"TimorLeste","100966",2022,0.739130434782609
"88",87,13,11,"TimorLeste","100966",2022,0.846153846153846
"89",88,12,9,"TimorLeste","100966",2022,0.75
"90",89,9,9,"TimorLeste","100966",2022,1
"91",90,8,6,"TimorLeste","100966",2022,0.75
"92",91,6,6,"TimorLeste","100966",2022,1
"93",92,3,3,"TimorLeste","100966",2022,1
"94",93,3,3,"TimorLeste","100966",2022,1
"95",94,1,1,"TimorLeste","100966",2022,1
