"","age","pop","gp","country","seed","year","share"
"1",0,1373,0,"Togo","437291",2022,0
"2",1,1246,0,"Togo","437291",2022,0
"3",2,1319,0,"Togo","437291",2022,0
"4",3,1269,0,"Togo","437291",2022,0
"5",4,1285,0,"Togo","437291",2022,0
"6",5,1247,0,"Togo","437291",2022,0
"7",6,1187,0,"Togo","437291",2022,0
"8",7,1217,0,"Togo","437291",2022,0
"9",8,1162,0,"Togo","437291",2022,0
"10",9,1262,0,"Togo","437291",2022,0
"11",10,1179,0,"Togo","437291",2022,0
"12",11,1065,0,"Togo","437291",2022,0
"13",12,1186,0,"Togo","437291",2022,0
"14",13,1133,0,"Togo","437291",2022,0
"15",14,1122,0,"Togo","437291",2022,0
"16",15,1149,0,"Togo","437291",2022,0
"17",16,1064,0,"Togo","437291",2022,0
"18",17,1030,0,"Togo","437291",2022,0
"19",18,1043,0,"Togo","437291",2022,0
"20",19,950,0,"Togo","437291",2022,0
"21",20,929,0,"Togo","437291",2022,0
"22",21,921,0,"Togo","437291",2022,0
"23",22,975,0,"Togo","437291",2022,0
"24",23,845,0,"Togo","437291",2022,0
"25",24,858,0,"Togo","437291",2022,0
"26",25,847,0,"Togo","437291",2022,0
"27",26,878,0,"Togo","437291",2022,0
"28",27,865,3,"Togo","437291",2022,0.00346820809248555
"29",28,790,1,"Togo","437291",2022,0.00126582278481013
"30",29,753,0,"Togo","437291",2022,0
"31",30,743,2,"Togo","437291",2022,0.00269179004037685
"32",31,745,2,"Togo","437291",2022,0.00268456375838926
"33",32,763,11,"Togo","437291",2022,0.0144167758846658
"34",33,729,13,"Togo","437291",2022,0.0178326474622771
"35",34,707,31,"Togo","437291",2022,0.0438472418670438
"36",35,704,46,"Togo","437291",2022,0.0653409090909091
"37",36,665,58,"Togo","437291",2022,0.087218045112782
"38",37,678,72,"Togo","437291",2022,0.106194690265487
"39",38,679,99,"Togo","437291",2022,0.14580265095729
"40",39,612,137,"Togo","437291",2022,0.223856209150327
"41",40,633,158,"Togo","437291",2022,0.249605055292259
"42",41,588,186,"Togo","437291",2022,0.316326530612245
"43",42,604,193,"Togo","437291",2022,0.31953642384106
"44",43,604,217,"Togo","437291",2022,0.359271523178808
"45",44,567,222,"Togo","437291",2022,0.391534391534392
"46",45,544,255,"Togo","437291",2022,0.46875
"47",46,511,261,"Togo","437291",2022,0.510763209393346
"48",47,503,291,"Togo","437291",2022,0.578528827037773
"49",48,476,294,"Togo","437291",2022,0.617647058823529
"50",49,470,296,"Togo","437291",2022,0.629787234042553
"51",50,459,309,"Togo","437291",2022,0.673202614379085
"52",51,396,291,"Togo","437291",2022,0.734848484848485
"53",52,405,282,"Togo","437291",2022,0.696296296296296
"54",53,401,297,"Togo","437291",2022,0.740648379052369
"55",54,369,270,"Togo","437291",2022,0.731707317073171
"56",55,402,326,"Togo","437291",2022,0.810945273631841
"57",56,376,284,"Togo","437291",2022,0.75531914893617
"58",57,326,263,"Togo","437291",2022,0.806748466257669
"59",58,349,296,"Togo","437291",2022,0.848137535816619
"60",59,300,262,"Togo","437291",2022,0.873333333333333
"61",60,285,245,"Togo","437291",2022,0.859649122807018
"62",61,271,229,"Togo","437291",2022,0.845018450184502
"63",62,234,208,"Togo","437291",2022,0.888888888888889
"64",63,225,194,"Togo","437291",2022,0.862222222222222
"65",64,225,201,"Togo","437291",2022,0.893333333333333
"66",65,201,180,"Togo","437291",2022,0.895522388059702
"67",66,189,169,"Togo","437291",2022,0.894179894179894
"68",67,187,163,"Togo","437291",2022,0.871657754010695
"69",68,170,143,"Togo","437291",2022,0.841176470588235
"70",69,144,126,"Togo","437291",2022,0.875
"71",70,130,117,"Togo","437291",2022,0.9
"72",71,130,113,"Togo","437291",2022,0.869230769230769
"73",72,133,117,"Togo","437291",2022,0.879699248120301
"74",73,130,114,"Togo","437291",2022,0.876923076923077
"75",74,123,110,"Togo","437291",2022,0.894308943089431
"76",75,96,88,"Togo","437291",2022,0.916666666666667
"77",76,97,86,"Togo","437291",2022,0.88659793814433
"78",77,82,79,"Togo","437291",2022,0.963414634146341
"79",78,79,73,"Togo","437291",2022,0.924050632911392
"80",79,46,43,"Togo","437291",2022,0.934782608695652
"81",80,41,35,"Togo","437291",2022,0.853658536585366
"82",81,44,43,"Togo","437291",2022,0.977272727272727
"83",82,28,26,"Togo","437291",2022,0.928571428571429
"84",83,21,19,"Togo","437291",2022,0.904761904761905
"85",84,15,13,"Togo","437291",2022,0.866666666666667
"86",85,12,10,"Togo","437291",2022,0.833333333333333
"87",86,10,9,"Togo","437291",2022,0.9
"88",87,9,6,"Togo","437291",2022,0.666666666666667
"89",88,2,2,"Togo","437291",2022,1
"90",89,6,6,"Togo","437291",2022,1
"91",90,3,2,"Togo","437291",2022,0.666666666666667
"92",91,2,2,"Togo","437291",2022,1
"93",92,1,1,"Togo","437291",2022,1
"94",94,1,1,"Togo","437291",2022,1
