"","age","pop","gp","year","country","seed","share"
"1",0,713,0,1990,"Tonga","170671",0
"2",1,723,0,1990,"Tonga","170671",0
"3",2,694,0,1990,"Tonga","170671",0
"4",3,657,0,1990,"Tonga","170671",0
"5",4,684,0,1990,"Tonga","170671",0
"6",5,698,0,1990,"Tonga","170671",0
"7",6,651,0,1990,"Tonga","170671",0
"8",7,676,0,1990,"Tonga","170671",0
"9",8,631,0,1990,"Tonga","170671",0
"10",9,633,0,1990,"Tonga","170671",0
"11",10,641,0,1990,"Tonga","170671",0
"12",11,614,0,1990,"Tonga","170671",0
"13",12,570,0,1990,"Tonga","170671",0
"14",13,555,0,1990,"Tonga","170671",0
"15",14,581,0,1990,"Tonga","170671",0
"16",15,530,0,1990,"Tonga","170671",0
"17",16,533,0,1990,"Tonga","170671",0
"18",17,495,0,1990,"Tonga","170671",0
"19",18,470,0,1990,"Tonga","170671",0
"20",19,464,0,1990,"Tonga","170671",0
"21",20,506,0,1990,"Tonga","170671",0
"22",21,485,0,1990,"Tonga","170671",0
"23",22,440,0,1990,"Tonga","170671",0
"24",23,484,0,1990,"Tonga","170671",0
"25",24,446,0,1990,"Tonga","170671",0
"26",25,439,0,1990,"Tonga","170671",0
"27",26,425,0,1990,"Tonga","170671",0
"28",27,450,0,1990,"Tonga","170671",0
"29",28,397,0,1990,"Tonga","170671",0
"30",29,411,0,1990,"Tonga","170671",0
"31",30,386,0,1990,"Tonga","170671",0
"32",31,401,1,1990,"Tonga","170671",0.00249376558603491
"33",32,358,0,1990,"Tonga","170671",0
"34",33,347,1,1990,"Tonga","170671",0.00288184438040346
"35",34,352,3,1990,"Tonga","170671",0.00852272727272727
"36",35,319,5,1990,"Tonga","170671",0.0156739811912226
"37",36,287,6,1990,"Tonga","170671",0.0209059233449477
"38",37,280,11,1990,"Tonga","170671",0.0392857142857143
"39",38,296,17,1990,"Tonga","170671",0.0574324324324324
"40",39,255,26,1990,"Tonga","170671",0.101960784313725
"41",40,303,46,1990,"Tonga","170671",0.151815181518152
"42",41,311,59,1990,"Tonga","170671",0.189710610932476
"43",42,297,73,1990,"Tonga","170671",0.245791245791246
"44",43,280,85,1990,"Tonga","170671",0.303571428571429
"45",44,268,112,1990,"Tonga","170671",0.417910447761194
"46",45,241,105,1990,"Tonga","170671",0.435684647302905
"47",46,242,103,1990,"Tonga","170671",0.425619834710744
"48",47,246,112,1990,"Tonga","170671",0.455284552845528
"49",48,212,117,1990,"Tonga","170671",0.55188679245283
"50",49,209,120,1990,"Tonga","170671",0.574162679425837
"51",50,209,124,1990,"Tonga","170671",0.593301435406699
"52",51,180,124,1990,"Tonga","170671",0.688888888888889
"53",52,190,128,1990,"Tonga","170671",0.673684210526316
"54",53,185,130,1990,"Tonga","170671",0.702702702702703
"55",54,167,126,1990,"Tonga","170671",0.754491017964072
