"","age","pop","gp","country","seed","year","share"
"1",0,550,0,"Tunisia","206506",2022,0
"2",1,547,0,"Tunisia","206506",2022,0
"3",2,588,0,"Tunisia","206506",2022,0
"4",3,611,0,"Tunisia","206506",2022,0
"5",4,600,0,"Tunisia","206506",2022,0
"6",5,582,0,"Tunisia","206506",2022,0
"7",6,621,0,"Tunisia","206506",2022,0
"8",7,602,0,"Tunisia","206506",2022,0
"9",8,621,0,"Tunisia","206506",2022,0
"10",9,634,0,"Tunisia","206506",2022,0
"11",10,597,0,"Tunisia","206506",2022,0
"12",11,644,0,"Tunisia","206506",2022,0
"13",12,537,0,"Tunisia","206506",2022,0
"14",13,496,0,"Tunisia","206506",2022,0
"15",14,514,0,"Tunisia","206506",2022,0
"16",15,533,0,"Tunisia","206506",2022,0
"17",16,514,0,"Tunisia","206506",2022,0
"18",17,496,0,"Tunisia","206506",2022,0
"19",18,489,0,"Tunisia","206506",2022,0
"20",19,466,0,"Tunisia","206506",2022,0
"21",20,480,0,"Tunisia","206506",2022,0
"22",21,483,0,"Tunisia","206506",2022,0
"23",22,537,0,"Tunisia","206506",2022,0
"24",23,517,0,"Tunisia","206506",2022,0
"25",24,519,0,"Tunisia","206506",2022,0
"26",25,495,0,"Tunisia","206506",2022,0
"27",26,468,0,"Tunisia","206506",2022,0
"28",27,597,0,"Tunisia","206506",2022,0
"29",28,554,0,"Tunisia","206506",2022,0
"30",29,510,0,"Tunisia","206506",2022,0
"31",30,534,0,"Tunisia","206506",2022,0
"32",31,521,1,"Tunisia","206506",2022,0.00191938579654511
"33",32,651,1,"Tunisia","206506",2022,0.00153609831029186
"34",33,615,1,"Tunisia","206506",2022,0.0016260162601626
"35",34,616,0,"Tunisia","206506",2022,0
"36",35,575,1,"Tunisia","206506",2022,0.00173913043478261
"37",36,568,3,"Tunisia","206506",2022,0.00528169014084507
"38",37,624,0,"Tunisia","206506",2022,0
"39",38,615,4,"Tunisia","206506",2022,0.00650406504065041
"40",39,576,3,"Tunisia","206506",2022,0.00520833333333333
"41",40,586,8,"Tunisia","206506",2022,0.0136518771331058
"42",41,556,11,"Tunisia","206506",2022,0.0197841726618705
"43",42,616,20,"Tunisia","206506",2022,0.0324675324675325
"44",43,581,18,"Tunisia","206506",2022,0.0309810671256454
"45",44,557,33,"Tunisia","206506",2022,0.059245960502693
"46",45,571,50,"Tunisia","206506",2022,0.0875656742556918
"47",46,538,54,"Tunisia","206506",2022,0.100371747211896
"48",47,538,59,"Tunisia","206506",2022,0.109665427509294
"49",48,522,81,"Tunisia","206506",2022,0.155172413793103
"50",49,491,108,"Tunisia","206506",2022,0.219959266802444
"51",50,486,103,"Tunisia","206506",2022,0.211934156378601
"52",51,502,111,"Tunisia","206506",2022,0.221115537848606
"53",52,501,157,"Tunisia","206506",2022,0.313373253493014
"54",53,469,184,"Tunisia","206506",2022,0.392324093816631
"55",54,447,205,"Tunisia","206506",2022,0.458612975391499
"56",55,434,223,"Tunisia","206506",2022,0.513824884792627
"57",56,433,234,"Tunisia","206506",2022,0.540415704387991
"58",57,420,242,"Tunisia","206506",2022,0.576190476190476
"59",58,388,232,"Tunisia","206506",2022,0.597938144329897
"60",59,389,259,"Tunisia","206506",2022,0.665809768637532
"61",60,350,237,"Tunisia","206506",2022,0.677142857142857
"62",61,342,271,"Tunisia","206506",2022,0.792397660818713
"63",62,304,247,"Tunisia","206506",2022,0.8125
"64",63,283,223,"Tunisia","206506",2022,0.787985865724382
"65",64,280,213,"Tunisia","206506",2022,0.760714285714286
"66",65,287,231,"Tunisia","206506",2022,0.804878048780488
"67",66,255,206,"Tunisia","206506",2022,0.807843137254902
"68",67,262,215,"Tunisia","206506",2022,0.820610687022901
"69",68,218,191,"Tunisia","206506",2022,0.876146788990826
"70",69,213,188,"Tunisia","206506",2022,0.882629107981221
"71",70,196,169,"Tunisia","206506",2022,0.862244897959184
"72",71,187,166,"Tunisia","206506",2022,0.887700534759358
"73",72,203,177,"Tunisia","206506",2022,0.87192118226601
"74",73,181,161,"Tunisia","206506",2022,0.889502762430939
"75",74,141,133,"Tunisia","206506",2022,0.943262411347518
"76",75,157,136,"Tunisia","206506",2022,0.866242038216561
"77",76,122,110,"Tunisia","206506",2022,0.901639344262295
"78",77,128,114,"Tunisia","206506",2022,0.890625
"79",78,117,107,"Tunisia","206506",2022,0.914529914529915
"80",79,83,75,"Tunisia","206506",2022,0.903614457831325
"81",80,83,73,"Tunisia","206506",2022,0.879518072289157
"82",81,65,62,"Tunisia","206506",2022,0.953846153846154
"83",82,64,58,"Tunisia","206506",2022,0.90625
"84",83,64,59,"Tunisia","206506",2022,0.921875
"85",84,45,43,"Tunisia","206506",2022,0.955555555555556
"86",85,38,35,"Tunisia","206506",2022,0.921052631578947
"87",86,34,30,"Tunisia","206506",2022,0.882352941176471
"88",87,25,24,"Tunisia","206506",2022,0.96
"89",88,20,19,"Tunisia","206506",2022,0.95
"90",89,18,18,"Tunisia","206506",2022,1
"91",90,16,15,"Tunisia","206506",2022,0.9375
"92",91,13,13,"Tunisia","206506",2022,1
"93",92,11,10,"Tunisia","206506",2022,0.909090909090909
"94",93,7,7,"Tunisia","206506",2022,1
"95",94,2,2,"Tunisia","206506",2022,1
"96",95,3,3,"Tunisia","206506",2022,1
"97",96,3,3,"Tunisia","206506",2022,1
"98",97,1,1,"Tunisia","206506",2022,1
"99",99,2,2,"Tunisia","206506",2022,1
