"","age","pop","gp","year","country","seed","share"
"1",0,162,0,1990,"Turkmenistan","155267",0
"2",1,149,0,1990,"Turkmenistan","155267",0
"3",2,160,0,1990,"Turkmenistan","155267",0
"4",3,158,0,1990,"Turkmenistan","155267",0
"5",4,144,0,1990,"Turkmenistan","155267",0
"6",5,128,0,1990,"Turkmenistan","155267",0
"7",6,121,0,1990,"Turkmenistan","155267",0
"8",7,134,0,1990,"Turkmenistan","155267",0
"9",8,126,0,1990,"Turkmenistan","155267",0
"10",9,125,0,1990,"Turkmenistan","155267",0
"11",10,123,0,1990,"Turkmenistan","155267",0
"12",11,121,0,1990,"Turkmenistan","155267",0
"13",12,109,0,1990,"Turkmenistan","155267",0
"14",13,130,0,1990,"Turkmenistan","155267",0
"15",14,106,0,1990,"Turkmenistan","155267",0
"16",15,121,0,1990,"Turkmenistan","155267",0
"17",16,117,0,1990,"Turkmenistan","155267",0
"18",17,98,0,1990,"Turkmenistan","155267",0
"19",18,99,0,1990,"Turkmenistan","155267",0
"20",19,109,0,1990,"Turkmenistan","155267",0
"21",20,114,0,1990,"Turkmenistan","155267",0
"22",21,102,0,1990,"Turkmenistan","155267",0
"23",22,102,0,1990,"Turkmenistan","155267",0
"24",23,106,0,1990,"Turkmenistan","155267",0
"25",24,97,0,1990,"Turkmenistan","155267",0
"26",25,99,0,1990,"Turkmenistan","155267",0
"27",26,89,0,1990,"Turkmenistan","155267",0
"28",27,94,0,1990,"Turkmenistan","155267",0
"29",28,83,0,1990,"Turkmenistan","155267",0
"30",29,90,0,1990,"Turkmenistan","155267",0
"31",30,76,0,1990,"Turkmenistan","155267",0
"32",31,85,0,1990,"Turkmenistan","155267",0
"33",32,64,0,1990,"Turkmenistan","155267",0
"34",33,74,0,1990,"Turkmenistan","155267",0
"35",34,61,0,1990,"Turkmenistan","155267",0
"36",35,59,0,1990,"Turkmenistan","155267",0
"37",36,44,0,1990,"Turkmenistan","155267",0
"38",37,64,2,1990,"Turkmenistan","155267",0.03125
"39",38,53,1,1990,"Turkmenistan","155267",0.0188679245283019
"40",39,59,2,1990,"Turkmenistan","155267",0.0338983050847458
"41",40,56,6,1990,"Turkmenistan","155267",0.107142857142857
"42",41,47,5,1990,"Turkmenistan","155267",0.106382978723404
"43",42,40,6,1990,"Turkmenistan","155267",0.15
"44",43,36,10,1990,"Turkmenistan","155267",0.277777777777778
"45",44,47,13,1990,"Turkmenistan","155267",0.276595744680851
"46",45,41,21,1990,"Turkmenistan","155267",0.51219512195122
"47",46,45,18,1990,"Turkmenistan","155267",0.4
"48",47,55,28,1990,"Turkmenistan","155267",0.509090909090909
"49",48,30,17,1990,"Turkmenistan","155267",0.566666666666667
"50",49,34,25,1990,"Turkmenistan","155267",0.735294117647059
"51",50,38,21,1990,"Turkmenistan","155267",0.552631578947368
"52",51,40,29,1990,"Turkmenistan","155267",0.725
"53",52,41,27,1990,"Turkmenistan","155267",0.658536585365854
"54",53,41,28,1990,"Turkmenistan","155267",0.682926829268293
"55",54,28,18,1990,"Turkmenistan","155267",0.642857142857143
"56",55,32,24,1990,"Turkmenistan","155267",0.75
"57",56,28,26,1990,"Turkmenistan","155267",0.928571428571429
"58",57,29,27,1990,"Turkmenistan","155267",0.931034482758621
"59",58,22,20,1990,"Turkmenistan","155267",0.909090909090909
"60",59,23,20,1990,"Turkmenistan","155267",0.869565217391304
"61",60,21,15,1990,"Turkmenistan","155267",0.714285714285714
"62",61,30,29,1990,"Turkmenistan","155267",0.966666666666667
"63",62,23,20,1990,"Turkmenistan","155267",0.869565217391304
"64",63,17,16,1990,"Turkmenistan","155267",0.941176470588235
"65",64,26,25,1990,"Turkmenistan","155267",0.961538461538462
"66",65,17,17,1990,"Turkmenistan","155267",1
"67",66,20,19,1990,"Turkmenistan","155267",0.95
"68",67,18,16,1990,"Turkmenistan","155267",0.888888888888889
"69",68,9,9,1990,"Turkmenistan","155267",1
"70",69,19,17,1990,"Turkmenistan","155267",0.894736842105263
"71",70,15,14,1990,"Turkmenistan","155267",0.933333333333333
"72",71,10,8,1990,"Turkmenistan","155267",0.8
"73",72,17,16,1990,"Turkmenistan","155267",0.941176470588235
"74",73,10,9,1990,"Turkmenistan","155267",0.9
"75",74,8,8,1990,"Turkmenistan","155267",1
"76",75,9,7,1990,"Turkmenistan","155267",0.777777777777778
"77",76,8,7,1990,"Turkmenistan","155267",0.875
"78",77,8,7,1990,"Turkmenistan","155267",0.875
"79",78,8,8,1990,"Turkmenistan","155267",1
"80",79,7,4,1990,"Turkmenistan","155267",0.571428571428571
"81",80,6,4,1990,"Turkmenistan","155267",0.666666666666667
"82",81,3,3,1990,"Turkmenistan","155267",1
"83",82,4,4,1990,"Turkmenistan","155267",1
"84",83,10,10,1990,"Turkmenistan","155267",1
"85",84,3,3,1990,"Turkmenistan","155267",1
"86",85,3,3,1990,"Turkmenistan","155267",1
"87",86,3,3,1990,"Turkmenistan","155267",1
"88",87,3,3,1990,"Turkmenistan","155267",1
"89",89,1,1,1990,"Turkmenistan","155267",1
"90",90,4,4,1990,"Turkmenistan","155267",1
"91",91,1,1,1990,"Turkmenistan","155267",1
"92",93,1,1,1990,"Turkmenistan","155267",1
"93",0,186,0,1995,"Turkmenistan","155267",0
"94",1,178,0,1995,"Turkmenistan","155267",0
"95",2,164,0,1995,"Turkmenistan","155267",0
"96",3,147,0,1995,"Turkmenistan","155267",0
"97",4,165,0,1995,"Turkmenistan","155267",0
"98",5,150,0,1995,"Turkmenistan","155267",0
"99",6,149,0,1995,"Turkmenistan","155267",0
"100",7,158,0,1995,"Turkmenistan","155267",0
"101",8,157,0,1995,"Turkmenistan","155267",0
"102",9,143,0,1995,"Turkmenistan","155267",0
"103",10,127,0,1995,"Turkmenistan","155267",0
"104",11,120,0,1995,"Turkmenistan","155267",0
"105",12,132,0,1995,"Turkmenistan","155267",0
"106",13,126,0,1995,"Turkmenistan","155267",0
"107",14,124,0,1995,"Turkmenistan","155267",0
"108",15,123,0,1995,"Turkmenistan","155267",0
"109",16,121,0,1995,"Turkmenistan","155267",0
"110",17,109,0,1995,"Turkmenistan","155267",0
"111",18,130,0,1995,"Turkmenistan","155267",0
"112",19,106,0,1995,"Turkmenistan","155267",0
"113",20,120,0,1995,"Turkmenistan","155267",0
"114",21,116,0,1995,"Turkmenistan","155267",0
"115",22,94,0,1995,"Turkmenistan","155267",0
"116",23,99,0,1995,"Turkmenistan","155267",0
"117",24,108,0,1995,"Turkmenistan","155267",0
"118",25,114,0,1995,"Turkmenistan","155267",0
"119",26,101,0,1995,"Turkmenistan","155267",0
"120",27,102,0,1995,"Turkmenistan","155267",0
"121",28,104,0,1995,"Turkmenistan","155267",0
"122",29,96,0,1995,"Turkmenistan","155267",0
"123",30,98,0,1995,"Turkmenistan","155267",0
"124",31,88,0,1995,"Turkmenistan","155267",0
"125",32,94,1,1995,"Turkmenistan","155267",0.0106382978723404
"126",33,82,1,1995,"Turkmenistan","155267",0.0121951219512195
"127",34,90,1,1995,"Turkmenistan","155267",0.0111111111111111
"128",35,76,0,1995,"Turkmenistan","155267",0
"129",36,83,1,1995,"Turkmenistan","155267",0.0120481927710843
"130",37,61,0,1995,"Turkmenistan","155267",0
"131",38,73,4,1995,"Turkmenistan","155267",0.0547945205479452
"132",39,60,2,1995,"Turkmenistan","155267",0.0333333333333333
"133",40,58,0,1995,"Turkmenistan","155267",0
"134",41,42,4,1995,"Turkmenistan","155267",0.0952380952380952
"135",42,63,10,1995,"Turkmenistan","155267",0.158730158730159
"136",43,48,7,1995,"Turkmenistan","155267",0.145833333333333
"137",44,58,16,1995,"Turkmenistan","155267",0.275862068965517
"138",45,54,16,1995,"Turkmenistan","155267",0.296296296296296
"139",46,47,18,1995,"Turkmenistan","155267",0.382978723404255
"140",47,37,17,1995,"Turkmenistan","155267",0.459459459459459
