"","age","pop","gp","year","country","seed","share"
"1",0,820,0,1960,"USA","246306",0
"2",1,833,0,1960,"USA","246306",0
"3",2,748,0,1960,"USA","246306",0
"4",3,773,0,1960,"USA","246306",0
"5",4,759,0,1960,"USA","246306",0
"6",5,698,0,1960,"USA","246306",0
"7",6,719,0,1960,"USA","246306",0
"8",7,697,0,1960,"USA","246306",0
"9",8,662,0,1960,"USA","246306",0
"10",9,694,0,1960,"USA","246306",0
"11",10,667,0,1960,"USA","246306",0
"12",11,601,0,1960,"USA","246306",0
"13",12,628,0,1960,"USA","246306",0
"14",13,572,0,1960,"USA","246306",0
"15",14,617,0,1960,"USA","246306",0
"16",15,603,0,1960,"USA","246306",0
"17",16,558,0,1960,"USA","246306",0
"18",17,536,0,1960,"USA","246306",0
"19",18,587,0,1960,"USA","246306",0
"20",19,550,0,1960,"USA","246306",0
"21",20,557,0,1960,"USA","246306",0
"22",21,521,0,1960,"USA","246306",0
"23",22,550,0,1960,"USA","246306",0
"24",23,505,0,1960,"USA","246306",0
"25",24,522,1,1960,"USA","246306",0.00191570881226054
"26",25,493,0,1960,"USA","246306",0
"27",26,493,0,1960,"USA","246306",0
"28",27,500,1,1960,"USA","246306",0.002
"29",28,499,0,1960,"USA","246306",0
"30",29,444,2,1960,"USA","246306",0.0045045045045045
"31",30,457,2,1960,"USA","246306",0.00437636761487965
"32",31,511,2,1960,"USA","246306",0.00391389432485323
"33",32,448,7,1960,"USA","246306",0.015625
"34",33,435,15,1960,"USA","246306",0.0344827586206897
"35",34,416,16,1960,"USA","246306",0.0384615384615385
"36",35,402,26,1960,"USA","246306",0.0646766169154229
"37",36,445,40,1960,"USA","246306",0.0898876404494382
"38",37,387,45,1960,"USA","246306",0.116279069767442
"39",38,448,69,1960,"USA","246306",0.154017857142857
"40",39,403,88,1960,"USA","246306",0.218362282878412
"41",40,376,79,1960,"USA","246306",0.210106382978723
"42",41,368,119,1960,"USA","246306",0.323369565217391
"43",42,377,134,1960,"USA","246306",0.355437665782493
"44",43,356,154,1960,"USA","246306",0.432584269662921
"45",44,383,160,1960,"USA","246306",0.4177545691906
"46",45,373,182,1960,"USA","246306",0.487935656836461
"47",46,369,202,1960,"USA","246306",0.547425474254743
"48",47,326,206,1960,"USA","246306",0.631901840490798
"49",48,326,212,1960,"USA","246306",0.650306748466258
"50",49,341,220,1960,"USA","246306",0.645161290322581
"51",50,327,236,1960,"USA","246306",0.7217125382263
"52",51,298,193,1960,"USA","246306",0.647651006711409
"53",52,302,223,1960,"USA","246306",0.73841059602649
"54",53,280,195,1960,"USA","246306",0.696428571428571
"55",54,283,212,1960,"USA","246306",0.749116607773852
"56",55,286,229,1960,"USA","246306",0.800699300699301
"57",56,303,237,1960,"USA","246306",0.782178217821782
"58",57,256,206,1960,"USA","246306",0.8046875
"59",58,244,202,1960,"USA","246306",0.827868852459016
"60",59,226,182,1960,"USA","246306",0.805309734513274
"61",60,244,199,1960,"USA","246306",0.815573770491803
"62",61,252,197,1960,"USA","246306",0.781746031746032
"63",62,212,182,1960,"USA","246306",0.858490566037736
"64",63,216,180,1960,"USA","246306",0.833333333333333
"65",64,203,142,1960,"USA","246306",0.699507389162562
"66",65,224,175,1960,"USA","246306",0.78125
"67",66,200,167,1960,"USA","246306",0.835
"68",67,199,162,1960,"USA","246306",0.814070351758794
"69",68,183,151,1960,"USA","246306",0.825136612021858
"70",69,139,119,1960,"USA","246306",0.856115107913669
"71",70,158,136,1960,"USA","246306",0.860759493670886
"72",71,167,143,1960,"USA","246306",0.856287425149701
"73",72,175,145,1960,"USA","246306",0.828571428571429
"74",73,128,110,1960,"USA","246306",0.859375
"75",74,140,122,1960,"USA","246306",0.871428571428571
"76",75,98,87,1960,"USA","246306",0.887755102040816
"77",76,100,84,1960,"USA","246306",0.84
"78",77,89,75,1960,"USA","246306",0.842696629213483
"79",78,80,66,1960,"USA","246306",0.825
"80",79,85,71,1960,"USA","246306",0.835294117647059
"81",80,62,50,1960,"USA","246306",0.806451612903226
"82",81,66,52,1960,"USA","246306",0.787878787878788
"83",82,60,49,1960,"USA","246306",0.816666666666667
"84",83,58,50,1960,"USA","246306",0.862068965517241
"85",84,42,32,1960,"USA","246306",0.761904761904762
"86",85,43,30,1960,"USA","246306",0.697674418604651
"87",86,29,25,1960,"USA","246306",0.862068965517241
"88",87,25,22,1960,"USA","246306",0.88
"89",88,13,12,1960,"USA","246306",0.923076923076923
"90",89,19,13,1960,"USA","246306",0.68421052631579
"91",90,12,9,1960,"USA","246306",0.75
"92",91,8,7,1960,"USA","246306",0.875
"93",92,5,3,1960,"USA","246306",0.6
"94",93,9,9,1960,"USA","246306",1
"95",94,3,3,1960,"USA","246306",1
"96",95,2,2,1960,"USA","246306",1
"97",96,3,1,1960,"USA","246306",0.333333333333333
"98",97,1,1,1960,"USA","246306",1
"99",0,798,0,1965,"USA","246306",0
"100",1,738,0,1965,"USA","246306",0
"101",2,759,0,1965,"USA","246306",0
"102",3,739,0,1965,"USA","246306",0
"103",4,772,0,1965,"USA","246306",0
"104",5,808,0,1965,"USA","246306",0
"105",6,831,0,1965,"USA","246306",0
"106",7,746,0,1965,"USA","246306",0
"107",8,771,0,1965,"USA","246306",0
"108",9,757,0,1965,"USA","246306",0
"109",10,695,0,1965,"USA","246306",0
"110",11,718,0,1965,"USA","246306",0
"111",12,692,0,1965,"USA","246306",0
"112",13,661,0,1965,"USA","246306",0
"113",14,694,0,1965,"USA","246306",0
"114",15,666,0,1965,"USA","246306",0
"115",16,599,0,1965,"USA","246306",0
"116",17,626,0,1965,"USA","246306",0
"117",18,568,0,1965,"USA","246306",0
"118",19,615,0,1965,"USA","246306",0
"119",20,601,0,1965,"USA","246306",0
"120",21,554,0,1965,"USA","246306",0
"121",22,535,0,1965,"USA","246306",0
"122",23,584,1,1965,"USA","246306",0.00171232876712329
"123",24,548,0,1965,"USA","246306",0
"124",25,555,1,1965,"USA","246306",0.0018018018018018
"125",26,519,0,1965,"USA","246306",0
"126",27,545,0,1965,"USA","246306",0
"127",28,503,1,1965,"USA","246306",0.00198807157057654
"128",29,520,2,1965,"USA","246306",0.00384615384615385
"129",30,490,1,1965,"USA","246306",0.00204081632653061
"130",31,492,5,1965,"USA","246306",0.0101626016260163
"131",32,495,10,1965,"USA","246306",0.0202020202020202
"132",33,498,12,1965,"USA","246306",0.0240963855421687
"133",34,441,15,1965,"USA","246306",0.0340136054421769
"134",35,447,30,1965,"USA","246306",0.0671140939597315
"135",36,505,37,1965,"USA","246306",0.0732673267326733
