"","age","pop","gp","country","seed","year","share"
"1",0,1552,0,"Ukraine","109760",2022,0
"2",1,1485,0,"Ukraine","109760",2022,0
"3",2,1542,0,"Ukraine","109760",2022,0
"4",3,1618,0,"Ukraine","109760",2022,0
"5",4,1602,0,"Ukraine","109760",2022,0
"6",5,1716,0,"Ukraine","109760",2022,0
"7",6,1741,0,"Ukraine","109760",2022,0
"8",7,1810,0,"Ukraine","109760",2022,0
"9",8,1912,0,"Ukraine","109760",2022,0
"10",9,1935,0,"Ukraine","109760",2022,0
"11",10,1970,0,"Ukraine","109760",2022,0
"12",11,1946,0,"Ukraine","109760",2022,0
"13",12,1836,0,"Ukraine","109760",2022,0
"14",13,1936,0,"Ukraine","109760",2022,0
"15",14,1915,0,"Ukraine","109760",2022,0
"16",15,1903,0,"Ukraine","109760",2022,0
"17",16,1997,0,"Ukraine","109760",2022,0
"18",17,1615,0,"Ukraine","109760",2022,0
"19",18,1635,0,"Ukraine","109760",2022,0
"20",19,1695,0,"Ukraine","109760",2022,0
"21",20,1663,0,"Ukraine","109760",2022,0
"22",21,1618,0,"Ukraine","109760",2022,0
"23",22,1842,0,"Ukraine","109760",2022,0
"24",23,1807,0,"Ukraine","109760",2022,0
"25",24,1811,0,"Ukraine","109760",2022,0
"26",25,1841,0,"Ukraine","109760",2022,0
"27",26,1863,0,"Ukraine","109760",2022,0
"28",27,2379,0,"Ukraine","109760",2022,0
"29",28,2388,1,"Ukraine","109760",2022,0.000418760469011725
"30",29,2424,1,"Ukraine","109760",2022,0.000412541254125413
"31",30,2438,3,"Ukraine","109760",2022,0.00123051681706317
"32",31,2501,3,"Ukraine","109760",2022,0.00119952019192323
"33",32,2867,9,"Ukraine","109760",2022,0.00313916986396931
"34",33,2866,10,"Ukraine","109760",2022,0.00348918353105373
"35",34,2901,25,"Ukraine","109760",2022,0.00861771802826612
"36",35,2858,42,"Ukraine","109760",2022,0.0146955913226032
"37",36,2882,46,"Ukraine","109760",2022,0.0159611380985427
"38",37,2951,67,"Ukraine","109760",2022,0.0227041680786174
"39",38,2938,107,"Ukraine","109760",2022,0.0364193328795099
"40",39,3097,154,"Ukraine","109760",2022,0.04972554084598
"41",40,3067,199,"Ukraine","109760",2022,0.0648842517117705
