"","age","pop","gp","year","country","seed","share"
"1",0,1495,0,1960,"UnitedArabEmirates","294412",0
"2",1,1354,0,1960,"UnitedArabEmirates","294412",0
"3",2,1255,0,1960,"UnitedArabEmirates","294412",0
"4",3,1139,0,1960,"UnitedArabEmirates","294412",0
"5",4,1129,0,1960,"UnitedArabEmirates","294412",0
"6",5,1007,0,1960,"UnitedArabEmirates","294412",0
"7",6,1035,0,1960,"UnitedArabEmirates","294412",0
"8",7,971,0,1960,"UnitedArabEmirates","294412",0
"9",8,883,0,1960,"UnitedArabEmirates","294412",0
"10",9,919,0,1960,"UnitedArabEmirates","294412",0
"11",10,1021,0,1960,"UnitedArabEmirates","294412",0
"12",11,943,0,1960,"UnitedArabEmirates","294412",0
"13",12,900,0,1960,"UnitedArabEmirates","294412",0
"14",13,933,0,1960,"UnitedArabEmirates","294412",0
"15",14,897,0,1960,"UnitedArabEmirates","294412",0
"16",15,860,0,1960,"UnitedArabEmirates","294412",0
"17",16,812,0,1960,"UnitedArabEmirates","294412",0
"18",17,789,0,1960,"UnitedArabEmirates","294412",0
"19",18,827,0,1960,"UnitedArabEmirates","294412",0
"20",19,771,0,1960,"UnitedArabEmirates","294412",0
"21",20,732,0,1960,"UnitedArabEmirates","294412",0
"22",21,728,0,1960,"UnitedArabEmirates","294412",0
"23",22,697,0,1960,"UnitedArabEmirates","294412",0
"24",23,661,0,1960,"UnitedArabEmirates","294412",0
"25",24,645,0,1960,"UnitedArabEmirates","294412",0
"26",25,644,0,1960,"UnitedArabEmirates","294412",0
"27",26,618,0,1960,"UnitedArabEmirates","294412",0
"28",27,554,0,1960,"UnitedArabEmirates","294412",0
"29",28,548,0,1960,"UnitedArabEmirates","294412",0
"30",29,573,7,1960,"UnitedArabEmirates","294412",0.012216404886562
"31",30,523,10,1960,"UnitedArabEmirates","294412",0.0191204588910134
"32",31,512,11,1960,"UnitedArabEmirates","294412",0.021484375
"33",32,472,23,1960,"UnitedArabEmirates","294412",0.048728813559322
"34",33,423,27,1960,"UnitedArabEmirates","294412",0.0638297872340425
"35",34,453,57,1960,"UnitedArabEmirates","294412",0.125827814569536
"36",35,414,50,1960,"UnitedArabEmirates","294412",0.120772946859903
"37",36,439,81,1960,"UnitedArabEmirates","294412",0.184510250569476
"38",37,407,94,1960,"UnitedArabEmirates","294412",0.230958230958231
"39",38,415,116,1960,"UnitedArabEmirates","294412",0.279518072289157
"40",39,383,129,1960,"UnitedArabEmirates","294412",0.336814621409922
"41",40,367,177,1960,"UnitedArabEmirates","294412",0.482288828337875
"42",41,363,180,1960,"UnitedArabEmirates","294412",0.495867768595041
"43",42,339,202,1960,"UnitedArabEmirates","294412",0.595870206489675
"44",43,341,221,1960,"UnitedArabEmirates","294412",0.648093841642229
"45",44,280,198,1960,"UnitedArabEmirates","294412",0.707142857142857
"46",45,322,234,1960,"UnitedArabEmirates","294412",0.726708074534162
"47",46,331,238,1960,"UnitedArabEmirates","294412",0.719033232628399
"48",47,281,204,1960,"UnitedArabEmirates","294412",0.725978647686833
"49",48,293,226,1960,"UnitedArabEmirates","294412",0.771331058020478
"50",49,249,197,1960,"UnitedArabEmirates","294412",0.791164658634538
"51",50,232,198,1960,"UnitedArabEmirates","294412",0.853448275862069
"52",51,215,188,1960,"UnitedArabEmirates","294412",0.874418604651163
"53",52,215,188,1960,"UnitedArabEmirates","294412",0.874418604651163
"54",53,217,187,1960,"UnitedArabEmirates","294412",0.861751152073733
"55",54,215,190,1960,"UnitedArabEmirates","294412",0.883720930232558
"56",55,189,168,1960,"UnitedArabEmirates","294412",0.888888888888889
"57",56,196,178,1960,"UnitedArabEmirates","294412",0.908163265306122
"58",57,195,184,1960,"UnitedArabEmirates","294412",0.943589743589744
"59",58,181,164,1960,"UnitedArabEmirates","294412",0.906077348066298
"60",59,177,166,1960,"UnitedArabEmirates","294412",0.937853107344633
"61",60,150,139,1960,"UnitedArabEmirates","294412",0.926666666666667
"62",61,148,139,1960,"UnitedArabEmirates","294412",0.939189189189189
"63",62,138,127,1960,"UnitedArabEmirates","294412",0.920289855072464
"64",63,120,115,1960,"UnitedArabEmirates","294412",0.958333333333333
"65",64,129,121,1960,"UnitedArabEmirates","294412",0.937984496124031
"66",65,116,106,1960,"UnitedArabEmirates","294412",0.913793103448276
"67",66,117,111,1960,"UnitedArabEmirates","294412",0.948717948717949
"68",67,88,80,1960,"UnitedArabEmirates","294412",0.909090909090909
"69",68,98,92,1960,"UnitedArabEmirates","294412",0.938775510204082
"70",69,97,89,1960,"UnitedArabEmirates","294412",0.917525773195876
"71",70,73,67,1960,"UnitedArabEmirates","294412",0.917808219178082
"72",71,61,57,1960,"UnitedArabEmirates","294412",0.934426229508197
"73",72,55,50,1960,"UnitedArabEmirates","294412",0.909090909090909
"74",73,66,61,1960,"UnitedArabEmirates","294412",0.924242424242424
"75",74,57,51,1960,"UnitedArabEmirates","294412",0.894736842105263
"76",75,51,49,1960,"UnitedArabEmirates","294412",0.96078431372549
"77",76,33,32,1960,"UnitedArabEmirates","294412",0.96969696969697
"78",77,32,30,1960,"UnitedArabEmirates","294412",0.9375
"79",78,34,33,1960,"UnitedArabEmirates","294412",0.970588235294118
"80",79,15,15,1960,"UnitedArabEmirates","294412",1
"81",80,21,17,1960,"UnitedArabEmirates","294412",0.80952380952381
"82",81,11,11,1960,"UnitedArabEmirates","294412",1
"83",82,12,11,1960,"UnitedArabEmirates","294412",0.916666666666667
"84",83,11,6,1960,"UnitedArabEmirates","294412",0.545454545454545
"85",84,11,11,1960,"UnitedArabEmirates","294412",1
"86",85,7,7,1960,"UnitedArabEmirates","294412",1
"87",86,1,1,1960,"UnitedArabEmirates","294412",1
"88",87,4,4,1960,"UnitedArabEmirates","294412",1
"89",88,3,2,1960,"UnitedArabEmirates","294412",0.666666666666667
"90",89,2,2,1960,"UnitedArabEmirates","294412",1
"91",90,1,1,1960,"UnitedArabEmirates","294412",1
"92",92,2,0,1960,"UnitedArabEmirates","294412",0
"93",94,1,1,1960,"UnitedArabEmirates","294412",1
"94",0,1659,0,1965,"UnitedArabEmirates","294412",0
"95",1,1590,0,1965,"UnitedArabEmirates","294412",0
"96",2,1441,0,1965,"UnitedArabEmirates","294412",0
"97",3,1443,0,1965,"UnitedArabEmirates","294412",0
"98",4,1418,0,1965,"UnitedArabEmirates","294412",0
"99",5,1297,0,1965,"UnitedArabEmirates","294412",0
"100",6,1289,0,1965,"UnitedArabEmirates","294412",0
"101",7,1194,0,1965,"UnitedArabEmirates","294412",0
"102",8,1103,0,1965,"UnitedArabEmirates","294412",0
"103",9,1102,0,1965,"UnitedArabEmirates","294412",0
"104",10,990,0,1965,"UnitedArabEmirates","294412",0
"105",11,1021,0,1965,"UnitedArabEmirates","294412",0
"106",12,961,0,1965,"UnitedArabEmirates","294412",0
"107",13,870,0,1965,"UnitedArabEmirates","294412",0
"108",14,912,0,1965,"UnitedArabEmirates","294412",0
"109",15,1006,0,1965,"UnitedArabEmirates","294412",0
"110",16,932,0,1965,"UnitedArabEmirates","294412",0
"111",17,888,0,1965,"UnitedArabEmirates","294412",0
"112",18,924,0,1965,"UnitedArabEmirates","294412",0
"113",19,889,0,1965,"UnitedArabEmirates","294412",0
"114",20,851,0,1965,"UnitedArabEmirates","294412",0
"115",21,797,0,1965,"UnitedArabEmirates","294412",0
