"","age","pop","gp","country","seed","year","share"
"1",0,809,0,"UnitedKingdom","111879",2022,0
"2",1,826,0,"UnitedKingdom","111879",2022,0
"3",2,879,0,"UnitedKingdom","111879",2022,0
"4",3,880,0,"UnitedKingdom","111879",2022,0
"5",4,850,0,"UnitedKingdom","111879",2022,0
"6",5,892,0,"UnitedKingdom","111879",2022,0
"7",6,859,0,"UnitedKingdom","111879",2022,0
"8",7,959,0,"UnitedKingdom","111879",2022,0
"9",8,923,0,"UnitedKingdom","111879",2022,0
"10",9,990,0,"UnitedKingdom","111879",2022,0
"11",10,925,0,"UnitedKingdom","111879",2022,0
"12",11,999,0,"UnitedKingdom","111879",2022,0
"13",12,916,0,"UnitedKingdom","111879",2022,0
"14",13,972,0,"UnitedKingdom","111879",2022,0
"15",14,977,0,"UnitedKingdom","111879",2022,0
"16",15,1019,0,"UnitedKingdom","111879",2022,0
"17",16,975,0,"UnitedKingdom","111879",2022,0
"18",17,884,0,"UnitedKingdom","111879",2022,0
"19",18,862,0,"UnitedKingdom","111879",2022,0
"20",19,965,0,"UnitedKingdom","111879",2022,0
"21",20,961,0,"UnitedKingdom","111879",2022,0
"22",21,1035,0,"UnitedKingdom","111879",2022,0
"23",22,1018,0,"UnitedKingdom","111879",2022,0
"24",23,1015,0,"UnitedKingdom","111879",2022,0
"25",24,1049,0,"UnitedKingdom","111879",2022,0
"26",25,1055,0,"UnitedKingdom","111879",2022,0
"27",26,1018,1,"UnitedKingdom","111879",2022,0.000982318271119843
"28",27,1067,0,"UnitedKingdom","111879",2022,0
"29",28,1105,0,"UnitedKingdom","111879",2022,0
"30",29,1161,0,"UnitedKingdom","111879",2022,0
"31",30,1089,0,"UnitedKingdom","111879",2022,0
"32",31,1169,0,"UnitedKingdom","111879",2022,0
"33",32,1185,2,"UnitedKingdom","111879",2022,0.00168776371308017
"34",33,1259,2,"UnitedKingdom","111879",2022,0.00158856235107228
"35",34,1233,4,"UnitedKingdom","111879",2022,0.0032441200324412
"36",35,1186,6,"UnitedKingdom","111879",2022,0.00505902192242833
"37",36,1218,15,"UnitedKingdom","111879",2022,0.0123152709359606
"38",37,1164,20,"UnitedKingdom","111879",2022,0.0171821305841924
"39",38,1151,23,"UnitedKingdom","111879",2022,0.0199826238053866
"40",39,1148,26,"UnitedKingdom","111879",2022,0.0226480836236934
"41",40,1145,37,"UnitedKingdom","111879",2022,0.0323144104803493
"42",41,1139,62,"UnitedKingdom","111879",2022,0.0544337137840211
"43",42,1045,57,"UnitedKingdom","111879",2022,0.0545454545454545
"44",43,1039,86,"UnitedKingdom","111879",2022,0.082771896053898
