"","age","pop","gp","year","country","seed","share"
"1",0,421,0,1960,"UnitedRepublicofTanzania","193242",0
"2",1,377,0,1960,"UnitedRepublicofTanzania","193242",0
"3",2,366,0,1960,"UnitedRepublicofTanzania","193242",0
"4",3,320,0,1960,"UnitedRepublicofTanzania","193242",0
"5",4,299,0,1960,"UnitedRepublicofTanzania","193242",0
"6",5,325,0,1960,"UnitedRepublicofTanzania","193242",0
"7",6,286,0,1960,"UnitedRepublicofTanzania","193242",0
"8",7,316,0,1960,"UnitedRepublicofTanzania","193242",0
"9",8,318,0,1960,"UnitedRepublicofTanzania","193242",0
"10",9,269,0,1960,"UnitedRepublicofTanzania","193242",0
"11",10,334,0,1960,"UnitedRepublicofTanzania","193242",0
"12",11,308,0,1960,"UnitedRepublicofTanzania","193242",0
"13",12,296,0,1960,"UnitedRepublicofTanzania","193242",0
"14",13,296,0,1960,"UnitedRepublicofTanzania","193242",0
"15",14,283,0,1960,"UnitedRepublicofTanzania","193242",0
"16",15,254,0,1960,"UnitedRepublicofTanzania","193242",0
"17",16,242,0,1960,"UnitedRepublicofTanzania","193242",0
"18",17,258,0,1960,"UnitedRepublicofTanzania","193242",0
"19",18,209,0,1960,"UnitedRepublicofTanzania","193242",0
"20",19,252,0,1960,"UnitedRepublicofTanzania","193242",0
"21",20,202,0,1960,"UnitedRepublicofTanzania","193242",0
"22",21,234,0,1960,"UnitedRepublicofTanzania","193242",0
"23",22,208,0,1960,"UnitedRepublicofTanzania","193242",0
"24",23,204,0,1960,"UnitedRepublicofTanzania","193242",0
"25",24,201,0,1960,"UnitedRepublicofTanzania","193242",0
"26",25,180,0,1960,"UnitedRepublicofTanzania","193242",0
"27",26,198,0,1960,"UnitedRepublicofTanzania","193242",0
"28",27,177,0,1960,"UnitedRepublicofTanzania","193242",0
"29",28,153,0,1960,"UnitedRepublicofTanzania","193242",0
"30",29,181,0,1960,"UnitedRepublicofTanzania","193242",0
"31",30,158,1,1960,"UnitedRepublicofTanzania","193242",0.00632911392405063
"32",31,147,0,1960,"UnitedRepublicofTanzania","193242",0
"33",32,166,6,1960,"UnitedRepublicofTanzania","193242",0.036144578313253
"34",33,149,7,1960,"UnitedRepublicofTanzania","193242",0.0469798657718121
"35",34,132,7,1960,"UnitedRepublicofTanzania","193242",0.053030303030303
"36",35,141,12,1960,"UnitedRepublicofTanzania","193242",0.0851063829787234
"37",36,134,25,1960,"UnitedRepublicofTanzania","193242",0.186567164179104
"38",37,127,24,1960,"UnitedRepublicofTanzania","193242",0.188976377952756
"39",38,106,30,1960,"UnitedRepublicofTanzania","193242",0.283018867924528
"40",39,108,23,1960,"UnitedRepublicofTanzania","193242",0.212962962962963
"41",40,121,49,1960,"UnitedRepublicofTanzania","193242",0.40495867768595
"42",41,109,43,1960,"UnitedRepublicofTanzania","193242",0.394495412844037
"43",42,118,50,1960,"UnitedRepublicofTanzania","193242",0.423728813559322
"44",43,109,63,1960,"UnitedRepublicofTanzania","193242",0.577981651376147
"45",44,109,56,1960,"UnitedRepublicofTanzania","193242",0.513761467889908
"46",45,104,54,1960,"UnitedRepublicofTanzania","193242",0.519230769230769
"47",46,101,68,1960,"UnitedRepublicofTanzania","193242",0.673267326732673
"48",47,88,52,1960,"UnitedRepublicofTanzania","193242",0.590909090909091
"49",48,82,62,1960,"UnitedRepublicofTanzania","193242",0.75609756097561
"50",49,84,59,1960,"UnitedRepublicofTanzania","193242",0.702380952380952
"51",50,96,62,1960,"UnitedRepublicofTanzania","193242",0.645833333333333
"52",51,82,62,1960,"UnitedRepublicofTanzania","193242",0.75609756097561
"53",52,74,54,1960,"UnitedRepublicofTanzania","193242",0.72972972972973
"54",53,95,74,1960,"UnitedRepublicofTanzania","193242",0.778947368421053
"55",54,71,59,1960,"UnitedRepublicofTanzania","193242",0.830985915492958
"56",55,54,42,1960,"UnitedRepublicofTanzania","193242",0.777777777777778
"57",56,65,57,1960,"UnitedRepublicofTanzania","193242",0.876923076923077
"58",57,52,44,1960,"UnitedRepublicofTanzania","193242",0.846153846153846
"59",58,55,45,1960,"UnitedRepublicofTanzania","193242",0.818181818181818
"60",59,61,53,1960,"UnitedRepublicofTanzania","193242",0.868852459016393
"61",60,59,53,1960,"UnitedRepublicofTanzania","193242",0.898305084745763
"62",61,40,35,1960,"UnitedRepublicofTanzania","193242",0.875
"63",62,50,47,1960,"UnitedRepublicofTanzania","193242",0.94
"64",63,46,42,1960,"UnitedRepublicofTanzania","193242",0.91304347826087
"65",64,39,37,1960,"UnitedRepublicofTanzania","193242",0.948717948717949
"66",65,50,46,1960,"UnitedRepublicofTanzania","193242",0.92
"67",66,33,31,1960,"UnitedRepublicofTanzania","193242",0.93939393939394
"68",67,32,27,1960,"UnitedRepublicofTanzania","193242",0.84375
"69",68,34,29,1960,"UnitedRepublicofTanzania","193242",0.852941176470588
"70",69,30,27,1960,"UnitedRepublicofTanzania","193242",0.9
"71",70,34,31,1960,"UnitedRepublicofTanzania","193242",0.911764705882353
"72",71,32,30,1960,"UnitedRepublicofTanzania","193242",0.9375
"73",72,28,25,1960,"UnitedRepublicofTanzania","193242",0.892857142857143
"74",73,25,24,1960,"UnitedRepublicofTanzania","193242",0.96
"75",74,23,22,1960,"UnitedRepublicofTanzania","193242",0.956521739130435
"76",75,19,18,1960,"UnitedRepublicofTanzania","193242",0.947368421052632
"77",76,17,14,1960,"UnitedRepublicofTanzania","193242",0.823529411764706
"78",77,14,12,1960,"UnitedRepublicofTanzania","193242",0.857142857142857
"79",78,10,8,1960,"UnitedRepublicofTanzania","193242",0.8
"80",79,10,9,1960,"UnitedRepublicofTanzania","193242",0.9
"81",80,10,8,1960,"UnitedRepublicofTanzania","193242",0.8
"82",81,4,4,1960,"UnitedRepublicofTanzania","193242",1
"83",82,4,4,1960,"UnitedRepublicofTanzania","193242",1
"84",83,6,6,1960,"UnitedRepublicofTanzania","193242",1
"85",84,3,2,1960,"UnitedRepublicofTanzania","193242",0.666666666666667
"86",85,3,3,1960,"UnitedRepublicofTanzania","193242",1
"87",86,1,1,1960,"UnitedRepublicofTanzania","193242",1
"88",87,2,2,1960,"UnitedRepublicofTanzania","193242",1
"89",88,1,1,1960,"UnitedRepublicofTanzania","193242",1
"90",89,2,1,1960,"UnitedRepublicofTanzania","193242",0.5
"91",90,1,1,1960,"UnitedRepublicofTanzania","193242",1
"92",0,491,0,1965,"UnitedRepublicofTanzania","193242",0
"93",1,397,0,1965,"UnitedRepublicofTanzania","193242",0
"94",2,443,0,1965,"UnitedRepublicofTanzania","193242",0
"95",3,391,0,1965,"UnitedRepublicofTanzania","193242",0
"96",4,336,0,1965,"UnitedRepublicofTanzania","193242",0
"97",5,344,0,1965,"UnitedRepublicofTanzania","193242",0
"98",6,340,0,1965,"UnitedRepublicofTanzania","193242",0
"99",7,346,0,1965,"UnitedRepublicofTanzania","193242",0
"100",8,300,0,1965,"UnitedRepublicofTanzania","193242",0
"101",9,282,0,1965,"UnitedRepublicofTanzania","193242",0
"102",10,316,0,1965,"UnitedRepublicofTanzania","193242",0
"103",11,279,0,1965,"UnitedRepublicofTanzania","193242",0
"104",12,306,0,1965,"UnitedRepublicofTanzania","193242",0
"105",13,310,0,1965,"UnitedRepublicofTanzania","193242",0
"106",14,265,0,1965,"UnitedRepublicofTanzania","193242",0
"107",15,322,0,1965,"UnitedRepublicofTanzania","193242",0
"108",16,303,0,1965,"UnitedRepublicofTanzania","193242",0
"109",17,291,0,1965,"UnitedRepublicofTanzania","193242",0
"110",18,290,0,1965,"UnitedRepublicofTanzania","193242",0
"111",19,272,0,1965,"UnitedRepublicofTanzania","193242",0
"112",20,249,0,1965,"UnitedRepublicofTanzania","193242",0
"113",21,232,0,1965,"UnitedRepublicofTanzania","193242",0
"114",22,252,0,1965,"UnitedRepublicofTanzania","193242",0
"115",23,200,0,1965,"UnitedRepublicofTanzania","193242",0
"116",24,244,0,1965,"UnitedRepublicofTanzania","193242",0
"117",25,197,0,1965,"UnitedRepublicofTanzania","193242",0
"118",26,229,0,1965,"UnitedRepublicofTanzania","193242",0
"119",27,198,0,1965,"UnitedRepublicofTanzania","193242",0
"120",28,187,0,1965,"UnitedRepublicofTanzania","193242",0
"121",29,191,1,1965,"UnitedRepublicofTanzania","193242",0.00523560209424084
"122",30,173,1,1965,"UnitedRepublicofTanzania","193242",0.00578034682080925
"123",31,190,4,1965,"UnitedRepublicofTanzania","193242",0.0210526315789474
"124",32,167,3,1965,"UnitedRepublicofTanzania","193242",0.0179640718562874
"125",33,148,5,1965,"UnitedRepublicofTanzania","193242",0.0337837837837838
"126",34,173,18,1965,"UnitedRepublicofTanzania","193242",0.104046242774566
"127",35,147,19,1965,"UnitedRepublicofTanzania","193242",0.129251700680272
