"","age","pop","gp","year","country","seed","share"
"1",0,870,0,1990,"UnitedStatesVirginIslands","249209",0
"2",1,828,0,1990,"UnitedStatesVirginIslands","249209",0
"3",2,774,0,1990,"UnitedStatesVirginIslands","249209",0
"4",3,823,0,1990,"UnitedStatesVirginIslands","249209",0
"5",4,769,0,1990,"UnitedStatesVirginIslands","249209",0
"6",5,731,0,1990,"UnitedStatesVirginIslands","249209",0
"7",6,740,0,1990,"UnitedStatesVirginIslands","249209",0
"8",7,705,0,1990,"UnitedStatesVirginIslands","249209",0
"9",8,651,0,1990,"UnitedStatesVirginIslands","249209",0
"10",9,660,0,1990,"UnitedStatesVirginIslands","249209",0
"11",10,722,0,1990,"UnitedStatesVirginIslands","249209",0
"12",11,666,0,1990,"UnitedStatesVirginIslands","249209",0
"13",12,678,0,1990,"UnitedStatesVirginIslands","249209",0
"14",13,634,0,1990,"UnitedStatesVirginIslands","249209",0
"15",14,640,0,1990,"UnitedStatesVirginIslands","249209",0
"16",15,793,0,1990,"UnitedStatesVirginIslands","249209",0
"17",16,727,0,1990,"UnitedStatesVirginIslands","249209",0
"18",17,771,0,1990,"UnitedStatesVirginIslands","249209",0
"19",18,690,0,1990,"UnitedStatesVirginIslands","249209",0
"20",19,670,0,1990,"UnitedStatesVirginIslands","249209",0
"21",20,763,0,1990,"UnitedStatesVirginIslands","249209",0
"22",21,749,0,1990,"UnitedStatesVirginIslands","249209",0
"23",22,719,0,1990,"UnitedStatesVirginIslands","249209",0
"24",23,700,0,1990,"UnitedStatesVirginIslands","249209",0
"25",24,682,0,1990,"UnitedStatesVirginIslands","249209",0
"26",25,691,0,1990,"UnitedStatesVirginIslands","249209",0
"27",26,619,0,1990,"UnitedStatesVirginIslands","249209",0
"28",27,643,1,1990,"UnitedStatesVirginIslands","249209",0.0015552099533437
"29",28,630,1,1990,"UnitedStatesVirginIslands","249209",0.00158730158730159
"30",29,557,0,1990,"UnitedStatesVirginIslands","249209",0
"31",30,577,1,1990,"UnitedStatesVirginIslands","249209",0.00173310225303293
"32",31,511,10,1990,"UnitedStatesVirginIslands","249209",0.0195694716242661
"33",32,485,17,1990,"UnitedStatesVirginIslands","249209",0.0350515463917526
"34",33,487,17,1990,"UnitedStatesVirginIslands","249209",0.0349075975359343
"35",34,464,36,1990,"UnitedStatesVirginIslands","249209",0.0775862068965517
"36",35,455,52,1990,"UnitedStatesVirginIslands","249209",0.114285714285714
"37",36,405,59,1990,"UnitedStatesVirginIslands","249209",0.145679012345679
"38",37,407,77,1990,"UnitedStatesVirginIslands","249209",0.189189189189189
"39",38,403,106,1990,"UnitedStatesVirginIslands","249209",0.26302729528536
"40",39,353,112,1990,"UnitedStatesVirginIslands","249209",0.31728045325779
"41",40,380,113,1990,"UnitedStatesVirginIslands","249209",0.297368421052632
"42",41,337,142,1990,"UnitedStatesVirginIslands","249209",0.421364985163205
"43",42,324,146,1990,"UnitedStatesVirginIslands","249209",0.450617283950617
"44",43,311,160,1990,"UnitedStatesVirginIslands","249209",0.514469453376206
"45",44,324,181,1990,"UnitedStatesVirginIslands","249209",0.558641975308642
"46",45,319,205,1990,"UnitedStatesVirginIslands","249209",0.642633228840125
"47",46,308,206,1990,"UnitedStatesVirginIslands","249209",0.668831168831169
"48",47,271,195,1990,"UnitedStatesVirginIslands","249209",0.719557195571956
"49",48,286,228,1990,"UnitedStatesVirginIslands","249209",0.797202797202797
"50",49,248,213,1990,"UnitedStatesVirginIslands","249209",0.858870967741935
"51",50,259,230,1990,"UnitedStatesVirginIslands","249209",0.888030888030888
"52",51,223,193,1990,"UnitedStatesVirginIslands","249209",0.865470852017937
"53",52,240,203,1990,"UnitedStatesVirginIslands","249209",0.845833333333333
"54",53,224,197,1990,"UnitedStatesVirginIslands","249209",0.879464285714286
"55",54,216,192,1990,"UnitedStatesVirginIslands","249209",0.888888888888889
"56",55,217,199,1990,"UnitedStatesVirginIslands","249209",0.91705069124424
"57",56,228,212,1990,"UnitedStatesVirginIslands","249209",0.929824561403509
"58",57,192,174,1990,"UnitedStatesVirginIslands","249209",0.90625
"59",58,175,159,1990,"UnitedStatesVirginIslands","249209",0.908571428571429
"60",59,201,191,1990,"UnitedStatesVirginIslands","249209",0.950248756218905
"61",60,183,169,1990,"UnitedStatesVirginIslands","249209",0.923497267759563
