"","age","pop","gp","year","country","seed","share"
"1",0,1565,0,1960,"Uruguay","15902",0
"2",1,1548,0,1960,"Uruguay","15902",0
"3",2,1482,0,1960,"Uruguay","15902",0
"4",3,1522,0,1960,"Uruguay","15902",0
"5",4,1499,0,1960,"Uruguay","15902",0
"6",5,1406,0,1960,"Uruguay","15902",0
"7",6,1474,0,1960,"Uruguay","15902",0
"8",7,1417,0,1960,"Uruguay","15902",0
"9",8,1346,0,1960,"Uruguay","15902",0
"10",9,1386,0,1960,"Uruguay","15902",0
"11",10,1528,0,1960,"Uruguay","15902",0
"12",11,1477,0,1960,"Uruguay","15902",0
"13",12,1477,0,1960,"Uruguay","15902",0
"14",13,1483,0,1960,"Uruguay","15902",0
"15",14,1446,0,1960,"Uruguay","15902",0
"16",15,1419,0,1960,"Uruguay","15902",0
"17",16,1400,0,1960,"Uruguay","15902",0
"18",17,1468,0,1960,"Uruguay","15902",0
"19",18,1451,0,1960,"Uruguay","15902",0
"20",19,1409,0,1960,"Uruguay","15902",0
"21",20,1373,0,1960,"Uruguay","15902",0
"22",21,1397,0,1960,"Uruguay","15902",0
"23",22,1354,0,1960,"Uruguay","15902",0
"24",23,1379,0,1960,"Uruguay","15902",0
"25",24,1329,0,1960,"Uruguay","15902",0
"26",25,1300,0,1960,"Uruguay","15902",0
"27",26,1357,0,1960,"Uruguay","15902",0
"28",27,1248,1,1960,"Uruguay","15902",0.000801282051282051
"29",28,1368,3,1960,"Uruguay","15902",0.00219298245614035
"30",29,1349,2,1960,"Uruguay","15902",0.00148257968865827
"31",30,1277,6,1960,"Uruguay","15902",0.00469851213782302
"32",31,1302,8,1960,"Uruguay","15902",0.00614439324116743
"33",32,1302,13,1960,"Uruguay","15902",0.00998463901689708
"34",33,1305,21,1960,"Uruguay","15902",0.0160919540229885
"35",34,1266,37,1960,"Uruguay","15902",0.0292259083728278
"36",35,1246,59,1960,"Uruguay","15902",0.0473515248796148
"37",36,1204,69,1960,"Uruguay","15902",0.0573089700996678
"38",37,1231,91,1960,"Uruguay","15902",0.073923639317628
"39",38,1265,134,1960,"Uruguay","15902",0.105928853754941
"40",39,1246,182,1960,"Uruguay","15902",0.146067415730337
"41",40,1187,204,1960,"Uruguay","15902",0.171861836562763
"42",41,1178,234,1960,"Uruguay","15902",0.198641765704584
"43",42,1165,281,1960,"Uruguay","15902",0.241201716738197
"44",43,1141,278,1960,"Uruguay","15902",0.24364592462752
"45",44,1173,369,1960,"Uruguay","15902",0.31457800511509
"46",45,1096,411,1960,"Uruguay","15902",0.375
"47",46,1128,453,1960,"Uruguay","15902",0.401595744680851
"48",47,1114,493,1960,"Uruguay","15902",0.442549371633752
"49",48,1081,557,1960,"Uruguay","15902",0.515263644773358
"50",49,1097,541,1960,"Uruguay","15902",0.493163172288058
"51",50,1077,569,1960,"Uruguay","15902",0.528319405756732
"52",51,1050,557,1960,"Uruguay","15902",0.53047619047619
"53",52,1040,604,1960,"Uruguay","15902",0.580769230769231
"54",53,1038,627,1960,"Uruguay","15902",0.604046242774566
"55",54,949,614,1960,"Uruguay","15902",0.646996838777661
"56",55,941,609,1960,"Uruguay","15902",0.647183846971307
"57",56,919,591,1960,"Uruguay","15902",0.643090315560392
"58",57,940,613,1960,"Uruguay","15902",0.652127659574468
"59",58,990,669,1960,"Uruguay","15902",0.675757575757576
"60",59,957,665,1960,"Uruguay","15902",0.694879832810867
"61",60,883,589,1960,"Uruguay","15902",0.667044167610419
"62",61,897,644,1960,"Uruguay","15902",0.717948717948718
"63",62,829,597,1960,"Uruguay","15902",0.720144752714113
"64",63,801,593,1960,"Uruguay","15902",0.740324594257179
"65",64,795,557,1960,"Uruguay","15902",0.70062893081761
"66",65,772,576,1960,"Uruguay","15902",0.746113989637306
"67",66,756,567,1960,"Uruguay","15902",0.75
"68",67,642,486,1960,"Uruguay","15902",0.757009345794392
"69",68,726,544,1960,"Uruguay","15902",0.74931129476584
"70",69,634,488,1960,"Uruguay","15902",0.769716088328076
"71",70,647,469,1960,"Uruguay","15902",0.724884080370943
"72",71,555,409,1960,"Uruguay","15902",0.736936936936937
"73",72,549,419,1960,"Uruguay","15902",0.763205828779599
"74",73,493,372,1960,"Uruguay","15902",0.754563894523327
"75",74,507,422,1960,"Uruguay","15902",0.832347140039448
"76",75,435,314,1960,"Uruguay","15902",0.72183908045977
"77",76,430,327,1960,"Uruguay","15902",0.76046511627907
"78",77,368,274,1960,"Uruguay","15902",0.744565217391304
"79",78,369,277,1960,"Uruguay","15902",0.750677506775068
"80",79,338,250,1960,"Uruguay","15902",0.739644970414201
"81",80,281,221,1960,"Uruguay","15902",0.786476868327402
"82",81,265,197,1960,"Uruguay","15902",0.743396226415094
"83",82,227,168,1960,"Uruguay","15902",0.740088105726872
"84",83,187,141,1960,"Uruguay","15902",0.754010695187166
"85",84,174,138,1960,"Uruguay","15902",0.793103448275862
"86",85,152,116,1960,"Uruguay","15902",0.763157894736842
"87",86,135,108,1960,"Uruguay","15902",0.8
"88",87,105,92,1960,"Uruguay","15902",0.876190476190476
"89",88,87,70,1960,"Uruguay","15902",0.804597701149425
"90",89,70,51,1960,"Uruguay","15902",0.728571428571429
"91",90,60,37,1960,"Uruguay","15902",0.616666666666667
"92",91,38,26,1960,"Uruguay","15902",0.68421052631579
"93",92,45,29,1960,"Uruguay","15902",0.644444444444444
"94",93,20,16,1960,"Uruguay","15902",0.8
"95",94,15,8,1960,"Uruguay","15902",0.533333333333333
"96",95,16,14,1960,"Uruguay","15902",0.875
"97",96,11,9,1960,"Uruguay","15902",0.818181818181818
"98",97,3,2,1960,"Uruguay","15902",0.666666666666667
"99",98,4,4,1960,"Uruguay","15902",1
"100",0,1599,0,1965,"Uruguay","15902",0
"101",1,1611,0,1965,"Uruguay","15902",0
"102",2,1595,0,1965,"Uruguay","15902",0
"103",3,1583,0,1965,"Uruguay","15902",0
"104",4,1494,0,1965,"Uruguay","15902",0
"105",5,1510,0,1965,"Uruguay","15902",0
"106",6,1534,0,1965,"Uruguay","15902",0
"107",7,1477,0,1965,"Uruguay","15902",0
"108",8,1517,0,1965,"Uruguay","15902",0
"109",9,1496,0,1965,"Uruguay","15902",0
"110",10,1399,0,1965,"Uruguay","15902",0
"111",11,1472,0,1965,"Uruguay","15902",0
"112",12,1413,0,1965,"Uruguay","15902",0
"113",13,1345,0,1965,"Uruguay","15902",0
"114",14,1386,0,1965,"Uruguay","15902",0
"115",15,1526,0,1965,"Uruguay","15902",0
"116",16,1470,0,1965,"Uruguay","15902",0
"117",17,1472,0,1965,"Uruguay","15902",0
"118",18,1474,0,1965,"Uruguay","15902",0
"119",19,1440,0,1965,"Uruguay","15902",0
"120",20,1410,0,1965,"Uruguay","15902",0
"121",21,1394,0,1965,"Uruguay","15902",0
"122",22,1460,0,1965,"Uruguay","15902",0
"123",23,1440,0,1965,"Uruguay","15902",0
"124",24,1403,1,1965,"Uruguay","15902",0.000712758374910905
"125",25,1368,1,1965,"Uruguay","15902",0.000730994152046784
"126",26,1390,0,1965,"Uruguay","15902",0
"127",27,1349,0,1965,"Uruguay","15902",0
"128",28,1366,2,1965,"Uruguay","15902",0.00146412884333821
"129",29,1322,3,1965,"Uruguay","15902",0.00226928895612708
"130",30,1285,6,1965,"Uruguay","15902",0.0046692607003891
"131",31,1349,7,1965,"Uruguay","15902",0.00518902891030393
"132",32,1234,15,1965,"Uruguay","15902",0.0121555915721232
"133",33,1361,24,1965,"Uruguay","15902",0.017634092578986
"134",34,1336,33,1965,"Uruguay","15902",0.0247005988023952
"135",35,1262,46,1965,"Uruguay","15902",0.0364500792393027
"136",36,1293,80,1965,"Uruguay","15902",0.0618716163959783
"137",37,1293,114,1965,"Uruguay","15902",0.0881670533642691
"138",38,1299,157,1965,"Uruguay","15902",0.12086220169361
"139",39,1257,195,1965,"Uruguay","15902",0.155131264916468
"140",40,1231,233,1965,"Uruguay","15902",0.18927701056052
"141",41,1184,238,1965,"Uruguay","15902",0.201013513513514
"142",42,1215,315,1965,"Uruguay","15902",0.259259259259259
"143",43,1241,384,1965,"Uruguay","15902",0.309427880741338
"144",44,1228,408,1965,"Uruguay","15902",0.332247557003257
"145",45,1167,452,1965,"Uruguay","15902",0.387317909168809
"146",46,1153,465,1965,"Uruguay","15902",0.403295750216826
"147",47,1134,491,1965,"Uruguay","15902",0.432980599647266
"148",48,1117,531,1965,"Uruguay","15902",0.47538048343778
"149",49,1143,557,1965,"Uruguay","15902",0.487314085739283
"150",50,1056,585,1965,"Uruguay","15902",0.553977272727273
"151",51,1081,599,1965,"Uruguay","15902",0.554116558741906
"152",52,1077,629,1965,"Uruguay","15902",0.584029712163417
"153",53,1057,684,1965,"Uruguay","15902",0.647114474929045
"154",54,1060,654,1965,"Uruguay","15902",0.616981132075472
"155",55,1028,670,1965,"Uruguay","15902",0.651750972762646
"156",56,985,617,1965,"Uruguay","15902",0.626395939086294
"157",57,983,664,1965,"Uruguay","15902",0.675483214649034
"158",58,983,661,1965,"Uruguay","15902",0.672431332655137
"159",59,901,647,1965,"Uruguay","15902",0.718091009988901
"160",60,882,623,1965,"Uruguay","15902",0.706349206349206
"161",61,849,601,1965,"Uruguay","15902",0.707891637220259
"162",62,864,606,1965,"Uruguay","15902",0.701388888888889
"163",63,910,658,1965,"Uruguay","15902",0.723076923076923
"164",64,879,645,1965,"Uruguay","15902",0.733788395904437
"165",65,805,567,1965,"Uruguay","15902",0.704347826086957
"166",66,769,585,1965,"Uruguay","15902",0.76072821846554
"167",67,722,545,1965,"Uruguay","15902",0.754847645429363
"168",68,695,533,1965,"Uruguay","15902",0.766906474820144
"169",69,688,480,1965,"Uruguay","15902",0.697674418604651
"170",70,652,493,1965,"Uruguay","15902",0.756134969325153
"171",71,610,457,1965,"Uruguay","15902",0.749180327868852
"172",72,545,415,1965,"Uruguay","15902",0.761467889908257
"173",73,582,446,1965,"Uruguay","15902",0.766323024054983
"174",74,486,387,1965,"Uruguay","15902",0.796296296296296
"175",75,504,364,1965,"Uruguay","15902",0.722222222222222
"176",76,422,311,1965,"Uruguay","15902",0.73696682464455
"177",77,390,291,1965,"Uruguay","15902",0.746153846153846
"178",78,357,273,1965,"Uruguay","15902",0.764705882352941
"179",79,350,291,1965,"Uruguay","15902",0.831428571428571
"180",80,305,225,1965,"Uruguay","15902",0.737704918032787
"181",81,281,214,1965,"Uruguay","15902",0.761565836298932
"182",82,203,147,1965,"Uruguay","15902",0.724137931034483
"183",83,215,160,1965,"Uruguay","15902",0.744186046511628
"184",84,182,135,1965,"Uruguay","15902",0.741758241758242
"185",85,139,111,1965,"Uruguay","15902",0.798561151079137
"186",86,143,109,1965,"Uruguay","15902",0.762237762237762
"187",87,105,71,1965,"Uruguay","15902",0.676190476190476
"188",88,79,62,1965,"Uruguay","15902",0.784810126582278
