"","age","pop","gp","country","seed","year","share"
"1",0,422,0,"Uzbekistan","114489",2022,0
"2",1,417,0,"Uzbekistan","114489",2022,0
"3",2,437,0,"Uzbekistan","114489",2022,0
"4",3,438,0,"Uzbekistan","114489",2022,0
"5",4,429,0,"Uzbekistan","114489",2022,0
"6",5,413,0,"Uzbekistan","114489",2022,0
"7",6,446,0,"Uzbekistan","114489",2022,0
"8",7,418,0,"Uzbekistan","114489",2022,0
"9",8,436,0,"Uzbekistan","114489",2022,0
"10",9,398,0,"Uzbekistan","114489",2022,0
"11",10,409,0,"Uzbekistan","114489",2022,0
"12",11,399,0,"Uzbekistan","114489",2022,0
"13",12,387,0,"Uzbekistan","114489",2022,0
"14",13,350,0,"Uzbekistan","114489",2022,0
"15",14,407,0,"Uzbekistan","114489",2022,0
"16",15,338,0,"Uzbekistan","114489",2022,0
"17",16,363,0,"Uzbekistan","114489",2022,0
"18",17,347,0,"Uzbekistan","114489",2022,0
"19",18,351,0,"Uzbekistan","114489",2022,0
"20",19,362,0,"Uzbekistan","114489",2022,0
"21",20,316,0,"Uzbekistan","114489",2022,0
"22",21,328,0,"Uzbekistan","114489",2022,0
"23",22,426,0,"Uzbekistan","114489",2022,0
"24",23,364,0,"Uzbekistan","114489",2022,0
"25",24,356,0,"Uzbekistan","114489",2022,0
"26",25,348,0,"Uzbekistan","114489",2022,0
"27",26,371,0,"Uzbekistan","114489",2022,0
"28",27,428,0,"Uzbekistan","114489",2022,0
"29",28,410,0,"Uzbekistan","114489",2022,0
"30",29,371,1,"Uzbekistan","114489",2022,0.00269541778975741
"31",30,392,0,"Uzbekistan","114489",2022,0
"32",31,400,0,"Uzbekistan","114489",2022,0
"33",32,396,1,"Uzbekistan","114489",2022,0.00252525252525253
"34",33,366,1,"Uzbekistan","114489",2022,0.00273224043715847
"35",34,377,3,"Uzbekistan","114489",2022,0.00795755968169761
"36",35,363,3,"Uzbekistan","114489",2022,0.00826446280991736
"37",36,361,7,"Uzbekistan","114489",2022,0.0193905817174515
"38",37,339,11,"Uzbekistan","114489",2022,0.0324483775811209
"39",38,340,23,"Uzbekistan","114489",2022,0.0676470588235294
"40",39,303,23,"Uzbekistan","114489",2022,0.0759075907590759
"41",40,275,24,"Uzbekistan","114489",2022,0.0872727272727273
"42",41,280,27,"Uzbekistan","114489",2022,0.0964285714285714
"43",42,308,56,"Uzbekistan","114489",2022,0.181818181818182
"44",43,310,78,"Uzbekistan","114489",2022,0.251612903225806
"45",44,292,71,"Uzbekistan","114489",2022,0.243150684931507
"46",45,285,121,"Uzbekistan","114489",2022,0.424561403508772
"47",46,276,119,"Uzbekistan","114489",2022,0.431159420289855
"48",47,319,152,"Uzbekistan","114489",2022,0.476489028213166
"49",48,281,152,"Uzbekistan","114489",2022,0.540925266903915
"50",49,271,167,"Uzbekistan","114489",2022,0.616236162361624
"51",50,224,133,"Uzbekistan","114489",2022,0.59375
"52",51,241,151,"Uzbekistan","114489",2022,0.62655601659751
"53",52,248,161,"Uzbekistan","114489",2022,0.649193548387097
"54",53,234,170,"Uzbekistan","114489",2022,0.726495726495726
"55",54,233,155,"Uzbekistan","114489",2022,0.665236051502146
"56",55,240,169,"Uzbekistan","114489",2022,0.704166666666667
"57",56,226,196,"Uzbekistan","114489",2022,0.867256637168142
"58",57,228,184,"Uzbekistan","114489",2022,0.807017543859649
"59",58,201,169,"Uzbekistan","114489",2022,0.840796019900497
"60",59,195,167,"Uzbekistan","114489",2022,0.856410256410256
"61",60,181,155,"Uzbekistan","114489",2022,0.856353591160221
"62",61,180,162,"Uzbekistan","114489",2022,0.9
"63",62,152,137,"Uzbekistan","114489",2022,0.901315789473684
"64",63,165,140,"Uzbekistan","114489",2022,0.848484848484849
"65",64,150,129,"Uzbekistan","114489",2022,0.86
"66",65,148,134,"Uzbekistan","114489",2022,0.905405405405405
"67",66,129,116,"Uzbekistan","114489",2022,0.89922480620155
"68",67,91,82,"Uzbekistan","114489",2022,0.901098901098901
"69",68,105,100,"Uzbekistan","114489",2022,0.952380952380952
"70",69,101,90,"Uzbekistan","114489",2022,0.891089108910891
"71",70,87,75,"Uzbekistan","114489",2022,0.862068965517241
"72",71,90,85,"Uzbekistan","114489",2022,0.944444444444444
"73",72,83,76,"Uzbekistan","114489",2022,0.91566265060241
"74",73,57,48,"Uzbekistan","114489",2022,0.842105263157895
"75",74,72,65,"Uzbekistan","114489",2022,0.902777777777778
"76",75,67,60,"Uzbekistan","114489",2022,0.895522388059702
"77",76,61,56,"Uzbekistan","114489",2022,0.918032786885246
"78",77,35,32,"Uzbekistan","114489",2022,0.914285714285714
"79",78,37,31,"Uzbekistan","114489",2022,0.837837837837838
"80",79,42,39,"Uzbekistan","114489",2022,0.928571428571429
"81",80,37,32,"Uzbekistan","114489",2022,0.864864864864865
"82",81,34,33,"Uzbekistan","114489",2022,0.970588235294118
"83",82,20,20,"Uzbekistan","114489",2022,1
"84",83,24,22,"Uzbekistan","114489",2022,0.916666666666667
"85",84,13,12,"Uzbekistan","114489",2022,0.923076923076923
"86",85,9,9,"Uzbekistan","114489",2022,1
"87",86,9,9,"Uzbekistan","114489",2022,1
"88",87,10,10,"Uzbekistan","114489",2022,1
"89",88,7,7,"Uzbekistan","114489",2022,1
"90",89,7,7,"Uzbekistan","114489",2022,1
"91",90,4,4,"Uzbekistan","114489",2022,1
"92",91,1,1,"Uzbekistan","114489",2022,1
"93",92,2,2,"Uzbekistan","114489",2022,1
"94",94,1,1,"Uzbekistan","114489",2022,1
"95",95,3,3,"Uzbekistan","114489",2022,1
"96",96,1,1,"Uzbekistan","114489",2022,1
"97",98,1,1,"Uzbekistan","114489",2022,1
