"","age","pop","gp","year","country","seed","share"
"1",0,2072,0,1990,"Vanuatu","151057",0
"2",1,2029,0,1990,"Vanuatu","151057",0
"3",2,1993,0,1990,"Vanuatu","151057",0
"4",3,1960,0,1990,"Vanuatu","151057",0
"5",4,1884,0,1990,"Vanuatu","151057",0
"6",5,1881,0,1990,"Vanuatu","151057",0
"7",6,1885,0,1990,"Vanuatu","151057",0
"8",7,1836,0,1990,"Vanuatu","151057",0
"9",8,1781,0,1990,"Vanuatu","151057",0
"10",9,1696,0,1990,"Vanuatu","151057",0
"11",10,1740,0,1990,"Vanuatu","151057",0
"12",11,1700,0,1990,"Vanuatu","151057",0
"13",12,1646,0,1990,"Vanuatu","151057",0
"14",13,1588,0,1990,"Vanuatu","151057",0
"15",14,1595,0,1990,"Vanuatu","151057",0
"16",15,1550,0,1990,"Vanuatu","151057",0
"17",16,1523,0,1990,"Vanuatu","151057",0
"18",17,1497,0,1990,"Vanuatu","151057",0
"19",18,1421,0,1990,"Vanuatu","151057",0
"20",19,1335,0,1990,"Vanuatu","151057",0
"21",20,1380,0,1990,"Vanuatu","151057",0
"22",21,1348,0,1990,"Vanuatu","151057",0
"23",22,1312,0,1990,"Vanuatu","151057",0
"24",23,1249,0,1990,"Vanuatu","151057",0
"25",24,1236,0,1990,"Vanuatu","151057",0
"26",25,1236,0,1990,"Vanuatu","151057",0
"27",26,1163,1,1990,"Vanuatu","151057",0.000859845227858985
"28",27,1113,1,1990,"Vanuatu","151057",0.000898472596585804
"29",28,1077,4,1990,"Vanuatu","151057",0.00371402042711235
"30",29,1006,2,1990,"Vanuatu","151057",0.00198807157057654
"31",30,1013,2,1990,"Vanuatu","151057",0.00197433366238894
"32",31,918,6,1990,"Vanuatu","151057",0.0065359477124183
"33",32,883,14,1990,"Vanuatu","151057",0.0158550396375991
"34",33,912,25,1990,"Vanuatu","151057",0.0274122807017544
"35",34,876,32,1990,"Vanuatu","151057",0.0365296803652968
"36",35,843,51,1990,"Vanuatu","151057",0.0604982206405694
"37",36,803,82,1990,"Vanuatu","151057",0.102117061021171
"38",37,745,110,1990,"Vanuatu","151057",0.147651006711409
"39",38,710,118,1990,"Vanuatu","151057",0.166197183098592
"40",39,701,155,1990,"Vanuatu","151057",0.221112696148359
"41",40,815,212,1990,"Vanuatu","151057",0.260122699386503
"42",41,786,267,1990,"Vanuatu","151057",0.33969465648855
"43",42,776,296,1990,"Vanuatu","151057",0.381443298969072
"44",43,696,299,1990,"Vanuatu","151057",0.429597701149425
"45",44,708,325,1990,"Vanuatu","151057",0.459039548022599
"46",45,663,371,1990,"Vanuatu","151057",0.559577677224736
"47",46,654,400,1990,"Vanuatu","151057",0.611620795107034
"48",47,631,398,1990,"Vanuatu","151057",0.630744849445325
"49",48,564,385,1990,"Vanuatu","151057",0.682624113475177
"50",49,563,391,1990,"Vanuatu","151057",0.69449378330373
