"","age","pop","gp","year","country","seed","share"
"1",0,223,0,1960,"VenezuelaBolivarianRepublicof","146404",0
"2",1,205,0,1960,"VenezuelaBolivarianRepublicof","146404",0
"3",2,200,0,1960,"VenezuelaBolivarianRepublicof","146404",0
"4",3,186,0,1960,"VenezuelaBolivarianRepublicof","146404",0
"5",4,199,0,1960,"VenezuelaBolivarianRepublicof","146404",0
"6",5,154,0,1960,"VenezuelaBolivarianRepublicof","146404",0
"7",6,205,0,1960,"VenezuelaBolivarianRepublicof","146404",0
"8",7,161,0,1960,"VenezuelaBolivarianRepublicof","146404",0
"9",8,165,0,1960,"VenezuelaBolivarianRepublicof","146404",0
"10",9,165,0,1960,"VenezuelaBolivarianRepublicof","146404",0
"11",10,144,0,1960,"VenezuelaBolivarianRepublicof","146404",0
"12",11,139,0,1960,"VenezuelaBolivarianRepublicof","146404",0
"13",12,152,0,1960,"VenezuelaBolivarianRepublicof","146404",0
"14",13,119,0,1960,"VenezuelaBolivarianRepublicof","146404",0
"15",14,137,0,1960,"VenezuelaBolivarianRepublicof","146404",0
"16",15,116,0,1960,"VenezuelaBolivarianRepublicof","146404",0
"17",16,133,0,1960,"VenezuelaBolivarianRepublicof","146404",0
"18",17,119,0,1960,"VenezuelaBolivarianRepublicof","146404",0
"19",18,112,0,1960,"VenezuelaBolivarianRepublicof","146404",0
"20",19,118,0,1960,"VenezuelaBolivarianRepublicof","146404",0
"21",20,94,0,1960,"VenezuelaBolivarianRepublicof","146404",0
"22",21,95,0,1960,"VenezuelaBolivarianRepublicof","146404",0
"23",22,92,0,1960,"VenezuelaBolivarianRepublicof","146404",0
"24",23,86,0,1960,"VenezuelaBolivarianRepublicof","146404",0
"25",24,95,0,1960,"VenezuelaBolivarianRepublicof","146404",0
"26",25,81,0,1960,"VenezuelaBolivarianRepublicof","146404",0
"27",26,92,0,1960,"VenezuelaBolivarianRepublicof","146404",0
"28",27,83,0,1960,"VenezuelaBolivarianRepublicof","146404",0
"29",28,86,1,1960,"VenezuelaBolivarianRepublicof","146404",0.0116279069767442
"30",29,69,0,1960,"VenezuelaBolivarianRepublicof","146404",0
"31",30,90,0,1960,"VenezuelaBolivarianRepublicof","146404",0
"32",31,72,1,1960,"VenezuelaBolivarianRepublicof","146404",0.0138888888888889
"33",32,67,0,1960,"VenezuelaBolivarianRepublicof","146404",0
"34",33,64,2,1960,"VenezuelaBolivarianRepublicof","146404",0.03125
"35",34,50,4,1960,"VenezuelaBolivarianRepublicof","146404",0.08
"36",35,76,6,1960,"VenezuelaBolivarianRepublicof","146404",0.0789473684210526
"37",36,56,7,1960,"VenezuelaBolivarianRepublicof","146404",0.125
"38",37,53,9,1960,"VenezuelaBolivarianRepublicof","146404",0.169811320754717
"39",38,52,12,1960,"VenezuelaBolivarianRepublicof","146404",0.230769230769231
"40",39,59,19,1960,"VenezuelaBolivarianRepublicof","146404",0.322033898305085
"41",40,57,18,1960,"VenezuelaBolivarianRepublicof","146404",0.31578947368421
"42",41,40,21,1960,"VenezuelaBolivarianRepublicof","146404",0.525
"43",42,44,27,1960,"VenezuelaBolivarianRepublicof","146404",0.613636363636364
"44",43,43,22,1960,"VenezuelaBolivarianRepublicof","146404",0.511627906976744
"45",44,28,24,1960,"VenezuelaBolivarianRepublicof","146404",0.857142857142857
"46",45,38,28,1960,"VenezuelaBolivarianRepublicof","146404",0.736842105263158
