"","age","pop","gp","year","country","seed","share"
"1",0,2834,0,1990,"VietNam","124000",0
"2",1,2777,0,1990,"VietNam","124000",0
"3",2,2668,0,1990,"VietNam","124000",0
"4",3,2486,0,1990,"VietNam","124000",0
"5",4,2473,0,1990,"VietNam","124000",0
"6",5,2635,0,1990,"VietNam","124000",0
"7",6,2616,0,1990,"VietNam","124000",0
"8",7,2543,0,1990,"VietNam","124000",0
"9",8,2454,0,1990,"VietNam","124000",0
"10",9,2415,0,1990,"VietNam","124000",0
"11",10,2744,0,1990,"VietNam","124000",0
"12",11,2644,0,1990,"VietNam","124000",0
"13",12,2464,0,1990,"VietNam","124000",0
"14",13,2524,0,1990,"VietNam","124000",0
"15",14,2347,0,1990,"VietNam","124000",0
"16",15,2671,0,1990,"VietNam","124000",0
"17",16,2528,0,1990,"VietNam","124000",0
"18",17,2515,0,1990,"VietNam","124000",0
"19",18,2414,0,1990,"VietNam","124000",0
"20",19,2412,0,1990,"VietNam","124000",0
"21",20,2343,0,1990,"VietNam","124000",0
"22",21,2262,0,1990,"VietNam","124000",0
"23",22,2234,0,1990,"VietNam","124000",0
"24",23,2165,0,1990,"VietNam","124000",0
"25",24,2080,0,1990,"VietNam","124000",0
"26",25,2030,0,1990,"VietNam","124000",0
"27",26,1955,0,1990,"VietNam","124000",0
"28",27,1989,1,1990,"VietNam","124000",0.000502765208647562
"29",28,1836,1,1990,"VietNam","124000",0.000544662309368192
"30",29,1800,2,1990,"VietNam","124000",0.00111111111111111
"31",30,1714,1,1990,"VietNam","124000",0.00058343057176196
"32",31,1637,3,1990,"VietNam","124000",0.00183262064752596
"33",32,1571,8,1990,"VietNam","124000",0.00509229789942712
"34",33,1512,4,1990,"VietNam","124000",0.00264550264550265
"35",34,1575,13,1990,"VietNam","124000",0.00825396825396825
"36",35,1284,15,1990,"VietNam","124000",0.0116822429906542
"37",36,1235,32,1990,"VietNam","124000",0.0259109311740891
"38",37,1171,29,1990,"VietNam","124000",0.0247651579846285
"39",38,1125,72,1990,"VietNam","124000",0.064
"40",39,1120,84,1990,"VietNam","124000",0.075
"41",40,1304,129,1990,"VietNam","124000",0.0989263803680982
"42",41,1232,168,1990,"VietNam","124000",0.136363636363636
"43",42,1168,239,1990,"VietNam","124000",0.204623287671233
"44",43,1138,270,1990,"VietNam","124000",0.23725834797891
"45",44,1200,340,1990,"VietNam","124000",0.283333333333333
"46",45,1203,368,1990,"VietNam","124000",0.305901911886949
"47",46,1108,396,1990,"VietNam","124000",0.357400722021661
"48",47,1035,447,1990,"VietNam","124000",0.431884057971014
"49",48,1005,486,1990,"VietNam","124000",0.483582089552239
"50",49,989,584,1990,"VietNam","124000",0.590495449949444
"51",50,960,601,1990,"VietNam","124000",0.626041666666667
"52",51,975,624,1990,"VietNam","124000",0.64
"53",52,910,623,1990,"VietNam","124000",0.684615384615385
"54",53,888,673,1990,"VietNam","124000",0.757882882882883
"55",54,852,643,1990,"VietNam","124000",0.754694835680751
"56",55,867,653,1990,"VietNam","124000",0.753171856978085
"57",56,794,625,1990,"VietNam","124000",0.787153652392947
"58",57,784,621,1990,"VietNam","124000",0.792091836734694
"59",58,789,654,1990,"VietNam","124000",0.828897338403042
"60",59,693,559,1990,"VietNam","124000",0.806637806637807
"61",60,696,593,1990,"VietNam","124000",0.852011494252874
"62",61,661,556,1990,"VietNam","124000",0.841149773071104
"63",62,618,517,1990,"VietNam","124000",0.836569579288026
"64",63,658,557,1990,"VietNam","124000",0.846504559270517
"65",64,576,510,1990,"VietNam","124000",0.885416666666667
"66",65,571,499,1990,"VietNam","124000",0.873905429071804
"67",66,525,470,1990,"VietNam","124000",0.895238095238095
"68",67,489,435,1990,"VietNam","124000",0.889570552147239
"69",68,500,451,1990,"VietNam","124000",0.902
"70",69,514,445,1990,"VietNam","124000",0.865758754863813
"71",70,415,367,1990,"VietNam","124000",0.88433734939759
"72",71,416,376,1990,"VietNam","124000",0.903846153846154
"73",72,364,333,1990,"VietNam","124000",0.914835164835165
"74",73,360,322,1990,"VietNam","124000",0.894444444444444
"75",74,331,298,1990,"VietNam","124000",0.900302114803625
"76",75,297,270,1990,"VietNam","124000",0.909090909090909
"77",76,283,260,1990,"VietNam","124000",0.918727915194346
"78",77,245,228,1990,"VietNam","124000",0.930612244897959
"79",78,223,205,1990,"VietNam","124000",0.919282511210762
"80",79,215,200,1990,"VietNam","124000",0.930232558139535
"81",80,193,177,1990,"VietNam","124000",0.917098445595855
"82",81,143,130,1990,"VietNam","124000",0.909090909090909
"83",82,146,136,1990,"VietNam","124000",0.931506849315068
"84",83,128,115,1990,"VietNam","124000",0.8984375
"85",84,106,100,1990,"VietNam","124000",0.943396226415094
"86",85,77,70,1990,"VietNam","124000",0.909090909090909
"87",86,77,70,1990,"VietNam","124000",0.909090909090909
"88",87,66,62,1990,"VietNam","124000",0.939393939393939
"89",88,32,31,1990,"VietNam","124000",0.96875
"90",89,45,41,1990,"VietNam","124000",0.911111111111111
"91",90,35,32,1990,"VietNam","124000",0.914285714285714
"92",91,23,22,1990,"VietNam","124000",0.956521739130435
"93",92,17,15,1990,"VietNam","124000",0.882352941176471
"94",93,14,12,1990,"VietNam","124000",0.857142857142857
"95",94,8,6,1990,"VietNam","124000",0.75
"96",95,8,7,1990,"VietNam","124000",0.875
"97",96,12,9,1990,"VietNam","124000",0.75
"98",97,1,1,1990,"VietNam","124000",1
"99",98,5,5,1990,"VietNam","124000",1
"100",0,2954,0,1995,"VietNam","124000",0
"101",1,2756,0,1995,"VietNam","124000",0
"102",2,2674,0,1995,"VietNam","124000",0
"103",3,2583,0,1995,"VietNam","124000",0
"104",4,2492,0,1995,"VietNam","124000",0
"105",5,2752,0,1995,"VietNam","124000",0
"106",6,2732,0,1995,"VietNam","124000",0
"107",7,2635,0,1995,"VietNam","124000",0
"108",8,2461,0,1995,"VietNam","124000",0
"109",9,2453,0,1995,"VietNam","124000",0
"110",10,2615,0,1995,"VietNam","124000",0
"111",11,2602,0,1995,"VietNam","124000",0
"112",12,2532,0,1995,"VietNam","124000",0
"113",13,2438,0,1995,"VietNam","124000",0
"114",14,2403,0,1995,"VietNam","124000",0
"115",15,2724,0,1995,"VietNam","124000",0
"116",16,2625,0,1995,"VietNam","124000",0
"117",17,2451,0,1995,"VietNam","124000",0
"118",18,2505,0,1995,"VietNam","124000",0
"119",19,2332,0,1995,"VietNam","124000",0
"120",20,2646,0,1995,"VietNam","124000",0
"121",21,2509,0,1995,"VietNam","124000",0
"122",22,2496,0,1995,"VietNam","124000",0
"123",23,2403,0,1995,"VietNam","124000",0
"124",24,2397,0,1995,"VietNam","124000",0
"125",25,2333,0,1995,"VietNam","124000",0
"126",26,2248,0,1995,"VietNam","124000",0
"127",27,2221,0,1995,"VietNam","124000",0
"128",28,2148,0,1995,"VietNam","124000",0
"129",29,2059,1,1995,"VietNam","124000",0.000485672656629432
"130",30,2017,3,1995,"VietNam","124000",0.0014873574615766
"131",31,1935,4,1995,"VietNam","124000",0.0020671834625323
"132",32,1963,6,1995,"VietNam","124000",0.00305654610290372
"133",33,1817,6,1995,"VietNam","124000",0.00330214639515685
"134",34,1778,18,1995,"VietNam","124000",0.0101237345331834
"135",35,1706,25,1995,"VietNam","124000",0.0146541617819461
"136",36,1618,44,1995,"VietNam","124000",0.0271940667490729
"137",37,1552,74,1995,"VietNam","124000",0.047680412371134
"138",38,1502,92,1995,"VietNam","124000",0.0612516644474035
"139",39,1561,159,1995,"VietNam","124000",0.101857783472133
"140",40,1266,148,1995,"VietNam","124000",0.116903633491311
"141",41,1214,181,1995,"VietNam","124000",0.149093904448105
"142",42,1152,232,1995,"VietNam","124000",0.201388888888889
"143",43,1113,301,1995,"VietNam","124000",0.270440251572327
"144",44,1107,339,1995,"VietNam","124000",0.306233062330623
"145",45,1281,427,1995,"VietNam","124000",0.333333333333333
"146",46,1205,455,1995,"VietNam","124000",0.377593360995851
"147",47,1142,561,1995,"VietNam","124000",0.491243432574431
"148",48,1115,552,1995,"VietNam","124000",0.495067264573991
"149",49,1171,642,1995,"VietNam","124000",0.548249359521776
"150",50,1173,664,1995,"VietNam","124000",0.566069906223359
"151",51,1078,684,1995,"VietNam","124000",0.634508348794063
"152",52,1005,680,1995,"VietNam","124000",0.676616915422886
"153",53,980,700,1995,"VietNam","124000",0.714285714285714
"154",54,960,752,1995,"VietNam","124000",0.783333333333333
"155",55,925,750,1995,"VietNam","124000",0.810810810810811
"156",56,943,768,1995,"VietNam","124000",0.814422057264051
"157",57,875,717,1995,"VietNam","124000",0.819428571428571
"158",58,848,735,1995,"VietNam","124000",0.866745283018868
"159",59,818,695,1995,"VietNam","124000",0.849633251833741
"160",60,824,699,1995,"VietNam","124000",0.848300970873786
"161",61,756,658,1995,"VietNam","124000",0.87037037037037
"162",62,737,636,1995,"VietNam","124000",0.862957937584803
"163",63,745,662,1995,"VietNam","124000",0.888590604026846
"164",64,657,572,1995,"VietNam","124000",0.87062404870624
"165",65,646,572,1995,"VietNam","124000",0.885448916408669
"166",66,607,535,1995,"VietNam","124000",0.881383855024712
"167",67,563,493,1995,"VietNam","124000",0.875666074600355
"168",68,597,520,1995,"VietNam","124000",0.871021775544389
"169",69,498,454,1995,"VietNam","124000",0.911646586345382
"170",70,508,458,1995,"VietNam","124000",0.901574803149606
"171",71,448,411,1995,"VietNam","124000",0.917410714285714
"172",72,417,376,1995,"VietNam","124000",0.90167865707434
"173",73,414,376,1995,"VietNam","124000",0.908212560386473
"174",74,438,381,1995,"VietNam","124000",0.86986301369863
"175",75,343,307,1995,"VietNam","124000",0.895043731778426
"176",76,330,299,1995,"VietNam","124000",0.906060606060606
"177",77,290,271,1995,"VietNam","124000",0.93448275862069
"178",78,287,256,1995,"VietNam","124000",0.89198606271777
"179",79,255,228,1995,"VietNam","124000",0.894117647058824
"180",80,225,205,1995,"VietNam","124000",0.911111111111111
"181",81,210,194,1995,"VietNam","124000",0.923809523809524
"182",82,174,161,1995,"VietNam","124000",0.925287356321839
"183",83,154,145,1995,"VietNam","124000",0.941558441558442
"184",84,141,131,1995,"VietNam","124000",0.929078014184397
"185",85,128,120,1995,"VietNam","124000",0.9375
"186",86,92,82,1995,"VietNam","124000",0.891304347826087
"187",87,85,79,1995,"VietNam","124000",0.929411764705882
"188",88,73,67,1995,"VietNam","124000",0.917808219178082
