"","age","pop","gp","country","seed","year","share"
"1",0,7173,0,"Yemen","134430",2022,0
"2",1,7126,0,"Yemen","134430",2022,0
"3",2,7474,0,"Yemen","134430",2022,0
"4",3,7489,0,"Yemen","134430",2022,0
"5",4,7026,0,"Yemen","134430",2022,0
"6",5,6976,0,"Yemen","134430",2022,0
"7",6,6965,0,"Yemen","134430",2022,0
"8",7,7484,0,"Yemen","134430",2022,0
"9",8,7309,0,"Yemen","134430",2022,0
"10",9,6943,0,"Yemen","134430",2022,0
"11",10,6774,0,"Yemen","134430",2022,0
"12",11,6522,0,"Yemen","134430",2022,0
"13",12,6902,0,"Yemen","134430",2022,0
"14",13,6850,0,"Yemen","134430",2022,0
"15",14,6606,0,"Yemen","134430",2022,0
"16",15,6518,0,"Yemen","134430",2022,0
"17",16,6092,0,"Yemen","134430",2022,0
"18",17,6580,0,"Yemen","134430",2022,0
"19",18,6499,0,"Yemen","134430",2022,0
"20",19,6204,0,"Yemen","134430",2022,0
"21",20,5836,0,"Yemen","134430",2022,0
"22",21,5639,0,"Yemen","134430",2022,0
"23",22,6230,0,"Yemen","134430",2022,0
"24",23,5815,1,"Yemen","134430",2022,0.000171969045571797
"25",24,5716,1,"Yemen","134430",2022,0.000174947515745276
"26",25,5408,1,"Yemen","134430",2022,0.00018491124260355
"27",26,5171,2,"Yemen","134430",2022,0.00038677238445175
"28",27,5742,3,"Yemen","134430",2022,0.000522466039707419
"29",28,5507,8,"Yemen","134430",2022,0.00145269656800436
"30",29,5319,6,"Yemen","134430",2022,0.00112803158488438
"31",30,5130,17,"Yemen","134430",2022,0.00331384015594542
"32",31,5084,29,"Yemen","134430",2022,0.00570416994492526
"33",32,4933,68,"Yemen","134430",2022,0.0137847151834583
"34",33,4839,89,"Yemen","134430",2022,0.0183922297995454
"35",34,4661,152,"Yemen","134430",2022,0.0326110276764643
"36",35,4602,221,"Yemen","134430",2022,0.0480225988700565
"37",36,4371,310,"Yemen","134430",2022,0.0709219858156028
"38",37,4139,423,"Yemen","134430",2022,0.102198598695337
"39",38,3960,522,"Yemen","134430",2022,0.131818181818182
"40",39,3831,705,"Yemen","134430",2022,0.184025058731402
"41",40,3736,867,"Yemen","134430",2022,0.232066381156317
"42",41,3603,1031,"Yemen","134430",2022,0.286150430197058
"43",42,3322,1147,"Yemen","134430",2022,0.345273931366647
"44",43,3134,1212,"Yemen","134430",2022,0.386726228462029
"45",44,3085,1389,"Yemen","134430",2022,0.450243111831442
"46",45,2975,1511,"Yemen","134430",2022,0.507899159663866
"47",46,2960,1620,"Yemen","134430",2022,0.547297297297297
"48",47,2614,1632,"Yemen","134430",2022,0.624330527926549
"49",48,2558,1673,"Yemen","134430",2022,0.654026583268178
"50",49,2528,1766,"Yemen","134430",2022,0.698575949367089
"51",50,2382,1737,"Yemen","134430",2022,0.729219143576826
"52",51,2376,1800,"Yemen","134430",2022,0.757575757575758
"53",52,2174,1695,"Yemen","134430",2022,0.77966881324747
"54",53,2018,1642,"Yemen","134430",2022,0.813676907829534
"55",54,1884,1583,"Yemen","134430",2022,0.840233545647558
"56",55,1934,1659,"Yemen","134430",2022,0.857807652533609
"57",56,1850,1609,"Yemen","134430",2022,0.86972972972973
"58",57,1679,1449,"Yemen","134430",2022,0.863013698630137
"59",58,1582,1423,"Yemen","134430",2022,0.899494310998736
"60",59,1449,1314,"Yemen","134430",2022,0.906832298136646
"61",60,1438,1305,"Yemen","134430",2022,0.907510431154381
"62",61,1389,1278,"Yemen","134430",2022,0.920086393088553
"63",62,1207,1106,"Yemen","134430",2022,0.916321458160729
"64",63,1168,1061,"Yemen","134430",2022,0.908390410958904
"65",64,1109,1022,"Yemen","134430",2022,0.921550946798918
"66",65,1082,1003,"Yemen","134430",2022,0.926987060998152
"67",66,1041,951,"Yemen","134430",2022,0.913544668587896
"68",67,887,833,"Yemen","134430",2022,0.939120631341601
"69",68,893,826,"Yemen","134430",2022,0.924972004479283
"70",69,813,747,"Yemen","134430",2022,0.918819188191882
"71",70,782,738,"Yemen","134430",2022,0.943734015345269
"72",71,704,654,"Yemen","134430",2022,0.928977272727273
"73",72,765,715,"Yemen","134430",2022,0.934640522875817
"74",73,717,645,"Yemen","134430",2022,0.899581589958159
"75",74,655,600,"Yemen","134430",2022,0.916030534351145
