"","age","pop","gp","year","country","seed","share"
"1",0,373,0,1960,"Zambia","580239",0
"2",1,357,0,1960,"Zambia","580239",0
"3",2,368,0,1960,"Zambia","580239",0
"4",3,319,0,1960,"Zambia","580239",0
"5",4,325,0,1960,"Zambia","580239",0
"6",5,263,0,1960,"Zambia","580239",0
"7",6,288,0,1960,"Zambia","580239",0
"8",7,302,0,1960,"Zambia","580239",0
"9",8,247,0,1960,"Zambia","580239",0
"10",9,257,0,1960,"Zambia","580239",0
"11",10,285,0,1960,"Zambia","580239",0
"12",11,271,0,1960,"Zambia","580239",0
"13",12,272,0,1960,"Zambia","580239",0
"14",13,248,0,1960,"Zambia","580239",0
"15",14,270,0,1960,"Zambia","580239",0
"16",15,256,0,1960,"Zambia","580239",0
"17",16,242,0,1960,"Zambia","580239",0
"18",17,231,0,1960,"Zambia","580239",0
"19",18,221,0,1960,"Zambia","580239",0
"20",19,230,0,1960,"Zambia","580239",0
"21",20,233,0,1960,"Zambia","580239",0
"22",21,198,0,1960,"Zambia","580239",0
"23",22,206,0,1960,"Zambia","580239",0
"24",23,194,0,1960,"Zambia","580239",0
"25",24,195,0,1960,"Zambia","580239",0
"26",25,183,0,1960,"Zambia","580239",0
"27",26,158,0,1960,"Zambia","580239",0
"28",27,156,0,1960,"Zambia","580239",0
"29",28,153,2,1960,"Zambia","580239",0.0130718954248366
"30",29,167,1,1960,"Zambia","580239",0.00598802395209581
"31",30,146,1,1960,"Zambia","580239",0.00684931506849315
"32",31,145,3,1960,"Zambia","580239",0.0206896551724138
"33",32,143,4,1960,"Zambia","580239",0.027972027972028
"34",33,121,8,1960,"Zambia","580239",0.0661157024793388
"35",34,143,8,1960,"Zambia","580239",0.0559440559440559
"36",35,136,23,1960,"Zambia","580239",0.169117647058824
"37",36,135,24,1960,"Zambia","580239",0.177777777777778
"38",37,124,27,1960,"Zambia","580239",0.217741935483871
"39",38,123,40,1960,"Zambia","580239",0.32520325203252
"40",39,126,43,1960,"Zambia","580239",0.341269841269841
"41",40,121,38,1960,"Zambia","580239",0.31404958677686
"42",41,95,44,1960,"Zambia","580239",0.463157894736842
"43",42,95,53,1960,"Zambia","580239",0.557894736842105
"44",43,97,57,1960,"Zambia","580239",0.587628865979381
"45",44,78,49,1960,"Zambia","580239",0.628205128205128
"46",45,92,55,1960,"Zambia","580239",0.597826086956522
"47",46,84,49,1960,"Zambia","580239",0.583333333333333
"48",47,89,56,1960,"Zambia","580239",0.629213483146067
"49",48,73,42,1960,"Zambia","580239",0.575342465753425
"50",49,72,38,1960,"Zambia","580239",0.527777777777778
"51",50,70,51,1960,"Zambia","580239",0.728571428571429
"52",51,83,65,1960,"Zambia","580239",0.783132530120482
"53",52,72,56,1960,"Zambia","580239",0.777777777777778
"54",53,73,51,1960,"Zambia","580239",0.698630136986301
"55",54,54,45,1960,"Zambia","580239",0.833333333333333
"56",55,66,56,1960,"Zambia","580239",0.848484848484849
"57",56,69,63,1960,"Zambia","580239",0.91304347826087
"58",57,48,41,1960,"Zambia","580239",0.854166666666667
"59",58,36,31,1960,"Zambia","580239",0.861111111111111
"60",59,59,48,1960,"Zambia","580239",0.813559322033898
"61",60,48,45,1960,"Zambia","580239",0.9375
"62",61,36,34,1960,"Zambia","580239",0.944444444444444
"63",62,41,38,1960,"Zambia","580239",0.926829268292683
"64",63,45,42,1960,"Zambia","580239",0.933333333333333
"65",64,33,33,1960,"Zambia","580239",1
"66",65,30,28,1960,"Zambia","580239",0.933333333333333
"67",66,31,30,1960,"Zambia","580239",0.967741935483871
"68",67,32,29,1960,"Zambia","580239",0.90625
"69",68,24,20,1960,"Zambia","580239",0.833333333333333
"70",69,35,30,1960,"Zambia","580239",0.857142857142857
"71",70,25,23,1960,"Zambia","580239",0.92
"72",71,26,25,1960,"Zambia","580239",0.961538461538462
"73",72,19,16,1960,"Zambia","580239",0.842105263157895
"74",73,13,13,1960,"Zambia","580239",1
"75",74,22,20,1960,"Zambia","580239",0.909090909090909
"76",75,18,16,1960,"Zambia","580239",0.888888888888889
"77",76,10,10,1960,"Zambia","580239",1
"78",77,11,10,1960,"Zambia","580239",0.909090909090909
"79",78,11,11,1960,"Zambia","580239",1
