"","age","pop","gp","year","country","seed","share"
"1",0,919,0,1960,"Zimbabwe","404832",0
"2",1,841,0,1960,"Zimbabwe","404832",0
"3",2,831,0,1960,"Zimbabwe","404832",0
"4",3,845,0,1960,"Zimbabwe","404832",0
"5",4,744,0,1960,"Zimbabwe","404832",0
"6",5,765,0,1960,"Zimbabwe","404832",0
"7",6,629,0,1960,"Zimbabwe","404832",0
"8",7,716,0,1960,"Zimbabwe","404832",0
"9",8,590,0,1960,"Zimbabwe","404832",0
"10",9,612,0,1960,"Zimbabwe","404832",0
"11",10,671,0,1960,"Zimbabwe","404832",0
"12",11,655,0,1960,"Zimbabwe","404832",0
"13",12,654,0,1960,"Zimbabwe","404832",0
"14",13,629,0,1960,"Zimbabwe","404832",0
"15",14,580,0,1960,"Zimbabwe","404832",0
"16",15,535,0,1960,"Zimbabwe","404832",0
"17",16,551,0,1960,"Zimbabwe","404832",0
"18",17,515,0,1960,"Zimbabwe","404832",0
"19",18,525,0,1960,"Zimbabwe","404832",0
"20",19,488,0,1960,"Zimbabwe","404832",0
"21",20,482,0,1960,"Zimbabwe","404832",0
"22",21,448,0,1960,"Zimbabwe","404832",0
"23",22,450,0,1960,"Zimbabwe","404832",0
"24",23,422,0,1960,"Zimbabwe","404832",0
"25",24,434,0,1960,"Zimbabwe","404832",0
"26",25,438,0,1960,"Zimbabwe","404832",0
"27",26,387,0,1960,"Zimbabwe","404832",0
"28",27,409,1,1960,"Zimbabwe","404832",0.00244498777506112
"29",28,359,1,1960,"Zimbabwe","404832",0.00278551532033426
"30",29,366,4,1960,"Zimbabwe","404832",0.0109289617486339
"31",30,328,1,1960,"Zimbabwe","404832",0.00304878048780488
"32",31,327,8,1960,"Zimbabwe","404832",0.0244648318042813
"33",32,316,11,1960,"Zimbabwe","404832",0.0348101265822785
"34",33,306,18,1960,"Zimbabwe","404832",0.0588235294117647
"35",34,334,31,1960,"Zimbabwe","404832",0.092814371257485
"36",35,263,45,1960,"Zimbabwe","404832",0.171102661596958
"37",36,262,58,1960,"Zimbabwe","404832",0.221374045801527
"38",37,288,70,1960,"Zimbabwe","404832",0.243055555555556
"39",38,256,78,1960,"Zimbabwe","404832",0.3046875
"40",39,235,84,1960,"Zimbabwe","404832",0.357446808510638
"41",40,220,86,1960,"Zimbabwe","404832",0.390909090909091
"42",41,228,112,1960,"Zimbabwe","404832",0.491228070175439
"43",42,215,110,1960,"Zimbabwe","404832",0.511627906976744
"44",43,220,129,1960,"Zimbabwe","404832",0.586363636363636
"45",44,199,110,1960,"Zimbabwe","404832",0.552763819095477
"46",45,190,132,1960,"Zimbabwe","404832",0.694736842105263
"47",46,150,109,1960,"Zimbabwe","404832",0.726666666666667
"48",47,174,137,1960,"Zimbabwe","404832",0.78735632183908
"49",48,172,129,1960,"Zimbabwe","404832",0.75
"50",49,144,112,1960,"Zimbabwe","404832",0.777777777777778
"51",50,155,129,1960,"Zimbabwe","404832",0.832258064516129
"52",51,147,117,1960,"Zimbabwe","404832",0.795918367346939
"53",52,150,121,1960,"Zimbabwe","404832",0.806666666666667
"54",53,143,126,1960,"Zimbabwe","404832",0.881118881118881
"55",54,139,112,1960,"Zimbabwe","404832",0.805755395683453
"56",55,134,121,1960,"Zimbabwe","404832",0.902985074626866
"57",56,93,84,1960,"Zimbabwe","404832",0.903225806451613
"58",57,130,122,1960,"Zimbabwe","404832",0.938461538461538
"59",58,102,93,1960,"Zimbabwe","404832",0.911764705882353
"60",59,104,97,1960,"Zimbabwe","404832",0.932692307692308
"61",60,99,91,1960,"Zimbabwe","404832",0.919191919191919
"62",61,86,81,1960,"Zimbabwe","404832",0.941860465116279
"63",62,82,77,1960,"Zimbabwe","404832",0.939024390243902
"64",63,89,82,1960,"Zimbabwe","404832",0.921348314606742
"65",64,84,79,1960,"Zimbabwe","404832",0.94047619047619
"66",65,72,66,1960,"Zimbabwe","404832",0.916666666666667
"67",66,79,74,1960,"Zimbabwe","404832",0.936708860759494
"68",67,72,68,1960,"Zimbabwe","404832",0.944444444444444
"69",68,59,52,1960,"Zimbabwe","404832",0.88135593220339
"70",69,65,59,1960,"Zimbabwe","404832",0.907692307692308
"71",70,41,40,1960,"Zimbabwe","404832",0.975609756097561
"72",71,45,43,1960,"Zimbabwe","404832",0.955555555555556
"73",72,40,37,1960,"Zimbabwe","404832",0.925
"74",73,35,33,1960,"Zimbabwe","404832",0.942857142857143
"75",74,26,26,1960,"Zimbabwe","404832",1
"76",75,27,27,1960,"Zimbabwe","404832",1
"77",76,25,23,1960,"Zimbabwe","404832",0.92
"78",77,26,24,1960,"Zimbabwe","404832",0.923076923076923
"79",78,11,11,1960,"Zimbabwe","404832",1
"80",79,16,15,1960,"Zimbabwe","404832",0.9375
"81",80,9,9,1960,"Zimbabwe","404832",1
"82",81,16,14,1960,"Zimbabwe","404832",0.875
"83",82,10,10,1960,"Zimbabwe","404832",1
"84",83,6,6,1960,"Zimbabwe","404832",1
"85",84,5,5,1960,"Zimbabwe","404832",1
"86",85,5,4,1960,"Zimbabwe","404832",0.8
"87",86,4,4,1960,"Zimbabwe","404832",1
"88",88,2,2,1960,"Zimbabwe","404832",1
"89",90,2,2,1960,"Zimbabwe","404832",1
"90",91,1,1,1960,"Zimbabwe","404832",1
"91",0,1075,0,1965,"Zimbabwe","404832",0
"92",1,1098,0,1965,"Zimbabwe","404832",0
"93",2,998,0,1965,"Zimbabwe","404832",0
"94",3,977,0,1965,"Zimbabwe","404832",0
"95",4,965,0,1965,"Zimbabwe","404832",0
"96",5,833,0,1965,"Zimbabwe","404832",0
"97",6,794,0,1965,"Zimbabwe","404832",0
"98",7,800,0,1965,"Zimbabwe","404832",0
"99",8,820,0,1965,"Zimbabwe","404832",0
"100",9,721,0,1965,"Zimbabwe","404832",0
"101",10,749,0,1965,"Zimbabwe","404832",0
"102",11,614,0,1965,"Zimbabwe","404832",0
"103",12,709,0,1965,"Zimbabwe","404832",0
"104",13,581,0,1965,"Zimbabwe","404832",0
"105",14,603,0,1965,"Zimbabwe","404832",0
"106",15,664,0,1965,"Zimbabwe","404832",0
"107",16,648,0,1965,"Zimbabwe","404832",0
"108",17,639,0,1965,"Zimbabwe","404832",0
"109",18,623,0,1965,"Zimbabwe","404832",0
"110",19,572,0,1965,"Zimbabwe","404832",0
"111",20,528,0,1965,"Zimbabwe","404832",0
"112",21,544,0,1965,"Zimbabwe","404832",0
"113",22,506,0,1965,"Zimbabwe","404832",0
"114",23,517,0,1965,"Zimbabwe","404832",0
"115",24,474,0,1965,"Zimbabwe","404832",0
"116",25,471,1,1965,"Zimbabwe","404832",0.00212314225053079
"117",26,435,0,1965,"Zimbabwe","404832",0
"118",27,435,1,1965,"Zimbabwe","404832",0.00229885057471264
"119",28,409,0,1965,"Zimbabwe","404832",0
"120",29,422,6,1965,"Zimbabwe","404832",0.014218009478673
"121",30,426,7,1965,"Zimbabwe","404832",0.0164319248826291
"122",31,376,13,1965,"Zimbabwe","404832",0.0345744680851064
"123",32,401,22,1965,"Zimbabwe","404832",0.0548628428927681
"124",33,349,27,1965,"Zimbabwe","404832",0.0773638968481375
"125",34,356,43,1965,"Zimbabwe","404832",0.120786516853933
"126",35,314,47,1965,"Zimbabwe","404832",0.14968152866242
"127",36,316,48,1965,"Zimbabwe","404832",0.151898734177215
"128",37,308,68,1965,"Zimbabwe","404832",0.220779220779221
"129",38,293,93,1965,"Zimbabwe","404832",0.31740614334471
"130",39,320,117,1965,"Zimbabwe","404832",0.365625
"131",40,261,123,1965,"Zimbabwe","404832",0.471264367816092
"132",41,257,141,1965,"Zimbabwe","404832",0.54863813229572
"133",42,276,150,1965,"Zimbabwe","404832",0.543478260869565
"134",43,242,148,1965,"Zimbabwe","404832",0.611570247933884
"135",44,225,142,1965,"Zimbabwe","404832",0.631111111111111
"136",45,209,125,1965,"Zimbabwe","404832",0.598086124401914
"137",46,215,157,1965,"Zimbabwe","404832",0.730232558139535
"138",47,202,154,1965,"Zimbabwe","404832",0.762376237623762
"139",48,210,168,1965,"Zimbabwe","404832",0.8
"140",49,190,137,1965,"Zimbabwe","404832",0.721052631578947
"141",50,178,149,1965,"Zimbabwe","404832",0.837078651685393
"142",51,140,122,1965,"Zimbabwe","404832",0.871428571428571
"143",52,164,143,1965,"Zimbabwe","404832",0.871951219512195
"144",53,157,139,1965,"Zimbabwe","404832",0.885350318471338
"145",54,140,121,1965,"Zimbabwe","404832",0.864285714285714
"146",55,147,130,1965,"Zimbabwe","404832",0.884353741496599
"147",56,137,117,1965,"Zimbabwe","404832",0.854014598540146
"148",57,136,119,1965,"Zimbabwe","404832",0.875
"149",58,135,120,1965,"Zimbabwe","404832",0.888888888888889
"150",59,130,111,1965,"Zimbabwe","404832",0.853846153846154
"151",60,122,114,1965,"Zimbabwe","404832",0.934426229508197
"152",61,84,78,1965,"Zimbabwe","404832",0.928571428571429
"153",62,117,110,1965,"Zimbabwe","404832",0.94017094017094
"154",63,88,81,1965,"Zimbabwe","404832",0.920454545454545
"155",64,87,81,1965,"Zimbabwe","404832",0.931034482758621
"156",65,81,74,1965,"Zimbabwe","404832",0.91358024691358
"157",66,71,66,1965,"Zimbabwe","404832",0.929577464788732
"158",67,65,60,1965,"Zimbabwe","404832",0.923076923076923
"159",68,74,68,1965,"Zimbabwe","404832",0.918918918918919
"160",69,71,67,1965,"Zimbabwe","404832",0.943661971830986
"161",70,53,50,1965,"Zimbabwe","404832",0.943396226415094
"162",71,65,62,1965,"Zimbabwe","404832",0.953846153846154
"163",72,56,52,1965,"Zimbabwe","404832",0.928571428571429
"164",73,40,36,1965,"Zimbabwe","404832",0.9
"165",74,41,37,1965,"Zimbabwe","404832",0.902439024390244
"166",75,27,26,1965,"Zimbabwe","404832",0.962962962962963
"167",76,30,29,1965,"Zimbabwe","404832",0.966666666666667
"168",77,25,23,1965,"Zimbabwe","404832",0.92
"169",78,22,20,1965,"Zimbabwe","404832",0.909090909090909
"170",79,10,10,1965,"Zimbabwe","404832",1
"171",80,16,16,1965,"Zimbabwe","404832",1
"172",81,14,13,1965,"Zimbabwe","404832",0.928571428571429
"173",82,14,13,1965,"Zimbabwe","404832",0.928571428571429
"174",83,4,4,1965,"Zimbabwe","404832",1
"175",84,9,9,1965,"Zimbabwe","404832",1
"176",85,5,5,1965,"Zimbabwe","404832",1
"177",86,2,2,1965,"Zimbabwe","404832",1
"178",87,2,2,1965,"Zimbabwe","404832",1
"179",88,4,4,1965,"Zimbabwe","404832",1
"180",95,1,1,1965,"Zimbabwe","404832",1
"181",0,1335,0,1970,"Zimbabwe","404832",0
"182",1,1274,0,1970,"Zimbabwe","404832",0
"183",2,1200,0,1970,"Zimbabwe","404832",0
"184",3,1123,0,1970,"Zimbabwe","404832",0
"185",4,1045,0,1970,"Zimbabwe","404832",0
"186",5,980,0,1970,"Zimbabwe","404832",0
"187",6,1050,0,1970,"Zimbabwe","404832",0
"188",7,966,0,1970,"Zimbabwe","404832",0
"189",8,956,0,1970,"Zimbabwe","404832",0
"190",9,939,0,1970,"Zimbabwe","404832",0
"191",10,825,0,1970,"Zimbabwe","404832",0
"192",11,784,0,1970,"Zimbabwe","404832",0
"193",12,793,0,1970,"Zimbabwe","404832",0
"194",13,808,0,1970,"Zimbabwe","404832",0
"195",14,707,0,1970,"Zimbabwe","404832",0
"196",15,743,0,1970,"Zimbabwe","404832",0
"197",16,604,0,1970,"Zimbabwe","404832",0
"198",17,701,0,1970,"Zimbabwe","404832",0
"199",18,573,0,1970,"Zimbabwe","404832",0
"200",19,597,0,1970,"Zimbabwe","404832",0
"201",20,657,0,1970,"Zimbabwe","404832",0
"202",21,638,0,1970,"Zimbabwe","404832",0
"203",22,630,0,1970,"Zimbabwe","404832",0
"204",23,613,0,1970,"Zimbabwe","404832",0
"205",24,562,0,1970,"Zimbabwe","404832",0
"206",25,517,0,1970,"Zimbabwe","404832",0
"207",26,537,0,1970,"Zimbabwe","404832",0
"208",27,494,1,1970,"Zimbabwe","404832",0.00202429149797571
"209",28,501,2,1970,"Zimbabwe","404832",0.00399201596806387
"210",29,459,6,1970,"Zimbabwe","404832",0.0130718954248366
"211",30,460,10,1970,"Zimbabwe","404832",0.0217391304347826
"212",31,415,8,1970,"Zimbabwe","404832",0.0192771084337349
"213",32,425,21,1970,"Zimbabwe","404832",0.0494117647058823
"214",33,399,22,1970,"Zimbabwe","404832",0.0551378446115288
"215",34,412,32,1970,"Zimbabwe","404832",0.0776699029126214
"216",35,410,55,1970,"Zimbabwe","404832",0.134146341463415
"217",36,361,65,1970,"Zimbabwe","404832",0.18005540166205
"218",37,388,96,1970,"Zimbabwe","404832",0.247422680412371
"219",38,339,107,1970,"Zimbabwe","404832",0.315634218289086
"220",39,342,124,1970,"Zimbabwe","404832",0.362573099415205
"221",40,307,124,1970,"Zimbabwe","404832",0.403908794788274
"222",41,299,128,1970,"Zimbabwe","404832",0.42809364548495
"223",42,300,146,1970,"Zimbabwe","404832",0.486666666666667
"224",43,282,175,1970,"Zimbabwe","404832",0.620567375886525
"225",44,301,189,1970,"Zimbabwe","404832",0.627906976744186
"226",45,251,178,1970,"Zimbabwe","404832",0.709163346613546
"227",46,249,182,1970,"Zimbabwe","404832",0.730923694779116
"228",47,264,201,1970,"Zimbabwe","404832",0.761363636363636
"229",48,228,183,1970,"Zimbabwe","404832",0.802631578947368
"230",49,215,162,1970,"Zimbabwe","404832",0.753488372093023
"231",50,198,142,1970,"Zimbabwe","404832",0.717171717171717
"232",51,203,174,1970,"Zimbabwe","404832",0.857142857142857
"233",52,189,161,1970,"Zimbabwe","404832",0.851851851851852
"234",53,199,174,1970,"Zimbabwe","404832",0.874371859296482
"235",54,175,145,1970,"Zimbabwe","404832",0.828571428571429
"236",55,172,154,1970,"Zimbabwe","404832",0.895348837209302
"237",56,128,113,1970,"Zimbabwe","404832",0.8828125
"238",57,145,133,1970,"Zimbabwe","404832",0.917241379310345
"239",58,144,132,1970,"Zimbabwe","404832",0.916666666666667
"240",59,134,122,1970,"Zimbabwe","404832",0.91044776119403
"241",60,132,120,1970,"Zimbabwe","404832",0.909090909090909
"242",61,121,108,1970,"Zimbabwe","404832",0.892561983471074
"243",62,120,109,1970,"Zimbabwe","404832",0.908333333333333
"244",63,121,114,1970,"Zimbabwe","404832",0.942148760330578
"245",64,115,103,1970,"Zimbabwe","404832",0.895652173913044
"246",65,111,104,1970,"Zimbabwe","404832",0.936936936936937
"247",66,71,66,1970,"Zimbabwe","404832",0.929577464788732
"248",67,93,89,1970,"Zimbabwe","404832",0.956989247311828
"249",68,70,64,1970,"Zimbabwe","404832",0.914285714285714
"250",69,71,65,1970,"Zimbabwe","404832",0.915492957746479
"251",70,65,60,1970,"Zimbabwe","404832",0.923076923076923
"252",71,57,53,1970,"Zimbabwe","404832",0.929824561403509
"253",72,53,48,1970,"Zimbabwe","404832",0.905660377358491
"254",73,54,52,1970,"Zimbabwe","404832",0.962962962962963
"255",74,54,51,1970,"Zimbabwe","404832",0.944444444444444
"256",75,39,37,1970,"Zimbabwe","404832",0.948717948717949
"257",76,47,46,1970,"Zimbabwe","404832",0.978723404255319
"258",77,40,36,1970,"Zimbabwe","404832",0.9
"259",78,28,25,1970,"Zimbabwe","404832",0.892857142857143
"260",79,27,24,1970,"Zimbabwe","404832",0.888888888888889
"261",80,17,17,1970,"Zimbabwe","404832",1
"262",81,15,15,1970,"Zimbabwe","404832",1
"263",82,11,10,1970,"Zimbabwe","404832",0.909090909090909
"264",83,10,10,1970,"Zimbabwe","404832",1
"265",84,5,5,1970,"Zimbabwe","404832",1
"266",85,8,8,1970,"Zimbabwe","404832",1
"267",86,7,6,1970,"Zimbabwe","404832",0.857142857142857
"268",87,2,2,1970,"Zimbabwe","404832",1
"269",89,3,3,1970,"Zimbabwe","404832",1
"270",0,1545,0,1975,"Zimbabwe","404832",0
"271",1,1380,0,1975,"Zimbabwe","404832",0
"272",2,1304,0,1975,"Zimbabwe","404832",0
"273",3,1327,0,1975,"Zimbabwe","404832",0
"274",4,1273,0,1975,"Zimbabwe","404832",0
"275",5,1238,0,1975,"Zimbabwe","404832",0
"276",6,1219,0,1975,"Zimbabwe","404832",0
"277",7,1148,0,1975,"Zimbabwe","404832",0
"278",8,1092,0,1975,"Zimbabwe","404832",0
"279",9,1026,0,1975,"Zimbabwe","404832",0
"280",10,967,0,1975,"Zimbabwe","404832",0
"281",11,1039,0,1975,"Zimbabwe","404832",0
"282",12,954,0,1975,"Zimbabwe","404832",0
"283",13,942,0,1975,"Zimbabwe","404832",0
"284",14,928,0,1975,"Zimbabwe","404832",0
"285",15,817,0,1975,"Zimbabwe","404832",0
"286",16,778,0,1975,"Zimbabwe","404832",0
"287",17,786,0,1975,"Zimbabwe","404832",0
"288",18,798,0,1975,"Zimbabwe","404832",0
"289",19,698,0,1975,"Zimbabwe","404832",0
"290",20,730,0,1975,"Zimbabwe","404832",0
"291",21,594,0,1975,"Zimbabwe","404832",0
"292",22,693,0,1975,"Zimbabwe","404832",0
"293",23,568,0,1975,"Zimbabwe","404832",0
"294",24,586,0,1975,"Zimbabwe","404832",0
"295",25,647,0,1975,"Zimbabwe","404832",0
"296",26,629,0,1975,"Zimbabwe","404832",0
"297",27,621,1,1975,"Zimbabwe","404832",0.00161030595813205
"298",28,600,2,1975,"Zimbabwe","404832",0.00333333333333333
"299",29,549,3,1975,"Zimbabwe","404832",0.00546448087431694
"300",30,510,6,1975,"Zimbabwe","404832",0.0117647058823529
"301",31,523,9,1975,"Zimbabwe","404832",0.017208413001912
"302",32,480,21,1975,"Zimbabwe","404832",0.04375
"303",33,492,36,1975,"Zimbabwe","404832",0.0731707317073171
"304",34,450,41,1975,"Zimbabwe","404832",0.0911111111111111
"305",35,450,78,1975,"Zimbabwe","404832",0.173333333333333
"306",36,405,66,1975,"Zimbabwe","404832",0.162962962962963
"307",37,405,108,1975,"Zimbabwe","404832",0.266666666666667
"308",38,388,101,1975,"Zimbabwe","404832",0.260309278350515
"309",39,399,135,1975,"Zimbabwe","404832",0.338345864661654
"310",40,397,169,1975,"Zimbabwe","404832",0.425692695214106
"311",41,348,163,1975,"Zimbabwe","404832",0.468390804597701
"312",42,370,189,1975,"Zimbabwe","404832",0.510810810810811
"313",43,329,183,1975,"Zimbabwe","404832",0.556231003039514
"314",44,333,197,1975,"Zimbabwe","404832",0.591591591591592
"315",45,293,193,1975,"Zimbabwe","404832",0.658703071672355
"316",46,285,186,1975,"Zimbabwe","404832",0.652631578947368
"317",47,286,185,1975,"Zimbabwe","404832",0.646853146853147
"318",48,273,207,1975,"Zimbabwe","404832",0.758241758241758
"319",49,291,227,1975,"Zimbabwe","404832",0.780068728522337
"320",50,238,197,1975,"Zimbabwe","404832",0.827731092436975
"321",51,236,203,1975,"Zimbabwe","404832",0.860169491525424
"322",52,244,211,1975,"Zimbabwe","404832",0.864754098360656
"323",53,216,193,1975,"Zimbabwe","404832",0.893518518518518
"324",54,204,177,1975,"Zimbabwe","404832",0.86764705882353
"325",55,187,154,1975,"Zimbabwe","404832",0.823529411764706
"326",56,195,174,1975,"Zimbabwe","404832",0.892307692307692
"327",57,175,160,1975,"Zimbabwe","404832",0.914285714285714
"328",58,183,167,1975,"Zimbabwe","404832",0.912568306010929
"329",59,165,148,1975,"Zimbabwe","404832",0.896969696969697
