"iso3","year","number_grandparents","share_grandparents","pop_un"
"ABW",2022,27907.7137499756,0.262132868856849,106464
"AFG",2022,4848743.28402972,0.117891962696068,41128701
"AGO",2022,5067954.39772975,0.142408708683639,35587391
"ALB",2022,829568.269602266,0.29194042216927,2841567
"ARE",2022,932729.380285995,0.0987949012003722,9441068
"ARG",2022,10580335.3627216,0.232543117583054,45498381
"ARM",2022,646109.227196716,0.23238831320243,2780300
"ATG",2022,21462.8094828636,0.228885364162306,93771
"AUS",2022,5226908.11309994,0.199757669207024,26166245
"AUT",2022,1899744.83383484,0.212581339658832,8936555
"AZE",2022,2174078.68893833,0.20989395901272,10357986
"BDI",2022,1350898.95206416,0.104806668597252,12889437
"BEL",2022,2485939.0628848,0.21332416825432,11653340
"BEN",2022,1795349.22447989,0.134455260269345,13352763
"BFA",2022,2809272.1984471,0.123899859028373,22673732
"BGD",2022,36171482.1231835,0.211299941513051,171185481
"BGR",2022,1987281.98913848,0.29303799370721,6781653
"BHR",2022,207176.964253133,0.140723614617004,1472226
"BHS",2022,84204.5090641609,0.205406409859372,409941
"BIH",2022,771432.197161803,0.238594607492623,3233234
"BLR",2022,2295821.9651615,0.240804783026719,9533955
"BLZ",2022,76760.3927799262,0.189397618921718,405287
"BOL",2022,2024415.66140135,0.165609418672518,12224037
"BRA",2022,51569331.9325864,0.239510656681411,215311221
"BRB",2022,65692.1447873077,0.233253601437709,281634
"BRN",2022,73852.3114893823,0.16447407023142,449021
"BTN",2022,136660.624983097,0.17465531738161,782459
"BWA",2022,384498.303864449,0.146222092701964,2629550
"CAN",2022,8197766.10997783,0.213292701015382,38434349
"CHE",2022,1640617.31176813,0.187773033916919,8737236
"CHL",2022,4457715.03050967,0.227469640098372,19596967
"CHN",2022,344302565.637688,0.241479817833701,1425802656
"CIV",2022,3773661.13693268,0.134036430811906,28153996
"CMR",2022,3659124.59874309,0.131108900552362,27909048
"COD",2022,12796806.4940248,0.129254646301335,99004615
"COG",2022,867851.784209418,0.145368564576846,5970010
"COL",2022,11727203.7983276,0.22608146248717,51871585
"COM",2022,132058.17158807,0.157984351590117,835894
"CPV",2022,119064.714935192,0.200815838853091,592905
"CRI",2022,1224525.93517569,0.236369779740786,5180552
"CUB",2022,3002371.15032214,0.267858010187886,11208816
"CYP",2022,251502.095523633,0.200979152301479,1251384
"CZE",2022,2496045.79657546,0.237894303915592,10492247
"DEU",2022,18418427.5386198,0.221029717025885,83330096
"DJI",2022,143887.273460913,0.128370834012192,1120872
"DNK",2022,1244768.19346732,0.211688250724223,5880195
"DZA",2022,6899160.39735568,0.153656752989487,44899819
"ECU",2022,3736912.1769931,0.207612541169618,17999453
"EGY",2022,18953747.7066642,0.170770642438935,110989497
"ERI",2022,492662.121333509,0.133731560640948,3683963
"ESP",2022,9432327.8892967,0.198437791973624,47532921
"EST",2022,304421.903657936,0.22963574249301,1325673
"ETH",2022,15851694.817763,0.128479682030843,123379001
"FIN",2022,1271958.46873717,0.229643351280614,5538843
"FJI",2022,175677.126884363,0.188951132923362,929749
"FRA",2022,15383976.1946838,0.238157025180761,64595937
"GAB",2022,428453.889280545,0.179400544783381,2388253
"GBR",2022,15008699.1829884,0.222442827838537,67472165
"GEO",2022,941737.558952345,0.251524607524911,3744117
"GHA",2022,4712927.16577187,0.140792374455187,33474307
"GIN",2022,1828055.61891625,0.131905413052787,13858837
"GLP",2022,114329.188411217,0.289270350429282,395233
"GMB",2022,333740.092123474,0.1233331394892,2706005
"GNB",2022,269673.172002198,0.128133840725812,2104621
"GNQ",2022,301462.930706009,0.180018924140317,1674618
