"year","number_grandparents","pop_un","share_grandparents"
1960,491036184.022232,2943835542,0.16680149995357
1965,539770494.869601,3243429163,0.16641969586607
1970,595223307.013306,3590598252,0.165772739036388
1975,648799177.96031,3957781148,0.163930028897169
1980,711970531.1959,4321658145,0.164744759374275
1985,786055340.529776,4727006858,0.166290289847888
1990,874007769.117545,5167411286,0.169138417815799
1995,954788383.17374,5591747114,0.170749564261096
2000,1041469241.02644,5991568897,0.173822459347486
2005,1145452804.34298,6395395830,0.179105849706723
2010,1270552628.23834,6815030217,0.186433895049939
2015,1398371565.06757,7248917798,0.19290763173689
2020,1508569854.84113,7664393156,0.196828349503464
2022,1542393373.16674,7799096321,0.197765652542804
2025,1609294848.34575,8009956127,0.200911818096123
2030,1727711731.67899,8360930918,0.206641072462332
2035,1846269947.90286,8692083755,0.212408209578149
2040,1956538312.14586,8999783311,0.217398379998158
2045,2054777947.99402,9279465410,0.221432793507662
2050,2137102395.38272,9522729990,0.224421189892702
